60:5:001:1	Pen . v .
60:5:002:1	2 Dlet y Bugelydd‐Ecclesic yw
60:5:003:1	*
60:5:004:1	bwydo
60:5:005:1	porthi devaid Christ , a’ pha ’obr a gant a’s gwnant hyny yn ddiwyd . 5 Cygori y mae ir ei ieuainc ymddarostwng ir henafieit . 8 Bot yn sobr , a’ gwlliad ar allu o hanyn wrthladd y gelyn .
60:5:001:0	IR henaduriaid sy yn ych plith , yr ytolygaf finau sy hevyd henadur a thyst dyoddefiadeu Christ , a chyfrannawc hevyd or gogoniant a eglurir rrac llaw .
60:5:002:0	Porthwch ddiadell Ddyw , sy tan ych llaw , ac ymgeleddwch hwynt nid trwy gymell , eithr yn wyllyscar : nid ir chwant budr elw , namyn o barodrwydd meðwl :
60:5:003:0	Nid fal rrai a fynnon vod yn arglwyði ar tretad Dyvv , eithr fal y galloch fod yn siampl ir ddiadell .
60:5:004:0	A’ phan ir ymddangoso y pen bigael , cael a wnewch goron ddilwgr y gogoniant . Yr Epistol y iij . Sul gwedy Trintot .
60:5:005:0	Yr vn ffunyt yr ifainc , byddwch ostyngedic ir henafiaid , a chydymostyngwch bawb yw gilidd : ac ymdrwsiwch o ddifewn ac vfuddtra meddwl : can ys Dyw a wrthladd y beilchion ac a ðyry gras ir ei vfudd .
60:5:006:0	Ymostyngwch achos hyn tann al’uoc law Dyw , mal y gallo ych dyrchafu pan ddel amser ,
60:5:007:0	Cwbl och gofal bwriwch arno ef : can ys ef ’sy yn gofalu trosochvvi .
60:5:008:0	Byddwch sobr a’ gwiliwch , can ys ych gwrthnebwr diawl megis llew rruadus sy yn rrodio o ddamgylch , yn ceisio neb a allo y lyncu :
60:5:009:0	Rrwn gordrechwch ef yn gadarn yn y ffydd , dann wybo vod yn cyflowni yr vnrryw anayle yn ych brodyr sy yn y byd .
60:5:010:0	A Dyw avvdur pob gras , rrwn an galwodd ni yw tragwyðol ’ogoniant trwy Christ Iesu , wedy darffo ywch oddeu ychydic , ach gwnel yn perffaith , ach cadarnhao , ach cryfhao , ac ach sicerhao .
60:5:011:0	Iðo efe y bo gogoniant ar emerodraeth yn oes oesawdd , Amen .
60:5:012:0	Cyd a Sylvanus brawd ffyddlon ywch , im tyb i , y ddysc crifenais ar ychydic , dan ych cynghori , a thystlauthu mayr gwir ras Dyw ydiw hwn , y ddych yn sevyll yntho ,
60:5:013:0	Mae yr eglwys sy yn Babylon cydetholedi a chwi , yn erchi ych annerch , a’ Marcus fy mab i .
60:5:014:0	Anherchwch bawb y gilidd a chusan cariad . Tengnhefeð ywch oll achlan sawl ydych yn Christ Iesu . Amen .
