60:3:001:1	Pen . iij .
60:3:002:1	1 Py wedd y dlei bot ymwreiddiat gwrageð yw gwyr , 3 Ac yn ei gwascat . 7 Dlet gwyr yw gwrageð . 8 Y mae ef yn aunoc pawp i vndap a’ chariat , 14 Ac yn ymarous y ðyoðef trwbl wrth esempl a’ dawnged Christ .
60:3:001:0	VAl hynny hefyd y gwragedd , byddant ostyngedic yw gwyr priod mal y galler os byddai rrei anvfyddion ir gair , trwy ymwreddiad y gwrageð eu hynnill hwynt heb y gair .
60:3:002:0	Pan ganfyddont ych ymwreðiad diwair , ys y gyd ac ofn .
60:3:003:0	Trwsiad yr hain nid oddiallan y bytho , megis o blethiadau gwallt , ac amgylch osodiad aur , neu wisciad dillat gvvychion .
60:3:004:0	Eithr dyn dirgeledic y galon , bid dihalawc , ac ysbryd esmwyth llonydd , rrwn sydd fawr eu bris gar bron Dyw .
60:3:005:0	Can ys velly gynt ir ymdrwssiayr gwragedd santaidd , rrain vyddynt yn gobeithio Dyw , yn ddarostyngedic yw gwyr priawd .
60:3:006:0	Megis ir vfuddhaodd Sara y Abraham , can y alw ef yn Arglwydd : merched yr hon fyðwchi , o wneuthyr yn dda , heb arnoch ofn dim dychryn .
60:3:007:0	Chwithau y gwyr , yr vn ffunyd , cydgyfanheddwch ac wynt mal y gwedday i rai gwybodol , can roði anrrydedd ir wraic , megis ir llestr gwānaf , mal y rrai sy hevyd cydetifeddion gras y bowyd , rrac rrwystro ych gweddiay‐chwi . Yr Epistol y v . Sul gwedy Trintot
60:3:008:0	Am benn hyn , byddwch bawb or vn meddwl , yn cydoddau pawb gidau gilidd : cerwch fal brodyr : byddvvch yn drugawg : byddvvch yn gwrtais .
60:3:009:0	Nid yn talu drwc tros drwc , neu ddirmic tros dirmic : namyn elchwyl bendithiwch , gan wybod ych galw y hyn , sef y freinior fendith o etifeddiaeth .
60:3:010:0	Can ys y neb a chwennych y bowyd , ac a garo weled dyddiau da . attalied eu davod o ddiwrth ddrwc , ay wefusay rrac adrodd twyll .
60:3:011:0	Gocheled y drwc a gwnaed y da : ceisied heðwch a dilyded hwnw .
60:3:012:0	Can ys llygaid yr Arglwydd ’sy tuagat yr er ei cyfion , ay glustiay ef tu ac at y gweði hwynt : eithr wyneb yr Arglwydd fydd goruch y rrai a wnel drwc .
60:3:013:0	A’ phwy ach dryga chwi , os byddwch yn dylid yr hyn ’sy dda ?
60:3:014:0	Eithr o bydd ywch ddyoddef herwydd cyfiownder , dedwydd ydych : ond am y brawchiad hwynt nad ofnwch , ac na chynhyrfwch .
60:3:015:0	Eithr santeiddiwch yr Arglwydd Ddyw yn ych calonay : a’ byddwch barawd bob amser y atteb y bawp a ofynno ywch reswm am y gobaith sy ynoch ,
60:3:016:0	A hynny trwy vfuddtra a chwrteisrwyd , a’ chenych cydwybod dda , mal y gallo y rrai a ddoyto yn ych erbyn megis yn erbyn rrai drwc , quilyddio , rrain a feiant ar ych dayonys ymwreddiad yn‐Christ . Yr Epistol ar nos Pasc .
60:3:017:0	Can ys gwell ydyvv ( os wollys Dyw ay mynn ) i chwi ddyoddef yn gwneuthr dayoni , nac yn gwneuthyr drugioni .
60:3:018:0	Can ys Christ hevyd vnwaith a ddioddefodd tros pechoday , y cyfion tros yr anghyfion , mal y galle yn dwyn ni at Ddyw , ac a gavas marfolaeth yn y cnawd , eithr a fywhawyd yn yr yspryd .
60:3:019:0	Trwy rhwn hevyd y ddaeth ef , ac a bregethawð ir esprydion oedd yn‐carchar ,
60:3:020:0	Gynt yn anvfydd hwynt , pan vnwaith y ðoeð hir ymynedd Dyw yn discwyl yn‐dyddiay Noe , pan ddarparheid yr arch , yn yr hon ychydigion , ysef yw , wyth enaid a achubwyd yn y dwfr .
60:3:021:0	Ir rrwn y may yr angraifft sy yn awr yn eyn achub ninay ysef y bedydd yn attep ( nid trwyr hwn y tynnir y ffordd budreði y corph , eythr trwyr hwn y gwna cydwybod dda ymofyn a Dyw ) trwy gyfodedigaeth Iesu Christ ,
60:3:022:0	Rrwn sydd ar y llaw ddeau i Ddyw , gwedi myned ir nef , ar Angylion ar poweroeð , ar gal’u wedi ymddarostwng iddo .
