60:1:001:1	Pen . j .
60:1:002:1	2 Dangos ymae ef may trwy ampl drugaredd Dew in
60:1:003:1	1 : 0
60:1:004:1	detholwyt ac in adgenedlwyt i ’obaith vywiol , 7 A’r modd y treijr ffydd , 10 Nad yw yr iechydwrieth yn‐Christ beth newydd , eithyr peth wedy ei bropwyto gynt . 13 Y mae ef yn y hannoc hwy y ymwreddiat dywiol , yn gymmeint ay
60:1:005:1	1 : 0
60:1:006:1	geni hwy yr owrhon o newydd can ’air Dew .
60:1:001:0	PEtr apostol Iesu christ , at y dieithraid , sy ar wascar rryd Pontus , Galatia , Cappadocia , Asia , a’ Bithynia ,
60:1:002:0	Detholedic o racwybodaeth Dyw tad i santeiddrwydd yr ysbryd , trwy vfuddtawd , a thaynelliad gwaed Iesu Christ : Gras ywch a heddwch a amylhaer .
60:1:003:0	Bendigedic fo Dyw , a thad eyn harglwydd Iesu Christ , rrwn oi fawr drugaredd an adenillawð ni , y obaith bywiol trwy ail gyfodiad Iesu Christ o ddiwrth y meirw ,
60:1:004:0	Y gael ytifeddiaeth diddiwedd a dilwgr , ac ni diflanna ’rron a roed y gadw yn y nef y nyni ,
60:1:005:0	Rrain trwy allu Dyw ydym gadwedic herwyð ffydd y gael y diogelwch a ddarparwyd yw arddangos yn yr amser diwaythaf :
60:1:006:0	Yn yr hwn beth y ddych yn llawenhau , cyd byddech ennyd bach ( o ba raid ) mewn tristwch , herwydd amryw brofedigaythay ,
60:1:007:0	Mal y ceffer profiad ych ffydd chwi , sy werthfowrusach nor aur colledic , ( cyd profer ef trwy dan ) ir mawl , ac anrrydedd a’ gogoniant yvvch , pan ymddangoso Iesu Christ :
60:1:008:0	Rrwn heb y weled y ddych yn y garu , yn yr hwn ir nas gwelwch ef yrwan , y ddych ir hynny yn credu , ac yn llawenhau a llywenyð ni ellir eu ymadrodd a’ gogonyddus ,
60:1:009:0	Gan dderbyn terfyn ych ffydd , ys diogelwch yr eneidiau .
60:1:010:0	Am yr hwn ddiogelwch ir ymofynasont , ac y chwiliasont y prophwydi , rrain a prophwydasont am y gras oedd taac attochi ,
60:1:011:0	Gan ymgais pa bryd neu pa ryw amser y gwnai ysbryd Christ oedd ynthyntwy yn testlauthu yn y blaen , ysbusu , y dioddefau y gaffai Christ , ar gogoniant ay cydcanlynay hwynt .
60:1:012:0	Ir rrain y dangoswyd , nad vddyntwy , eithyr y nyni y gwasnaythay y pethau a fanegwyd y chwi trwy yr hai a bregethasont ywch yr efengl trwyr ysbryd glan a ddanfoned or nefoedd , ac ar yrrain y chwennych yr angylion gael edrych .
60:1:013:0	O blegid hyn gwregyswch llwynay ych meddwl : byddwch sobr : a’ gobeithiwch yn berffaith ar y gras a ddycpwyd attoch , drwy ðrychioleth Iesu Christ ,
60:1:014:0	Megis plant vfuddion , rrain ni chydymgyfflybwch ychvnain ar hen trachwantay yn yr anwybodaeth einoch :
60:1:015:0	Eithyr megis ac y may y neb ach galwoð chwi , yn santaidd , byddwchithay hevyd santaidd ymhob ymwreddiad ,
60:1:016:0	Am hyny ir escrivennir , Byddwch santaidd , cans myvy santaidd ydwy .
60:1:017:0	Ac as gelwchi ef yn Tad , rrwn heb ystyriaeth person a farna ar ol gweithred pawb , ymddygwch tros amser ych preswylfa yma mewn ofn ,
60:1:018:0	A chwi yn gwybod nad a phethau llygredic megis arian nei aur ich ymwaredwyd o ddiwrth ofer ymwreddiad , a gowsoch o ’osodigaythay’r tadau ,
60:1:019:0	Eithr a gwerthfawr waed Christ , megis yr oen difrychenlyd dihalogedic .
60:1:020:0	Rrwn a ddarparhawyd yn y blaen , cyn gosod seilfaynay y byd , eithr a ysbyswyd yn yr amseroedd diwaythaf ir ych mwyn chwi ,
60:1:021:0	Rrain ydych trwyddo ef yn credu i Ddyw , rrwn ay cyvodes ef o ddiwrth y meirw , ac a roðes iddo ef ogoniant , mal y bay ych ffydd chwi ach gobaith ar Ddyw .
60:1:022:0	A chwi gwedi puro ych eneidiau , am vfuddhau ir gwirionedd trwyr ysbryd , mewn cariad broduraidd diweniaeth , cerwch bavvb y gilidd yn ’rymus ,
60:1:023:0	Chwi a aned o newydd , nid o hil farwol eithr o hil anfarwol trwy air Dyw , rrwn sy fyw ac yn aros yn dragwyddol .
60:1:024:0	Can ys pob cnawd mal y glaswelltyn yvv , a’ phob ryfig dyn val blodeu yn y glaswelltyn . Gwywo a wnar glasweltyn , a’r blodeuyn a gwympa i lawr .
60:1:025:0	Eithr gair yr Arglwydd a erys yn dracwyddol : a hwnvv ydyw y gair a bregethwyd y chwi .
