60:2:001:1	Pen . ij .
60:2:002:1	1 Eu hannoc y mae ef ar roi heibio pop
60:2:003:1	*
60:2:004:1	camwedd , bai
60:2:005:1	gwyd , 4 Gan ðangos may Christ yw’r sail y maent yn adailad arnaw . 9 Rygorvraint y Christianogion . 11 Y mae ef yn ervyn yðynt ymgynnal ywrth chwanteu cnawdol . 13 Bot uvydhau ir llywiawdwyr . 18 P’oð y dlei gwasanaeth‐ddynion ymddwyn
60:2:006:1	wrth eu perchen . 20 Annoc y mae ddyoddef yn ol esempl Christ .
60:2:001:0	HErwydd hyn , dodwch heibio pob malais a phob twyll , a phob rragrith , a’ chenvigen , a phob goganair .
60:2:002:0	Ac mal rrai bychain newydd eni byddwch chwannoc y laeth didwyll y gair , mal i galloch drwy hwnw gynyddu .
60:2:003:0	Os profasochi fod yr Arglwydd yn gywaithas .
60:2:004:0	At yr hwn y ddych yn dyvod megis at faen byw anghymradwy can ddynion , eithr can Ddyw etholedic a’ gwerthfawr .
60:2:005:0	A’ chwithau hevyd megis main bywiol , a edyladwyd yn dy ysprydol , ac yn effeiriadaeth santaið y offrymmu aberthau ysprydol cymradwy can Ddyw trwy Iesu Christ .
60:2:006:0	Ac am hyny y cynhwysir yn yr scrythr , Nycha , dodi y ddwy yn Syon sailfayn arbennic , etholedic a’ gwerthfawr : ar neb a gretto yntho , nis gwradwyddir ef .
60:2:007:0	O blegid hyn y chwi sawl ydych yn credu , vrddas yw : eithr yr anufuddion , y maen a wrthodasont yr edeiladwyr , hwnw a wnaed yn ben congl .
60:2:008:0	Ac yn faen tramcwydd , a’ chraic afrifed , ir rrai sy yn tramgwyddo wrth y gair a hwynt yn anufydd , ir hwn beth ir ordinhawyd hwynttw .
60:2:009:0	Eithr chwichwi cenhedlaeth etholedic ytych , brenhinawl effeiriadaeth , nasiwn santaidd , pobl syn yn briodoriaeth y Ddyvv mal i gallechi vanegi rrinweddau y neb ach galwodd o dywollwc yw ryfeddodys ’oleuni ef ,
60:2:010:0	Rrain gynt nid pobl oyddech , yn awr hagen pobl Ddyw : rrain gynt ni doed ywch trugaredd , yn awr hagen a freiniasoch trugaredd . Yr Epistol y iij . Sul gwedy yr Pasc .
60:2:011:0	Vyngrredigion , ytolwc ywch , megis dieithraid a phererinion ymgedwch o ddiwrth trachwantayr cnawd , rrain sy yn rryfela yn erbyn yr cnaid ,
60:2:012:0	A bid ych ymwreddiad yn honest ymysc y cenhedloedd , mal y gallo rrai sy ich goganu mal pe byddech afrifeid , herwydd ych gweithredoedd da y welant , foliannu Dyw yn y dydd ir ymweler ac wynt .
60:2:013:0	Ymddarostyngwch o blegyd hyn y bob dynawl odinhad ir mwyn yr Arglwydd , ai ir Brenin , mal ir goruchaf ,
60:2:014:0	Ai ir llywiawdwyr , mal i rrai trwyddo ef a ddanfonir , ir dialedd ir rrai drwc , ac ir mawl yr rrai da .
60:2:015:0	Can ys felly may wollys Dyw , mal y galloch trwy wneuthyd yn dda gostegu anwybodaeth dynion ffolion ,
60:2:016:0	Megis yn rryðion , ac nid val rrai a gymer rrydit yn lle cochel malais , eithr mal gwasnaythwyr Dyw .
60:2:017:0	Perchwch bawb : cerwch cymdeithas froduraidd : ofnwch Ddyw : anrrydeddwch y Brenin .
60:2:018:0	Gwenidogion , ymostyngant mewn pob ofn yw meistred , nid yn vnic ir rrai da cywaythas , eithr yr ir anghyweithas hevyd .
60:2:019:0	Can ys hyn sy rasol , as herwydd cydwybod i Ddyw , y bo y neb cydymddwyn molestay , yn goddau yn ddiachos . Yr Epistol yr ail Sul gwedy yr Pasc .
60:2:020:0	O blegid pa glod yw , ir bod yn dda ych ymynedd pan cernotter chwi am ych beie ? eithyr pan wneloch dda , ac ir hynny yn dda ych ymnnedd yn goddef cam , hyn sy rasol gar bron Dyw .
60:2:021:0	Can ys y hyn y galwyd chwi : o blegid Christ hefyd a ddioddefodd trosom ni , gan adel y ni angraifft val y gellychi ganlyn eu olion ef .
60:2:022:0	Rrwn ni wnaythodd pechod , ac ni chad twyll yn eu enau .
60:2:023:0	Rrwn pan ddirmygwyd ef , ni ddirmygawð eilwaith : pan ddyoddefawdd , ni vygythiodd , eithyr bwrw y dialedd at y neb sy yn barnu yn gyfion .
60:2:024:0	Rrwn y hun a ddug yn pechoday ni yn eu corff ar y pren , val y gallem ni wedi eyn ymwared o ywrth pechod , fyw y gyfiawnder , trwy cleisiau rrwn yr iachaywyd chwi .
60:2:025:0	Can ys y royddech megis defaid yn mynd ar ddidro : eithr yn awr chwi a droysoch at bigail , ac escob ych eneidiau .
