43:11:001:1	Lázaras daaztsą́
43:11:001:0	Nít'éé' Béthaniidi diné léi' Lázaras wolyéego daatsaah, éí kin shijaa'ídi Mary áádóó bádí Martha yił kééhat'į́. 
43:11:002:0	Mary éí ak'ah ílíinii Bóhólníihii bik'i yadziiziid áádóó hatsii' bee bikee' bá jíít'ódígíí éí halah Lázaras daatsaah. 
43:11:003:0	Áko halahkéí Jesus yich'į' i'ííł'a'go ání, Bóhólníihii, diné ayóó'ííní'nínígíí daatsaah. 
43:11:004:0	Jesus éí yidiizts'ą́ą'go ádííniid, Díí da'atsaahígíí doo bik'ee da'dootsaał da, nidi Diyin God ayóó át'éii bee bééhodoozįįłígíí biniyé át'é, áko Diyin God biYe' t'áá éí bee ayóó ájít'éego áhodi'doolnííł ałdó' biniyé át'é. 
43:11:005:0	Jó, Jesus éí Martha áádóó bideezhí índa Lázaras ayóó'áyó'ní. 
43:11:006:0	Áko dadzitsaahígíí yiyíínii'go, t'áá ákwii naagháago naaki náánéíską́. 
43:11:007:0	Áádóó bik'ijį' índa hódahooł'aahii ábizhdííniid, Tį', Judíyagóó náádiikah. 
43:11:008:0	Áko hódahooł'aahii ádahodííniid, Na'nitiní, shą́ą́' t'áá áhodeezniidígo Jew dine'é hoł nidazdiilniił danó'níi ni'. Da' ákoósh ákǫ́ǫ́ náádínídzá? 
43:11:009:0	Jesus ánáádoo'niid, Ła'a jínígíísh biyi' doo naakits'áadahdi ahéníná'álki' da? Áko t'áá háiida jį́įgo naagháhígíí, éí doo digeeh da, háálá díí nahasdzáán bá hool'inígíí yoo'į́. 
43:11:010:0	Nidi t'áá háiida tł'ée'go naagháhígíí, éí nídígoh doo, háálá hool'inígíí bii' ádin. 
43:11:011:0	Kót'éego hadzoodzíi'go ánáábizhdoo'niid, Nihik'is Lázaras ałhosh, nidi ajiłhoshdę́ę́' ch'ééhodeesił biniyé déyá. 
43:11:012:0	Hódahooł'aahii ádahałní, Bóhólníihii, jó, t'óó ajiiłhaazhgo k'ad shį́į́ náázhdidoodááł. 
43:11:013:0	Jesus éí Lázaras daaztsánígíí ááhyiłní, nidi hanályį́įhgo ałhoshígíí ááhyiłní daznízin. 
43:11:014:0	Áko índa t'áá bééhózínígo hoł hoolne', Lázaras éí daaztsą́, 
43:11:015:0	áko da'iidoohdląął biniyé doo áadi naasháa da nít'é'ígíí bąą shił hózhǫ́, háálá éí nihá yá'át'ééh. T'áá áko nidi bich'į' diikah. 
43:11:002:1	Jesus éí náá'diijeeh índa iiná nilį́
43:11:016:0	Áko Thomas, Naakií hodi'nínígíí, bił ídahojiił'aahii ábizhdííniid, Haa'íshą' nihí ałdó' Jesus bił dadíníi'nééł biniyé ákǫ́ǫ́ diikah. 
43:11:017:0	Nít'éé' Jesus ákwe'é jiníyáago dį́į́' yiskánídą́ą́' tséní'ootséél góne' Lázaras yóó'ályaago hoł bééhoozin. 
43:11:018:0	Jerúsałemdóó Béthaniijį' t'áá áyídí, naakidi tsin sitą́ daats'í ánízah, 
43:11:019:0	áko Jew dine'é lą'í éí Martha índa Mary bilah daaztsánígíí hadayi'ayoołniih doo biniyé yaa haaskai. 
43:11:020:0	Martha éí Jesus aadę́ę́' yigáłígíí jíínii'go dashdiiyáago bidááshníyá, Mary éí t'áá kin góne'é sidá. 
43:11:021:0	Martha éí Jesus áyidííniid, Bóhólníihii, kwe'é nanináago, shilah doo daaztsą́ą da doo nít'éé'. 
43:11:022:0	T'áá k'ad nidi Diyin God t'áá ha'át'íhída, Shá ánílééh, bidííníniidgo, éí Diyin God ná íidoolíiłgo shił bééhózin. 
43:11:023:0	Jesus áhodííniid, Nilah yę́ę náádidoodááł. 
43:11:024:0	Áádóó Martha ánáázhdoo'niid, Niiníłką́ądi da'neeznáádę́ę́' náá'di'yiijeehgo atah hinááh nízhdoodleełgo shił bééhózin ni. 
43:11:025:0	Jesus ánááhodoo'niid, Shí náá'di'yiijeeh índa iiná nishłį́; t'áá háiida shoodlą́ągo sheidzólíii éí daaztsą́ą nidi, hináa doo, 
43:11:026:0	índa t'áá háiida hiná áádóó shoodlą́ągo shaa dzólíhígíí éí ts'ídá doo dadootsaał da. Da' díísh yinídlą́? 
43:11:003:1	Jesus yicha
43:11:027:0	Martha ánáázhdoo'niid, Aoo', Bóhólníihii, ni éí Christ, Diyin God biYe' nílį́įgo nahasdzáán bikáa'jį' nínááh hodoo'niid yę́ę wooshdlą́. 
43:11:028:0	Kót'éego hadzoodzíi'go dashdiiyá, áko hadeezhí Mary, hágo bizhdííniidgo t'áá nahont'inee ábijiní, Na'nitiní níyá, áko hágo niłní. 
43:11:029:0	Áko t'áá jidiizts'ą́ą́'góó, tsį́įłgo nízhdii'na'go bich'į' jiníyá. 
43:11:030:0	Ákohgo Jesus t'ah doo kin shijaa'ígi jígháah da, nidi t'ahdii Martha hadááh níyáhígi nijighá. 
43:11:031:0	Áko Jew dine'é wóne'é Mary yił naháaztą́ągo yik'i dahałta'ígíí, éí Mary tsį́įłgo nízhdii'na'go ch'ízhníyáhígíí dayiiłtsą́ągo, Tséní'ootséeldi jidoochxah biniyé ákǫ́ǫ́ jideeyáá lá, daaníigo hakéé' ch'ékai. 
43:11:032:0	Mary éí Jesus sidáhíjį' jiníyáago Jesus jiiłtsą́ągo, bich'į' nitsizhdinígo'go ájíní, Bóhólníihii, kwe'é nanináago, shilah doo daaztsą́ą da doo nít'éé'. 
43:11:033:0	Mary jichago áádóó Jew dine'é hoł yíkaígíí ałdó' daachago, Jesus yiyiiłtsą́ągo bii' sizíinii t'áá íiyisí bidiisnáa'go nitseeltłah, 
43:11:034:0	áko ádííniid, Háadishą' nidahosoołtį́? Áádóó ádahodííniid, Bóhólníihii, tį' ákǫ́ǫ́, dínííł'įįł. 
43:11:035:0	Jesus atídineesdlį́į́'. 
43:11:036:0	Nít'éé' Jew dine'é ádadííniid, Jó'akon, dooládó' ayóó'áyó'níi da nít'éé' lá! 
43:11:004:1	Lázaras daaztsą́ą́dę́ę́' náábi'diilzá
43:11:037:0	Náádaała' ádaaní, Diné doo oo'į́į́góó oo'į́ áyiilaii, da' díí diné doo dadootsaałgóó íidoolíiłgiísh doo yíneel'ą́ą da? 
43:11:038:0	Jesus, t'áá hayi'ídi ninááhwiisnáa'go tséní'ootséeldi jiníyá; éí tséníhoodzą́ągo tsé dáádiní'ą́. 
43:11:039:0	Áko Jesus ádííniid, Tsé nówehjį' oołmáás. Nít'éé' diné daaztsánígíí bilah Martha áháłní, Bóhólníihii, k'ad jíłchxon dzizlį́į́', háálá dį́į́' yiskánídą́ą́' dadziztsą́. 
43:11:040:0	Jesus ánáázhdoo'niid, Da' doósh bee nił hweeshne' da, iinídlą́ągo Diyin God yee ayóó át'éii yidííłtsééł? 
43:11:041:0	Áko [Lázaras yóó'ályaaígi] tsé nahjį' adadzismááz. Jesus dego déé'į́į'go ání, ShiTaa', shidisíníts'ą́'ígíí nich'į' baa ahééh nisin. 
43:11:042:0	T'áá áłahjį' shidinits'a'ígíí shił bééhózin, nidi díí diné kǫ́ǫ́ naazínígíí shííníł'a'ígíí deidoodląął biniyé binááł ádíshní. 
43:11:043:0	Kót'éego hadzoodzíi'go, yéego hazhdoolghaazhgo ázhdííniid, Lázaras, wóshdę́ę́' ch'ínínááh! 
43:11:005:1	Jesus diyoolyéełgo binahast'ą́
43:11:044:0	Nít'éé' dadziztsánígíí naak'a'at'ą́hí daalgaii hála' áádóó hakee' bik'ídadeesdizgo, hanii'jį' ałdó' bee ádít'oodí bik'ídeesdizgo ch'ízhníyá. Áko Jesus áhodííniid, Hak'i nída'ooh'áadgo, hodadohchííd. 
43:11:045:0	Áko Jew dine'é lą'í Mary yił yíkaígíí, Jesus yaa naayáhígíí dayiiłtsą́ągo dayoosdląądgo yaa dadzoozlíí', 
43:11:046:0	nidi náádaała' t'éiyá Férisii danilíinii yich'į' aheeskaigo Jesus yaa naayáhígíí yaa dahoolne'. 
43:11:047:0	Áko aláahgo nááda'iiłniihii índa Férisii danilíinii éí yá nidaha'áii áłah ádayiilaago ádadííniid, Haashą' dadii'nííł? Jó, díí diné bibee adziilii bee béédahózinii łą́ą́góó yaa naaghá. 
43:11:048:0	Áko éidíígíí doo bee baa nídeiit'į́į́góogo, diné t'áá ałtso dabiidoodląął, áádóó Rome dine'é dadookahgo nihihodiyingo haz'ánígíí índa nihidine'é éí nihikéyah t'áá bił t'áá haz'ą́ą́ nít'éé' nihits'ą́ą́' deidoołchxǫǫł. 
43:11:049:0	Nidi áłah silį́'ígíí ła', éí Kéíyafas joolyéego t'áá éí yihahígíí biyi' aláahgo náá'iiłniihii jílį́įgo, hadzoodzíi'go ájíní, T'áadoo nihił béédahóziní da; 
43:11:050:0	diné t'ááłá'íígíí diné t'áá ałtso yá dadootsaałgo, áko Jew dine'é doo t'áá át'é ádooldįįłgóó nihá yá'át'éhígíí, éí doo baa nitsídaahkees da. 
43:11:051:0	Éí doo t'áá hániik'eh hadzoodzíi' da, nidi t'áá éí yihahígíí biyi' aláahgo náá'iiłniihii jílį́įgo, Jesus éí Jew dine'é yá dadootsaał jiníigo t'áá bítséedi áhodooníiłii baa hojoolne', 
43:11:052:0	áádóó doo t'áá éí dine'é t'éiyá bá da, nidi Diyin God ba'áłchíní t'áá níłtéél nít'éé' tadaoskaígíí t'ááłáhíjį' áłah íidoolííł ałdó' biniyé. 
43:11:053:0	Áko éí bijį́į́dóó dahodiyoołhéłígíí t'éí yaa nídaat'į́. 
43:11:006:1	Jesus yidooltsoł hodoo'niid
43:11:054:0	Éí bąą Jesus doo t'áá yit'íní Jew dine'é bitaa náájídáa da, nidi áádóó honoojí bíighahgi kéyah léi'góó, Íífreiyim hoolyéego kin haal'áhígóó jiníyá, áko áadi hódahooł'aahii bił nijikai nít'éé'. 
43:11:055:0	Áádóó Jew dine'é bi'atis'adeesdzá bee bééhániihii k'adę́ę baa hoolzhíísh, áko atis'adeesdzá bee bééhániihii t'ah doo baa hoolzhííshgóó ádidazhdi'dooldah biniyé t'óó ahojíyóí hakédaayahdóó Jerúsalem góde adziiskai. 
43:11:056:0	Áko Jesus hádazdéez'į́į'go kin bii' sohodizin bił haz'ą́ą́ góne' nidzizį́įgo áda'ahizhdi'ní, Haash yit'éego nitsídaahkees? hodílzingo áłah ná'ádleehíjį' daats'í doo jidoogáał da? 
43:11:057:0	Jó, aláahgo nááda'iiłniihii índa Férisii danilíinii yee dahooł'a'go ádadííniid, Diné t'áá háiida Jesus naagháhígi hoł bééhózinígíí éí baa hozhdoolnih, áko deidiiltsoł.
