43:14:001:1	ATaa' bich'į' Jesus honít'i'ii nilį́
43:14:001:0	T'áadoo nihijéí bii' nihíni' daałání; Diyin God deinohdlą́ągo baa dadzíínóhłí, shí ałdó' dashoohdlą́ągo shaa dadzíínóhłí. 
43:14:002:0	ShiTaa' bighandi t'óó ahayóigo dahooghan; doo éigi áhoot'éégóó doo bee nihił hweeshne' da doo nít'éé'. Nihiba' hasht'ehodeeshłííł biniyé ákǫ́ǫ́ déyá. 
43:14:003:0	Áko áá níyáago nihá hasht'ehooshłaago, áádę́ę́' náádeeshdááł, áádóó ákǫ́ǫ́ nánihideesh'ishgo honishłónídi nihí ałdó' áadi dahonohłǫ́ǫ doo. 
43:14:004:0	Déyáágóó nihił béédahózin, áko honít'i'góó nihił béédahózin. 
43:14:005:0	Nít'éé' Thomas áhodííniid, Bóhólníihii, díníyáágóó doo nihił béédahózin da, áko haash yit'éego honít'i'ii nihił béédahodoozįįł? 
43:14:006:0	Jesus áhodííniid, Shí honít'i'ii áádóó t'áá aaníinii índa iiná nishłį́; diné doo ła' aTaa' yaa doogáał da, shí sheego t'éiyá. 
43:14:007:0	Shéédahonohsingo, shiTaa' ałdó' béédahonohsin doo nít'éé', k'ad kodóó hwéédahonohsin áádóó dahoołtsą́. 
43:14:008:0	Philip áhodííniid, Bóhólníihii, aTaa' nihił bééhonísįįh, éí t'éí daniidzin. 
43:14:009:0	Áko Jesus ájíní, Philip, da' ałk'idą́ą́' nihił nihidiishkai nidiísh, t'ah doo shééhonísįįh da? T'áá háiida shiiłtsánígíí éí aTaa' yiyiiłtsą́; ha'át'éegoshą' áko, ATaa' nihił bééhonísįįh, shidiní? 
43:14:010:0	ATaa' bii' honishłónígíí índa aTaa' shii' hólónígíísh doo yinídlą́ą da? Saad bee nihich'į' yáshti'ígíí doo t'áá shíniik'eh bee yáshti' da, nidi aTaa' shii' hólóonii éí binaanish áyoolííł. 
43:14:011:0	ATaa' bii' honishłǫ́ǫgo áádóó aTaa' shii' hólǫ́ǫgo dashiinohdlą́; éí doodago naanish ááshłíłígíí binahjį' dashiinohdlą́. 
43:14:012:0	T'áá aaníí, t'áá aaníígóó ánihidishní, T'áá háiida shijoodlą́ągo sheijólíhígíí éí díí naanish ááshłíłígíí hó ałdó' ájoolíił doo, áádóó díí naanish ááshłíłígíí biláahdi ádaat'éii ájoolíił doo, háálá shiTaa' bich'į' déyá, éí bąą. 
43:14:013:0	T'áá ha'át'íhída shízhi' bee dayínóhkeedgo, éí ádeeshnííł, aYe' bee aTaa' baa ha'niih doo biniyé. 
43:14:002:1	Níłch'i Diyinii bee nihoot'ą́
43:14:014:0	Ha'át'íhída shízhi' bee dayínóhkeedgo, éí ádeeshnííł. 
43:14:015:0	Ayóó'ádashíínóh'níí ládą́ą́' bee nahoséł'áanii bik'eh dahonoł'į́į doo. 
43:14:016:0	Áko aTaa' néideeshkąąłgo, Áká Análwo'ii ła' nihaa néididoo'áałgo, éí hool'áágóó nihił hólǫ́ǫ doo, 
43:14:017:0	t'áá éí Níłch'i t'áá aaníinii ííshją́ą́ áyoolíiłii, nihokáá' dine'é doo dahonoozį́į́' át'ée da, háálá doo dahoo'į́į da, doo nidi hwéédahósin da, nidi nihí hwéédahonohsin, háálá nihił kééhojit'į́, áádóó nihiyi' hojílǫ́ǫ doo. 
43:14:018:0	Doo t'áá sáhí nihi'deeshnih da; nihaa nídeeshdááł. 
