43:17:001:1	Jesus bídahooł'aahii yá sodilzin
43:17:001:0	Jesus díí saad yee haadzíi'go, yá'ąąshgóó déé'į́į'go ání, ShiTaa', k'ad áajį' ahoolzhiizh; niYe' ayóó át'é ánílééh, áko niYe' ałdó' ayóó át'é ándoolííł, 
43:17:002:0	háálá baa hidííní'ánígíí t'áá ałtso iiná doo ninít'i'ii yeididoo'ááł biniyé nihokáá' dine'é nináneel'ą́ąjį' bee hóhólníihgo íinilaa. 
43:17:003:0	Áko iiná doo ninít'i'ii éí díí, ni t'éiyá t'áá aaníí Diyin God nílį́įgo néédahodoosįįł, índa Jesus Christ yiníł'a'ígíí ałdó' yéédahodoosįįł. 
43:17:004:0	Ni' bikáá' ayóó ánít'éego ániishłaa, naanish shaa dííní'ánígíí ałtso ła'yishłaa, 
43:17:005:0	áko k'ad, shiTaa' nílíinii, nił honishłǫ́ǫgo nahasdzáán t'ah doo álnééhdą́ą́' ayóó át'éii bee nił honishłǫ́ǫ́ nít'é'ígíí bee ayóó ánísht'éego áshílééh. 
43:17:006:0	Nihokáá' dine'é bitahdę́ę́' diné shaa hínínilígíí bich'į' nízhi' bee ánít'éii bééhózingo íishłaa; éí t'áá ałtso níí' nít'ée'go shaa hínínil, índa nizaad yik'eh dahół'į́. 
43:17:007:0	Áádóó t'áá ałtsoní shaa dííní'ánígíí nits'ą́ą́dę́ę́' ádaat'éego bił béédahoozin, 
43:17:008:0	háálá saad shaa dííní'ánígíí baa diní'ą́, áádóó nídeidiiláago t'áá aaníí nits'ą́ą́dę́ę́' níyáago bił béédahoozin, áádóó shííníł'a'ígíí dayoosdląąd. 
43:17:009:0	Éí bá sodiszin; nihokáá' dine'é éí doo bá sodiszin da, nidi shaa hínínilígíí t'éiyá, háálá éí ni; 
43:17:010:0	shíhígíí t'áá ałtso ni, índa nihígíí t'áá ałtso shí, áko éí hwee ayóó ánísht'éego áshi'diilyaa. 
43:17:011:0	K'ad nahasdzáán bikáa'gi doo nináánáshdáa da doo, nidi bí t'éiyá nahasdzáán yikáá' nidaakai doo, nidi shí k'ad nich'į' nihéénísdzá. ShiTaa' Diyin nílíinii, shaa hínínilígíí t'áá ni nízhi' bibee adziilii bee dayínítą', áko t'ááłá'í niidlínígi át'éego t'ááłá'í danilį́į doo. 
43:17:012:0	[Nahasdzáán bikáa'gi] t'ah bił naashkai yę́ędą́ą́' shaa hínínilígíí nízhi' bibee adziilii bee dayíníshtą' nít'éé'; éí baa áháshyą́ą́ nít'éé', áko t'áadoo ła'da yóó'íítłizh da, nidi anoonééł bá yizhchíinii t'éiyá, éí Diyin God bizaad bee ak'e'ashchínígíí bohodoolnííł biniyé. 
43:17:013:0	Nidi k'ad nich'į' nihéénísdzá, áko shibee ił hózhǫ́ bee bíni' dabíighahgo bee bił dahózhǫ́ǫ dooleeł biniyé díidíígíí nahasdzáán bikáa'gi bee hahasdziih. 
43:17:014:0	Nizaad baa diní'ą́, áádóó t'áá shí nihokáá' dine'é doo bits'ą́ą́dóó ásht'ínígi át'éego nihokáá' dine'é doo yits'ą́ą́dóó ádaat'į́į daígíí biniinaa nihokáá' dine'é dabijoołá. 
43:17:015:0	Éí nahasdzáán bikáá'dóó náádidíídléłígíí doo biniyé ádíshníi da, nidi bąąhági át'éii nilíinii bits'ąą baa áhólyą́ą doo biniyé ádíshní. 
43:17:016:0	Nihokáá' bił nidahazt'i'ii doo bídíínísht'i' da; t'áá éigi át'éego bí ałdó' nihokáá' bił nidahazt'i'ii doo yídadéét'i' da. 
43:17:017:0	Nit'áá aaníinii yee dadiyingo ádanile'; nizaad éí t'áá aaníinii át'é. 
43:17:018:0	T'áá nahasdzáán bikáa'jį' ashííníł'a'ígi át'éego, shí ałdó' nahasdzáán bikáá'góó adahoyíł'a'. 
43:17:019:0	Áko éí t'áá aaníinii bee dadiyingo ádahodi'doolnííł biniyé, shí éí honiinaa diyingo í'diishyaa. 
43:17:020:0	Díí shídahooł'aahii t'éiyá doo bá ádíshníi da, nidi dabizaad binahjį' dashiidoodląąłgo shaa dadzólíi dooleełígíí ałdó' bá sodiszin, 
43:17:021:0	áko t'áá ałtso t'ááłá'í nilį́į doo; shiTaa' nílíinii, ts'ídá shii' honílǫ́ áádóó shí ałdó' nii' honishłónígi át'éego bí ałdó' t'ááłá'í nilį́įgo nihii' hólǫ́ǫ doo, áko nihokáá' dine'é éí shííníł'a'ígíí deidoodląął. 
43:17:022:0	Bee ayóó ánísht'éii shaa dííní'ánígíí t'áá éí baa diní'ą́, áko t'ááłá'í niidlínígi át'éego t'ááłá'í danilį́į dooleeł, 
43:17:023:0	shí bii' honishłǫ́ índa ni shii' honílǫ́, áko ts'ídá t'ááłá'í danilį́į dooleeł, áko shííníł'a'ígíí índa ayóó'áshííní'nínígi át'éego ayóó'ííní'nínígíí nihokáá' dine'é bił béédahodoozįįł. 
43:17:024:0	ShiTaa', shaa hínínilígíí honishłǫ́ǫdi shił dahólǫ́ǫ le' laanaa nisin, áko bee ayóó ánísht'éii shaa dííní'ánígíí deidoołtsééł, háálá nahasdzáán t'ah doo niit'aahdą́ą́' ayóó'áshííní'ní. 
43:17:025:0	ShiTaa' ts'ídá t'áá ákogi ánít'éii, nihokáá' dine'é doo néédahósin da, nidi shí t'éí nééhasin, áádóó díidíígíí shííníł'a'go bił béédahoozin. 
43:17:026:0	Nízhi' bee bił hweeshne'go ánít'éii bił béédahózingo íishłaa, áádóó t'áá baa hashne' doo, áko ayóó'ó'ó'ní bee ayóó'áshííní'níinii bii' dahólǫ́ǫ doo, índa shí ałdó' bii' dahonishłǫ́ǫ dooleeł.
