43:3:001:1	Jesus áádóó Nikodíímas
43:3:001:0	Ákwe'é Férisii danilíinii bitahdóó diné ła', Nikodíímas joolyéego, Jew dine'é binanit'a'í jílį́. 
43:3:002:0	Díí diné tł'ée'go Jesus yaa níyáago áyidííniid, Na'nitiní, Diyin God bits'ą́ą́dę́ę́' na'nitinii nílį́įgo nihił béédahózin, háálá diné ła' Diyin God doo hoł hólǫ́ǫ́góó, bibee adziilii bee béédahózinii baa nanináhígíí ch'ééh ázhdooł'įįł. 
43:3:003:0	Jesus áhodííniid, T'áá aaníí, t'áá aaníígóó ándishní, Diné doo náábi'dizhchį́į́góó, Diyin God bee bóhólníihgo bił haz'áanii ts'ídá doo yoołtsééł át'ée da. 
43:3:004:0	Áko Nikodíímas áhodííniid, Haash yit'éego diné ła' haastihgo náábidi'doochííł? Da' hamá biishch'idísh biih nízhdoodáałgo nááhodi'doochííł? 
43:3:005:0	Jesus ánááhodoo'niid, T'áá aaníí, t'áá aaníígóó ándishní, Diné éí tó índa Níłch'i Diyinii doo bee nááho'dizhchį́į́góó Diyin God bee bóhólníihgo bił haz'áanii doo biih jóya' át'ée da. 
43:3:006:0	Ts'ídá ats'íís bee ho'dizhchíinii éí t'áá ats'íís jílį́ índa Níłch'i Diyinii bee ho'dizhchíinii éí t'áá níłch'i jílį́. 
43:3:007:0	Ts'ídá náánidi'doochííł nidishnínígíí t'áadoo bik'ee t'óó nił ahayóí. 
43:3:008:0	Níyol t'áá bí nízingóó níyol, t'óó dinits'a'go éí dinits'a', nidi deeyoldę́ę́' índa ííyolgóó éí doo nił bééhózin da, áko Níłch'i Diyinii bee nidahachíihii ałdó' t'áá ákódaat'é. 
43:3:009:0	Nikodíímas áhodííniid, Haash yit'éego díí ákódadoonííł? 
43:3:010:0	Jesus hach'į' hanáánáádzíi'go áhodííniid, Ízrel dine'é nanítin, da' ákoósh díí doo bik'i'diitįįh da? 
43:3:011:0	T'áá aaníí, t'áá aaníígóó ándishní, Nihí nihił béédahózinígíí bee hadahiidziih, áádóó daníil'į́'ígíí baa dahwiilne', nidi baa dahwiilne'ígíí doo nídadoohłée da. 
43:3:012:0	Nahasdzáán bikáa'gi áhoot'éhígíí bee nił hweeshne' nidi doo yinídlą́ą dago, yá'ąąshdi áhoot'éhígíí bee nił hweeshne'go haash yit'éego áłt'ąą éí yidíídląął? 
43:3:013:0	Yá'ąąshgóó doo ła' naayáhí da, t'áá hazhó'ó yá'ąąshdę́ę́' hadááyáhígíí, Diné Silį́į'ii t'éiyá [t'áá éí yá'ąąshdi hojílónígíí]. 
43:3:014:0	T'áá honoojíidi Mózes éí tł'iish dah hizhdiiłt'e' yę́ęgi át'éego, Diné Silį́į'ii dah hididoolt'eeł, 
43:3:015:0	áko t'áá háiida boodlą́ągo baa dzólíhígíí éí [doo ádoodįįł da, nidi] iiná doo ninít'i'ii bee hólǫ́ǫ dooleeł. 
43:3:016:0	Háálá Diyin God éí nihokáá' dine'é t'áá íiyisí ayóó'ájó'níigo bąą haYe' t'ááłá'í há yizhchínígíí baazhníłtį́, áko t'áá háiida boodlą́ągo baa dzólíhígíí éí doo ádoodįįł da, nidi iiná doo ninít'i'ii bee hólǫ́ǫ dooleeł. 
43:3:017:0	Háálá Diyin God haYe' nilíinii nahasdzáán bikáa'jį' jiníł'a'ígíí éí doo nihokáá' dine'é yá nihodiyoo'ááł biniyé jiníł'a' da, nidi bí bee nihokáá' dine'é yisdádoo'nił biniyé jiníł'a'. 
43:3:018:0	T'áá háiida boodlą́ągo baa dzólíii éí doo bá nihoot'ą́ą da, nidi doo boodlánígíí éí t'áá íídą́ą́' bá nihoot'ą́ągo át'é, háálá Diyin God haYe' t'ááłá'í há yizhchínígíí bízhi' doo bił danilį́į́góó t'áadoo dayoosdląąd da. 
43:3:019:0	Áko díidí biniinaa diné baa nídahódóot'įįł, jó, adinídíín nilíinii nahasdzáán yikáá' niníyá, nidi doo bił yá'ádaat'ééhgóó chahałheełjí t'éiyá t'áá íiyisí bił yá'ádahoot'ééh, háálá yee ádaaníiłii doo yá'ádaashǫ́ǫ da. 
43:3:020:0	Háálá t'áá ádzíłtso doo yá'áshǫ́ǫ́góó ádajooníiłii éí adinídíín nilíinii dajijoołá, áko doo yit'íní í'dazhdi'doolníłígíí biniyé doo ła' adinídíinjį' ch'ídajíkáah da. 
43:3:002:1	Jesus áádóó John Tó Yee Asį́įhii
43:3:021:0	Nidi t'áá aaníígóó ádajooníiłii éí t'éiyá adinídíinjį' nijiikááh, ádajooníłígíí Diyin God bik'ehgo át'éego bééhodoozįįł biniyé. 
43:3:022:0	Kódaadzaadóó bik'ijį' Jesus índa hódahooł'aahii bił kéyah Judíyadi jíkai, áko t'áá ákwii bił nijikaigo tó bee da'dzisį́į́h nít'éé'. 
43:3:023:0	John ałdó' Séílimdóó t'áá áyídígi Íínan hoolyéegi tó yee asį́į́h nít'éé', ákwe'é tó lą'í hólǫ́ éí bąą, áko diné áłah silį́į'go ákwii tó bee dadzíísį́į́'. 
43:3:024:0	Háálá íídą́ą́' John t'ah doo yah abi'dilt'e' da.  
43:3:025:0	John bídahooł'aahii ła' índa Jew dine'é nilíinii hodílzingo táá'ágisígíí biniinaa ałghada'dit'áahgo yaa nídiikai. 
43:3:026:0	Áko John baa jíkaigo ádabizhdííniid, Na'nitiní, Jórdan biláahdi bił nani'aashgo baa hwíínílne'ígíí, jó'akon, t'áá éí tó yee asį́įhgo diné t'áá ałtso baa hakááh. 
43:3:027:0	John haadzíi'go áhodííniid, Diné t'áadoo baa doodiłí da, t'áá hazhó'ó yá'ąąshdę́ę́' t'éí ba'doodił. 
43:3:028:0	Shí doo Christ nishłį́į da, nidi t'óó hatsijį' shi'deel'a', dishníigo haasdzíi'ii, t'áá nihí shá nihił béédahózin. 
43:3:029:0	Bá'doogehii éí adooyehii bíí' jílį́, áko iiyehii bik'is jílíinii, bíighahgóó dzizį́įgo jíists'ą́ą'ii éí adooyehii biinéé' jidiits'a'go t'áá íiyisí baa hoł hózhǫ́, díí bił ałk'ehgo t'áá íiyisí shił hózhǫ́ǫgo áshi'diilyaa. 
43:3:003:1	Wót'ááhdę́ę́' hadajííyáii
43:3:030:0	Hó éí ts'ídá ayóó át'éii jidooleeł, nidi shí éí a'oh deeshłeeł. 
43:3:031:0	Wót'ááhdę́ę́' hadajííyáhígíí éí ts'ídá t'áá ałtsoní biláahgo ájít'é; t'áá háiida nahasdzáán bikáá'dóó jílínígíí éí t'áá nahasdzáán bikáá'dóó nijighá, áko t'áá nahasdzáán t'éí baa yájíłti'; yá'ąąshdę́ę́' hadajííyáhígíí éí ts'ídá t'áá ałtsoní biláahgo ájít'é. 
43:3:032:0	T'áá jiiłtsánígíí índa jidiizts'ą́'ígíí éí baa hojilne', nidi diné doo ła' hahane' ya'ooliih da, 
43:3:033:0	áko hahane' ya'oozlí'ígíí t'áá ákót'é Diyin God t'áá aaníí lá níigo yee lą́ asłį́į́'. 
43:3:034:0	Jó, Diyin God biníł'a'ígíí éí Diyin God bizaad yee yáłti', háálá éí Níłch'i Diyinii t'áadoo bí'neel'ąąhí eidii'aah; 
43:3:035:0	aTaa' éí aYe' ayóó'áyó'ní, áko t'áá ałtsoní yílák'eidíí'ą́. 
43:3:036:0	T'áá ła' aYe' joodlą́ągo beijólíii éí iiná doo ninít'i'ii hwee hólǫ́; t'áá ła' aYe' doo joodlą́ą́góó doo bik'eh hojíł'íinii éí iiná doo yizdoołtséeł da, nidi Diyin God t'óó báhádzidgo bibee até'él'íinii hak'igi hólǫ́.
