43:6:001:1	Diné ashdladi mííl yilt'éego ba'íltsood
43:6:001:0	Kódaadzaadóó bik'ijį' Gálilii be'ek'id tsé'naagóó Jesus bił dah nídii'éél, t'áá éí Taibííriyas be'ek'id wolyé. 
43:6:002:0	Áko diné t'óó ahayóí hakéé' yíkai, háálá bąąh nidahałniihígíí habee adziilii bee béédahózinii bá ájiilaaígíí dayiiłtsą́. 
43:6:003:0	Áko Jesus dah daask'id ła' bąąh híjiiyáago ákwii hódahooł'aahii bił nidzíiztą́ą́ nít'éé'. 
43:6:004:0	Jew dine'é hodílzingo áłah ná'ádleehígíí, t'áá éí atis'adeesdzá bee bééhániihii, k'adę́ę baa hoolzhíísh. 
43:6:005:0	Jesus jidéé'į́į́', nít'éé' diné t'óó ahayóí hach'į' dayíkáahgo jiiłtsą́, áko Philip ábizhdííniid, Háádę́ę́' lá bááh nidahidiilnihgo díí diné da'dooyį́į́ł lá? 
43:6:006:0	Éí t'áá daats'í íiyisí shijoodlą́ nízingo áháłní, háálá ádoonílígíí t'áá bí bił bééhózin. 
43:6:007:0	Áko Philip áhodííniid, Bááh éí denériyas naakidi neeznádiin bíighahgo nahaaznii' nidi t'áadoo bidínóołnah da, azhą́ t'ááłá'í nítínígo áłch'į́į́dígo bada'iistsood nidi doo bidínóołnah da. 
43:6:008:0	Nít'éé' hódahooł'aahii ła' Andrew, Sáíman Peter yił háá'ázhígíí, áhodííniid, 
43:6:009:0	Kǫ́ǫ́ ashkii léi' tł'oh naadą́ą́' bidee'í łees'áán ashdla'go áádóó łóó' áłts'íísígíí naakigo neijaah, nidi éísh ákózhnéelą́ą'go hodínóołnah? 
43:6:010:0	Áko Jesus ádííniid, Diné t'áá ałtso dadinohbįįh bidiní. Éí haz'ánígi tł'oh yíl'áago ákwii diné ashdladi míilgo daats'í dineezbin. 
43:6:011:0	Áko Jesus éí łees'áán néidiinilgo, Diyin God yich'į' yaa ahééh niizį́į'go, [bídahooł'aahii yitaiznii', áádóó bídahooł'aahii éí] dadineezbinígíí yitaa deiznii'; łóó' ałdó' t'áá bee hwiih ódle' bíighahgo yitaiznii'. 
43:6:012:0	Hwiih daazlį́į'go hódahooł'aahii ábizhdííniid, Bi'oh nida'iisdą́'ígíí áłah áńdaahdlééh, áko doo t'áá ádzaaí dooleeł da. 
43:6:013:0	Áko tł'oh naadą́ą́' bidee'í łees'áán ashdla' neheesti'go dajííyą́ą'ii, éí bi'oh da'jííyą́'ígíí ts'iizis naakits'áadah bii' hadazhdééłbįįd. 
43:6:014:0	Áko Jesus habee adziilii bee bééhózinii baa nijiyáhígíí dayiiłtsą́ągo ádadííniid, Díí t'áá aaníí Diyin God yá halne'ii nahasdzáán bikáa'gi doogááł hodoo'niidii át'į́į́ lá. 
43:6:002:1	Jesus táłkáá' yigááł
43:6:015:0	Áko Jesus aláahgo naat'áanii jidooleełjį' ahó'di'doodził biniyé k'adę́ę aadę́ę́' hach'į' dah adiildéehgo baa ákodziniizį́į'go dziłgóó t'áá sáhí dah náázdiidzá. 
43:6:016:0	I'íí'ą́ągo be'ek'id góyaa hódahooł'aahii hadanáákaigo, 
43:6:017:0	tsinaa'eeł yiih náákai, áádóó Kapérniyamgóó tsé'naa bił dah adii'éél. Áko hiłiijį́į'go Jesus t'ah doo haa nádáah da. 
43:6:018:0	Nít'éé' ayóó át'éego deeyolgo biniinaa tó náádadiidááh. 
43:6:019:0	Áko táá' daats'í, dį́į́' daats'í tsin sitą́ ánízahgóó da'jíł'eełgo Jesus táłkáá'góó tsinaa'eeł yich'į' yigáałgo dajiiłtsą́. Áko bik'ee hoł yéé' dahazlį́į́', 
43:6:020:0	nidi áhodííniid, Shíyee' ásht'į́; t'áadoo nídaałdzidí. 
43:6:003:1	Diné éí Jesus hadeintá
43:6:021:0	Áko haa bił dahóózhǫǫdgo tsinaa'eeł yiih dahast'e'go, t'áá áko kéyah bich'į' da'jíł'eełígíí baa da'dzis'éél. 
43:6:022:0	T'áá ákǫ́ǫ́ dabiiskánígíí náwónaaníjí tsinaa'eeł doo ła' si'ą́ą́góó dayiiłtsą́, tsinaa'eeł Jesus bídahooł'aahii yiih yikai yę́ę t'éiyá. Hódahooł'aahii tsinaa'eeł doo bił biih jookai da ni', nidi hódahooł'aahii t'éiyá t'áá sáhí bił dah adii'éelgo bił béédahózin. 
43:6:023:0	Ákondi Bóhólníihii łees'áán yik'i sodoolzingo ahééh niizį́į́'dóó bik'ijį' da'jííyą́ą́' yę́ędóó t'áá áyídígi tsinaa'eeł ła' Taibííriyasdę́ę́' nidahaaz'éél lá. 
43:6:004:1	Jesus éí bááh bee iináanii nilį́
43:6:024:0	Áko diné éí Jesus áádóó bídahooł'aahii doo kwe'é nidaakaigóó bił béédahoozingo, bí ałdó' Jesus yíkadantáago tsinaa'eeł yiih yikaigo Kapérniyamgóó bił dah nááda'dii'éél. 
43:6:025:0	Be'ek'id wónaanídi hak'ídaaskaigo ádahodííniid, Na'nitiní, hádą́ą'shą' kwe'é yíníyá? 
43:6:026:0	Jesus áhodííniid, T'áá aaníí, t'áá aaníígóó ánihidishní, Nihinááł shibee adziilii bee béédahózinii baa niséyáhígíí doo biniyé shíkadanohtáa da, nidi łees'áán daoyą́ą'go bee hwiih dasoolį́'ígíí éí t'éiyá biniyé shíkadanohtá. 
43:6:027:0	Ch'iyáán áádįįłii t'éiyá t'áadoo bíká nidaahkaí, nidi iiná doo ninít'i'ii bá ch'iyáán doo ádįįhii hádaaht'į́, éí Diné Silį́į'ii nihaididoo'ááł, háálá Diyin God aTaa' nilíinii hwee lą́ asłį́'ígíí bee hwéého'dílzingo áhoolaa. 
