49:5:001:1	Adinídíínjí nidaakaígi át'éego dayínóhkááh
49:5:001:0	Diyin God ba'áłchíní ayóó'áyó'nínígíí danohłį́įgo bida'oł'į́ .
49:5:002:0	T'áá Christ ayóó'ánihó'nínígi át'éego ayóó'ó'ó'ní bee dayínóhkááh . Jó , Christ nihá niná'ádeet'ą́ągo łikání halchingo nááhániihii nilį́įgo Diyin God yich'į' náá'ádiisnii' .
49:5:003:0	Nidi na'ageh bee tsi'na'adá índa badaa'ihii t'áá ałtso áádóó adáhonooní t'óó bee ha'doodzih nidi t'áadoo baa yádaałti'í , háálá éí Diyin God bidiyį́į́' danohłį́įgo doo niheełt'ée da .
49:5:004:0	Baa yádahasinii , áhodiigisgo yáti' índa t'áá ádzaagóó niyá'áhoditi' nidi dooda , éí ałdó' doo niheełt'ée da , nidi Diyin God bich'į' ahééh danohsingo yádaałti' .
49:5:005:0	Díí ts'ídá baa ákodanohsin , diné na'ageh yee tsi'naagháii , doodaii' baa'ihgo hináanii , doodaii' diné adánoolníinii , éí e'elyaii yich'į' nahałáii danilíinii éí Christ índa Diyin God bee bóhólníihgo bił haz'áanii łá'í nidi łahdóó doo hó da .
49:5:006:0	T'ááká diné ła'da saad t'áadoo dabiniyéhíii yee nihida'dóleeh yíila' , háálá ákódaat'éhígíí biniyé Diyin God t'óó báhádzidgo bibee até'él'íinii éí diné doo ak'eh dahół'íinii bik'i dahwiileeh .
49:5:007:0	Éí bąą éí t'áadoo bił naałdeehí .
49:5:008:0	Háálá łah nihił daatł'éé' nít'éé' , nidi k'ad Bóhólníihii bee nihił ch'ída'deezdláád , áko adinídíín ba'áłchíní danohłį́įgo dayínóhkááh .
49:5:009:0	Háálá yá'ádaat'éehii áádóó t'áá ákogi ádaat'éii índa t'áá aaníí ádaat'éii t'áá ałtso éí Níłch'i Diyinii bineest'ą' ádaat'é .
49:5:010:0	Bóhólníihii yaa bił hózhǫ́ǫ dooleełii nabídanohtaahgo bídahooł'aah .
49:5:011:0	Áádóó chahałheeł biyi' baa da'íldéehii t'áadoo náoodle'í ádaat'éii t'áadoo bee atah danohłíní , nidi doo nihił adaaníígóó yit'íní ádaahłe' .
49:5:012:0	Nahonit'ingo yaa nidaakaígíí bee ha'doodzih nidi t'óó baa yáhásin .
