14:12:001:1	Sháíshak éí Júdah dine'é yich'į' nídiibaa'
14:12:001:0	Áádóó ákódzaago Riihobówam bibee óhólnííh bidziilgo áyiilaa índa bidziilgo í'diilyaago Bóhólníihii bibee haz'áanii yóó'iidíí'ą́ągo Ízrel dine'é t'áá ałtso yił ákódáát'įįd. 
14:12:002:0	Nít'éé' Riihobówam aláahgo naat'áanii nilį́įgo ashdla' náhááh góne' Bóhólníihii bich'į' nida'jiisíihgo biniinaa Ííjip dine'é aláahgo binanit'a'í Sháíshak éí Jerúsalem yich'į' nídiibaa'. 
14:12:003:0	Áko t'ááłáhídi mííldóó ba'aan naakidi neeznádiin tsindaabąąs bijáád naakiígíí áádóó łį́į́' yee nidaabaahii hastą́diindi míilgo índa diné doo jóołta' ánéelą́ą' da éí Lúbim dine'é áádóó Sákaiyim dine'é índa Iithiyópiya dine'é danilíinii Ííjip kéyahdę́ę́' yił níná. 
14:12:004:0	Áádóó Júdah kéyahgi kin hadaas'á ditą́ągo binaa ahééda'astł'inígíí yisnáago Jerúsalem kin haal'áajį' níná. 
14:12:005:0	Ákohgo Diyin God yá halne'ii Shiiméíyah éí Riihobówam áádóó Júdah dine'é binanit'a'í danilíinii Sháíshak biniinaa Jerúsalemgi ahííkaígíí yaa níyáago ííłní, Bóhólníihii kóní, Yóó'adashidoo'ą́ągo bąą shí ałdó' nihits'ą́ą́' dah diiyáago Sháíshak baa nihidiní'ą́. 
14:12:006:0	Áko Ízrel dine'é binanit'a'í danilíinii áádóó aláahgo naat'áanii a'ohgo áda'diilyaa áádóó ádadííniid, Bóhólníihii t'áá ákogi át'éii nilį́. 
14:12:007:0	Áko Bóhólníihii éí a'ohgo ádazhdiilyaaígíí yiyiiłtsą́ągo Bóhólníihii bizaad yee Shiiméíyah yich'į' haadzíí'; t'áá bí a'ohgo áda'diilyaa; éí bąą doo áhodeeshdįįł da, nidi yee dadoodzihii baa dideesh'ááł áádóó Sháíshak binahjį' hashké nísdzinígíí doo Jerúsalem bik'i yeideeshxéeł da. 
14:12:008:0	Ákót'ée nidi Sháíshak bá naal'a'í dajílį́į doo, áko shí na'ash'a'ígíí áádóó kéyahgóó bee ídahólníihii éí nida'ał'a'ígíí hoł béédahodoozįįł. 
14:12:009:0	Áko Ííjip dine'é aláahgo binanit'a'í Sháíshak éí Jerúsalem kin haal'áii yaatįįh heedzáago yisnáago Bóhólníihii bikin bii' sohodizindóó índa aláahgo naat'áanii bikindóó yódí da'ílíinii ałtso néidiinil, índa Sálaman éí óola bee naagé ádayiilaii ałdó' t'áá át'é ayííjaa'. 
14:12:010:0	Áádóó aláahgo naat'áanii Riihobówam éí naagé bitsásk'ehgi béésh łitsoii bee naagé ádayiilaa, áádóó siláo aląąjį' binanit'a'í éí aláahgo naat'áanii bighan ch'é'étiingi yaa ádahalyánígíí yeinínil. 
14:12:011:0	Áko aláahgo naat'áanii éí Bóhólníihii bikin bii' sohodizin góne' yah anádáahgo, aa ádahalyánígíí éí naagé nínádeidii'nił, áádóó bighan góne' ninádei'nił. 
14:12:012:0	Áádóó aláahgo naat'áanii a'ohgo í'diilyaago Bóhólníihii hashké niidzį́į'ii łahgo ánáyiidlaago t'áadoo ałtso áhásdįįd da, áádóó Júdah kéyahgi ałdó' yá'ádahoot'ééh nídahasdlį́į́'. 
14:12:013:0	Ákohgo aláahgo naat'áanii Riihobówam bidziilgo í'diilyaago Jerúsalem kin haal'áagi nant'áá nít'éé'. Dízdiindóó ba'aan t'ááłá'í binááhaigo nant'á silį́į́' áádóó Ízrel dine'é t'áá ałtso bitahdóó Jerúsalem kin haal'áhígíí éí Bóhólníihii náhodii'ánígíí bízhi' bee wójíi dooleełígi tsosts'idts'áadah nááhaijį' nant'áá nít'éé'. Bimá éí Áman dine'é ła' nilį́įgo Néíyamah wolyéé nít'éé'. 
14:12:014:0	Áádóó doo yá'ádaashóonii yaa naayá, háálá Bóhólníihii hát'į́į dooleełígíí doo yee hasht'e'nitsíníkéez da. 
14:12:015:0	Áko Riihobówam łahjį' yaa naayáii átséhígíí áádóó akée'diígíí éí Diyin God yá halne'ii Shiiméíyah índa á oo'į́ nilíinii Ído éí ałkéé' oochííł bik'ehgo binaaltsoos bik'inídaháasdzo. Riihobówam áádóó Jerobówam t'áá áłahjį' yił anaa' hółǫ́ǫ́ nít'éé'. 
14:12:016:0	Riihobówam dabizhé'é yę́ę da'iiłhaazhígi át'éego i'ííłhaazhgo David yę́ę bikin haal'áagi yóó'ábi'diilyaa, áádóó biye' Abáíjah bitsásk'ehgi nant'áá nít'éé'.
