14:24:001:1	Jó'ash éí Júdah dine'é yinant'áá nít'éé'
14:24:001:0	Jó'ash tsosts'id binááhaigo aláahgo nant'á silį́į́', áko Jerúsalem kin haal'áagi nant'áago dízdiin nááhai. Bimá éí Zíbiyah wolyéego Bíyer-shííba kin shijaa'dóó naaghá. 
14:24:002:0	Áádóó Jó'ash t'áá ákogi ájít'į́įgo Bóhólníihii binááł joogáałgo náá'iiłniihii Jiihóíyada nibíiníłką́. 
14:24:003:0	Áko Jiihóíyada éí hwe'asdzą́ą́ dooleełii naakigo há néidiinil áádóó haye'ké índa hatsi'ké há niheezhchį́. 
14:24:004:0	Áádóó ákódzaadóó bik'ijį' Jó'ash éí Bóhólníihii bikin bii' sohodizin hasht'éédeeshdlííł jiniizį́į́'. 
14:24:005:0	Áko nááda'iiłniihii áádóó Líívai dine'é áłah áyiilaago áyidííniid, Nílááh, Júdah kéyahgi kin hadaas'áágóó dadohkááh, áádóó Ízrel dine'é t'áá ałtso bits'ą́ą́dóó béeso bee Diyin God bikin bii' sohodizin hasht'éédaoł'į́įdgo nináháháahgo yáál áłah áńdaoł'įįh doo, áko díí kót'éego tsxį́įłgo ádaaht'į́į doo. Ákondi Líívai dine'é nida'áhodilziidgo béeso yiniyé tádadikááh. 
14:24:006:0	Áádóó aláahgo naat'áanii éí aláahgo náá'iiłniihii Jiihóíyada hágo yidííniidgo ííłní, Haash yit'éego t'ah doo Líívai dine'é éí Júdah dine'é índa Jerúsalem kin haal'áádę́ę́' dine'é bits'ą́ą́dóó béeso nehelyéii éí Bóhólníihii áádóó Ízrel dine'é dah yinéełii yá naal'a'í Mózes yee haadzíi'ii bik'ehgo níbaal bii' hodílzinii bii' bee aha'deet'áanii si'ánígíí bá áłah ádaołéeh da? 
14:24:007:0	Háálá asdzání doo yá'áshóonii Athaláíyah biyáázhké éí Diyin God bikin bii' sohodizin góne' t'áá na'níle'dii yah ííjée'go Bóhólníihii bikin bii' sohodizin bii' diyingo nidahideest'áanii t'áá át'é ch'ídayiizhjaa'go Béíyalim baa hidit'aah doogo yaa deideez'ą́. 
14:24:008:0	Áádóó aláahgo naat'áanii hach'į' haadzíi'go tsits'aa' ádajiilaago Bóhólníihii bikin bii' sohodizin tł'óo'di dáń'dítį́įhgi nidadziz'ą́. 
14:24:009:0	Áko Diyin God yá naal'a'í Mózes éí honoojíidi Ízrel dine'é yąąh niinílá yę́ęgi át'éego Bóhólníihii bich'į' béeso nehelyéii nidahizhdoojih biniyé Júdah dine'é áádóó Jerúsalem dine'é bitahgóó bee yádajííłti'. 
14:24:010:0	Naat'áanii danilíinii t'áá ałtso áádóó diné t'áá ałtso bi ł nidahoozhǫǫhgo tsits'aa' bii' béeso hadéébįįdjį' bibéeso nidayiizhjaa'. 
