14:35:001:1	Josáíyah éí atis'adeesdzá bee bééhániihii náyiił'a'
14:35:001:0	Náá'áłdó' Josáíyah éí Jerúsalem kin haal'áagi atis'adeesdzá bee bééhániihii yee Bóhólníihii yich'į' nahasá, áko átsé nídízííd binih dį́į́ts'áadah yoołkááł góne' atis'adeesdzá bee bééhániihii dibé yázhí nideistseed. 
14:35:002:0	Áádóó nááda'iiłniihii bindaanish dooleełii yeisįįd, áádóó chánah áyiilaago Bóhólníihii bikin bii' sohodizin góne' nihidadiil'a'. 
14:35:003:0	Áko Líívai dine'é éí Ízrel dine'é t'áá ałtso yindeinitinii t'áá éí Bóhólníihii bá diyingo nibidee'nilii ábijiní, Ízrel dine'é aláahgo binanit'a'í David yę́ę biye' Sálaman yę́ę éí Bóhólníihii bikin bii' sohodizin áyiilaaí góne' tsits'aa' dílzinii nidanoh'aah, áko nihiwos bee nidaah'áá nít'é'ígíí doo nihide át'éégóó si'ą́ą doo. K'ad Bóhólníihii nihiDiyin God áádóó bidine'é Ízrel bá nidaał'a'. 
14:35:004:0	Áko danihizhé'é yę́ę bits'ą́ą́dóó náás ahoolchíiłii dah nishoojaa'ígíí bik'ehgo Ízrel dine'é aláahgo binanit'a'í David yę́ę biye' Sálaman yę́ę yee ak'e'ashchíinii bik'ehgo t'áá nihí hasht'e'ádadołnééh. 
14:35:005:0	Índa nihik'isóó Ízrel dine'é dabizhé'é yę́ę bits'ą́ą́dóó náás da'ahílchíihii daníjaa' bik'ehgo áádóó Líívai dine'é náás da'ahílchíihii daníjaa' bik'ehgo diyingo haz'ánígi nídaohzįįhgo nidaoł'a' doo. 
14:35:006:0	Áko atis'adeesdzá bee bééhániihii biniyé dibé yázhí nidadoołtsił, áádóó ádadołdééh índa Bóhólníihii éí Mózes yich'į' haadzíi'ii bik'ehgo danihik'is náádadi'yoołnih biniyé bá hasht'edadoohłííł. 
14:35:007:0	Áádóó Josáíyah éí atis'adeesdzá bee bééhániihii bá t'áá át'é náádahidoonihígíí biniyé dibé bitahdę́ę́' dibé yázhí índa tł'ízí yázhí éí diné t'áá ałtso ákwii nidaakaígíí yeinínil; éí tádiindi mííl áádóó dóola yázhí éí táadi mííl, áko díí éí aláahgo naat'áanii bilį́į́' bitahdę́'ígíí át'é. 
14:35:008:0	Índa bikéé'dóó naat'áanii danilíinii bił dahadlee'go diné áádóó nááda'iiłniihii índa Líívai dine'é yada'iiznil. Hilkáíyah áádóó Zekaráíyah índa Jáíyel éí Diyin God bikin bii' sohodizingi bídahólníihii éí atis'adeesdzá bee bééhániihii nááhidoonih biniyé naakidi mííldóó ba'aan hastą́diin dibé yázhí áádóó tł'ízí yázhí índa táadi neeznádiin dóola éí nááda'iiłniihii yaa deiznil. 
14:35:009:0	Konanáíyah ałdó' áádóó bik'is Shiiméíyah áádóó Niithániyel áádóó Hashabáíyah áádóó Jáíyel índa Jázabad, díí Líívai dine'é yiląąjį' naazíinii éí atis'adeesdzá bee bééhániihii nááhidoonih biniyé ashdladi mííl dibé yázhí áádóó tł'ízí yázhí índa ashdladi neeznádiin dóola éí Líívai dine'é yaa deiznil. 
14:35:010:0	Áko nahodoodlaał biniyé hasht'ehodeedzaa; aláahgo naat'áanii yee haadzíi'ii bik'ehgo nááda'iiłniihii bá nahaz'ą́ą́góó áádóó Líívai dine'é dah naazhjaa'go naazį́. 
14:35:011:0	Ákohgo atis'adeesdzá bee bééhániihii biniyé dibé yázhí nideistseed áádóó nááda'iiłniihii éí diłígíí hálák'eedóó hadeiizką́ągo ak'ídeistah índa Líívai dine'é éí nída'as'ah. 
14:35:012:0	Áko didlidgo náádahaniihii t'áá sahdii náádeidii'nił, áko Ízrel dine'é dabizhé'é yę́ę ba'áłchíní náás ahoolchíiłii daníjaa' bik'ehgo éí Bóhólníihii yich'į' náádeidiyoołnih biniyé yitaa nídei'nih. Mózes binaaltsoos bii' bee ak'e'ashchínígíí bik'ehgo ákóda'iilaa, índa dóolaígíí ałdó' ákódayiilaa. 
14:35:013:0	Bik'eh hoogáałii bik'ehgo atis'adeesdzá biniyé dibé yázhí tsííkáá' deist'é áádóó ła' diyingo nááhániihígíí éí ásaa' bee abézhí áádóó ásaa'tsohda índa ásaa' yázhída yee deishbéezhgo, tsxį́įłgo diné t'áá át'é yitaa deizką́. 
14:35:014:0	Áádóó bik'ijį' índa Líívai dine'é t'áá bí ádá áádóó nááda'iiłniihii ałdó' yá da'ast'é, háálá nááda'iiłniihii Éran biye' náás ahoolchíiłii éí didlidgo náádahaniihii áádóó ak'ah náádayiiłniih bindaanishgo hiłiijį́į́'; éí bąą Líívai dine'é t'áá bí ádá áádóó nááda'iiłniihii Éran biye' náás ahoolchíiłii ałdó' yá da'ast'é. 
14:35:015:0	Áko Éísaf ba'áłchíní náás ahoolchíiłii dahataałii t'áá nideidzįįhígi naazį́; David yę́ę áádóó Éísaf yę́ę áádóó Hííman yę́ę índa Jedúthan éí aláahgo naat'áanii yá náásgóó áhodoonííł yaa halne'ii nilį́įgo ádííniidii yik'ehgo naazį́, áko dáń'da'ditį́į́h yaa ádahalyánígíí dáń'da'ditį́į́hgóó naazį́, éí bindaanishígíí doo ni' kódeilééhgóó; jó, dahak'is Líívai dine'é há ch'iyáán hasht'éédayiil'įįh. 
14:35:016:0	Kót'éego aláahgo naat'áanii Josáíyah yee haadzí'ígíí bik'ehgo atis'adeesdzá bee bééhániihii bee Bóhólníihii bich'į' nidahozhdoołaałgo áádóó Bóhólníihii bibikáá' náá'iiniihí bikáa'jį' didlidgo náádahaniihii náádahizhdoołnihgo biniyé éí hoolzhish góne' ałtso hasht'edaalyaa. 
14:35:017:0	Íídą́ą́' Ízrel dine'é ákwii nidaakaígíí atis'adeesdzá bee bééhániihii áádóó díík'ǫsh t'áágééd bááh ályaii bee hodílzingo áłah nilį́įgo tsosts'id jį́įjį' nidahasá. 
14:35:018:0	Áko Ízrel dine'é bikéyah atis'adeesdzá bee bééhániihgo nahadlá doo ła' ákót'éego álnééhgóó Diyin God yá halne'ii Sámuel bíiniiłką́ áádóó Ízrel dine'é aláahgo binanit'a'í danilíinii t'áadoo ła' ákó'iilaa da; Josáíyah áádóó nááda'iiłniihii áádóó Líívai dine'é áádóó Júdah dine'é índa Ízrel dine'é ákwii nidaakaígíí áádóó Jerúsalem kin haal'áagi kéédahat'ínígíí ákóda'iilaa. 
14:35:002:1	Josáíyah daaztsą́
14:35:019:0	Josáíyah nant'áago tseebííts'áadah yihah góne' díí atis'adeesdzá bee bééhániihii bee hoo'a'. 
14:35:020:0	Áko díí t'áá át'é Josáíyah éí kin bii' sohodizin hasht'ééyiidlaadóó bik'ijį' Ííjip dine'é aláahgo binanit'a'í Nííko éí Yufréítiiz tooh nílínígi Kárkiimish kin haal'á yik'ijį' nidoobah yiniyé níná, áko Josáíyah ákǫ́ǫ́ yich'į' ííbaa'. 
14:35:021:0	Nidi Nííko éí aláahgo á naazíinii hach'į' ayííł'a'go ání, Júdah dine'é aláahgo binanit'a'í nílíinii, doo niniyé ásht'į́į da. Díí jį́ doo naaníbaa' da, nidi bił anada'ahish'ínígíí éí biniyé yishááł; jó, Diyin God tsxį́įłgo ánít'į́, shiłní. Diyin God éí shił hólónígíí doo ándoołdįįł da biniyé bits'ąą áá honít'įįh. 
14:35:022:0	Ákót'ée nidi, Josáíyah doo hats'ą́ąjį' dah dooya' át'ée da, nidi hach'į' nidoobah biniyé doo béého'dílzingóó í'diilyaa. Diyin God éí Nííko yich'į' yee haadzíi'ii doo jíists'ą́ą́'góó nizhdoobah biniyé Megído honíts'aa'gi jiníyá. 
14:35:023:0	Nít'éé' da'diłt'ohii aláahgo naat'áanii Josáíyah deiskah, áko aláahgo naat'áanii bá nidaal'a'í ííłní, Nídashidoołteeh, háálá yéego k'ashi'doolk'eh. 
14:35:024:0	Éí bąą há nidaal'a'í tsinaabąąs bijáád naakiígíí yii'dę́ę́' hadah hastį́įgo naaki góne' tsinaabąąs bijáád naakiígíí hwee hólónígíí yiih dahastį́įgo Jerúsalem kin haal'áajį' nídahastį́įgo dadziztsą́ áádóó dahazhé'é yę́ę dabitséní'ootséél ła' bii'jį' yóó'áho'diilyaa. Áko Júdah dine'é áádóó Jerúsalem dine'é t'áá ałtso éí Josáíyah yę́ę yaa yínííł naaskai. 
14:35:025:0	Áko Jeremáíyah éí Josáíyah yę́ę yaa atínídindleeh nít'éé'. Áádóó dííshjį́į́góó diné índa asdzání dahataałígíí éí yínííł danilį́įgo dahataałgo Josáíyah yę́ę yá hadahaasdzíí'; éí Ízrel dine'é bitahgi bik'eh hoogáałgo ádayiilaa; jó, éí naaltsoos Atínídindleehígíí wolyéii bik'inídaháasdzo. 
14:35:026:0	K'ad Josáíyah łahjį' yaa naayáhígíí áádóó Bóhólníihii bibee haz'áanii bii' nídaháasdzooígíí bik'ehgo yá'át'éehgo ádzaii 
14:35:027:0	áádóó átséedi áádóó akée'di áát'įįdígíí, jó, éí Ízrel dine'é áádóó Júdah dine'é binanit'a'í danilíinii binaaltsoos bik'inídaháasdzo.
