14:25:001:1	Amazáíyah nant'áá nít'éé'
14:25:001:0	Amazáíyah naadiin ashdla' binááhaigo aláahgo nant'á silį́į́' áádóó naadiin náhást'éí nááhaijį' Jerúsalem kin haal'áagi nant'áá nít'éé'; bimá éí Jiihó'adan wolyéego Jerúsalem kin haal'áádóó naaghá. 
14:25:002:0	Áádóó t'áá ákogi ájít'į́įgo Bóhólníihii binááł jiníyá, nidi t'óó ájít'į́įgo ájíít'įįd. 
14:25:003:0	Ákódzaago bee hóhólnííh dooleełii chánahgo há áyiilaago há nidaal'a'í nidzistseed, jó, aláahgo naat'áanii hazhé'é yę́ę dayiisxį́įgo éí biniinaa ájít'į́. 
14:25:004:0	Nidi nidabi'diztseedii ba'áłchíní éí t'áadoo nidzistseed da, nidi Mózes binaaltsoos bee haz'áanii bee ak'e'ashchínígíí biyi' Bóhólníihii haadzíí' kóníigo, Azhé'é danilíinii áłchíní biniinaa doo nidootsił da, doodaii' áłchíní bizhé'é biniinaa doo nidootsił da. Nidi diné t'ááłá'í jinítínígo ádił nida'dziisíhígíí nidaho'ditseed doo.  
14:25:005:0	Náá'áłdó' Amazáíyah éí Júdah dine'é áłah áyiilaago dahazhé'é yę́ę ba'áłchíní náás ahoolchíiłii bik'ehgo mííl siláo dah deínéehii áádóó neeznádiin siláo dah deínéehii yindanit'a'í danilį́įgo Júdah dine'é índa Bénjamin dine'é yá niinínil. Áádóó naadiindóó dego béédááhaígíí yiyííłta' nít'éé', éí táadi neeznádiin diné néidiinilígíí, anaa' biniyé hasht'e'ádadiilyaii, tsiidétáán áádóó naagé nideijaahgo yídaneel'ą́. 
14:25:006:0	Áádóó ałdó' béésh łigaii tálent wolyéii neeznádiin bíighahgo bik'é Ízrel dine'é bitahdę́ę́' neeznádiindi míilgo siláo ayóogo dahayóígíí haa yí'nil. 
14:25:007:0	Nidi Diyin God yá halne'ii léi' haa níyáago ání, Aláahgo naat'áanii nílíinii, t'ááká Ízrel dine'é bisiláo nił dókááh yíila', háálá Bóhólníihii éí doo Ízrel dine'é yił hólǫ́ǫ da, jó, Íífreiyim dine'é danilį́įgo ádaat'į́. 
14:25:008:0	Nidi bił dadeeshbah nínízingo, nílááh, nidziilgo hasht'e'ídílnéehgo díbááh; Diyin God éí ana'í nihik'eh dadidoodleełgo ánihidoolííł, háálá Diyin God adziil bee hólǫ́ǫgo áká adoolwoł índa ak'eh hodidoodleeł. 
14:25:009:0	Áko Amazáíyah éí Diyin God bits'ą́ą́dóó diné nilíinii ííłní, Ákoshą' neeznádiingo tálent wolyéii Ízrel dine'é bisiláo baa nínilígíí haa dadiilnííł? Áko Diyin God bits'ą́ą́dóó diné nilíinii áhodííniidgo ání, Éí bilááh ánéelą́ą'go Diyin God nich'į' ninéidoodléełgo yíneel'ą́. 
14:25:010:0	Ákohgo Amazáíyah éí Íífreiyim dine'é bisiláo haa nínánígíí, Nihighangóó nídóhkááh, bijiníigo béézhníłnii'. Éí bąą ayóó át'éego Júdah dine'é yich'į' bádahazhchįįdgo t'áá íiyisí bádahachį'go dabighangóó anáákai. 
14:25:011:0	Áádóó Amazáíyah bidziil í'diilyaago bidine'é dah yidii'eezh áádóó Áshįįh Bił Honíts'aa' hoolyéé góyaa yił nínáago Síyer dine'é bisiláo neeznáadi míilgo nideistseed. 
14:25:012:0	Áko Júdah dine'é éí łahjį' neeznáadi míilgo daadzí'ígíí deisnáago tsé nít'i' bighą́ą'di hadeiniskaad; áádę́ę́' hadah adayiistł'íidgo ałtso dadiitaa'. 
14:25:013:0	Nidi Amazáíyah éí siláo hooghangóó béézhníłnii'ígíí éí Júdah kéyahgi kin hadaas'áhígíí Samériya kin haal'áádóó Beth-hóran kin shijaa'jį' yaatįįh yikaigo táadi míilgo diné nideistseed índa bąąh da'oogą́'ígíí t'óó ahayóí adayiizyį́. 
14:25:014:0	Ákódzaadóó bik'ijį' Amazáíyah éí Íídam dine'é íísdįįdę́ę́' nádzáago Síyer dine'é bidiyin dabidi'níinii néiníjaa'go t'áá bí bidiyin danilį́į dooleełgo dah deiznil áádóó nináháłaahgo yich'į' tsin bijeeh dilidgo łikání halchinii nááyiiłniih nít'éé'. 
