5:18:001:1	Nááda'iiłniihii áádóó Líívai dine'é dayíłkiinii
5:18:001:0	Líívai dine'é nááda'iiłniihii áádóó Líívai dine'é t'áá ałtso éí Ízrel dine'é daabíi'ii, doodaii' bíí' dadooleełii doo yił ałts'ą́ą́' da'íłk' iiz da. Nidi Bóhólníihii bich'į' didlidgo náádahaniihígíí áádóó baa náhidit'aahígíí deiyą́ą doo. 
5:18:002:0	Éí bąą Ízrel dine'é bíí' dadooleełii doo bił ałts'ą́ą́' da'dzíłk'iiz da; Bóhólníihii t'éí hóó' dooleełii nilį́įgo hach'į' ádee hadoodzíí'. 
5:18:003:0	Áádóó náá'iiłniihii díí baa hidit'aah doo: éí béégashii, doodaii' dibé náádayiiłniihígíí bigaan áádóó biyaats'iin índa bibid, éí náá'iiłniihii yaa dayiiníił doo. 
5:18:004:0	Tł'oh naadą́ą́' alą́ąjį' daneest'áanii áádóó wáin alą́ąjį' hasht'eelyaii áádóó áliv tsin naazkaadii bik'ah alą́ąjį' hasht'eelyaii índa dibé alą́ąjį' tádoogizhii bighaa' hasht'eelyaii éí baa dahidoh'aah. 
5:18:005:0	Háálá Ízrel dine'é t'áá ałtso bitahdóó Bóhólníihii nihiDiyin God nábidiiłtį́įgo Bóhólníihii bízhi' yidósingo, bí áádóó biye'ké yił naazį́įgo nidaal'a'go ahool'áa doo. 
5:18:006:0	Ízrel dine'é danohłíinii nihikin dah naazhjaa'ídóó Líívai dine'é ła' Bóhólníihii náhodii'aahíjį' deeshááł jinízingo jiníyáago 
5:18:007:0	éí Bóhólníihii haDiyin God nilíinii bízhi' jidósingo nijil'a' doo; hak'isóó Líívai dine'é t'áá ałtso Bóhólníihii binááł ádahideezį́įgo nidaal'a'ígi át'éego nijil'a' doo. 
5:18:002:1	Ał'ąą ana'í bi'é'él'į' béé'él'íinii yóweh hodoo'niid
5:18:008:0	Hazhé'é bíí' nít'éé' yę́ę bą́ą́h da'azlį́į'ii chojooł'į́į nidi, aheełt'éego ch'iyáán deiyánígíí łahjį' jiyą́ą doo. 
5:18:009:0	Bóhólníihii nihiDiyin God éí kéyah nihaidiní'ánígíí biih woonáago ał'ąą ana'í doo haldin yaa naakaígíí t'áadoo bida'íínóhsingo bídahooł'aahí. 
5:18:010:0	Nihitahgóó t'ááká haye', doodaii' hatsi' jidiłidgo náájiyółniih yíila'; t'ááká ła'da nidadilniihii choyooł'į́ yíila'; t'ááká ła'da áhodooníiłii neiłkaah yíila'; t'ááká ła'da ihondzin yaa ch'íhwii'aah yíila'; t'ááká ła'da adigąsh yaa naaghá yíila'; 
5:18:011:0	t'ááká ła'da bi'iiníziin yíila'; t'ááká ła'da ch'į́įdii yábiiłti' yíila'; t'ááká ła'da álíleego níł ch'i yee haniih yíila'; t'ááká ła'da ch'į́įdii yił ałch'į' yáłti' yíila'. 
5:18:012:0	Kódaat'éii baa dajíkáhígíí t'áá ádzíłtso Bóhólníihii doo hółdin da, áko díí doo haldin yaa nidaakaígíí biniinaa nihinááł Bóhólníihii nihiDiyin God nihits'ą́ąjį' ch'íbiniiłkaad. 
5:18:013:0	Bóhólníihii nihiDiyin God bich'į' ts'ídá t'áadoo bee nihik'íhót'ahí da doo. 
5:18:003:1	Diyin God yá halne'í ła' Mózesgi át'éii éí Diyin God yee nihoní'ą́
5:18:014:0	Háálá díí ał'ąą ana'í ch'ídahidínóołkałígíí éí áhodooníiłii neiłkaahii áádóó nidadilniihii dayíists'ą́ą́' nít'éé', nidi nihí éí Bóhólníihii nihiDiyin God díí doo bidazhdoolíił da, nihó'ní. 
5:18:015:0	Bóhólníihii nihiDiyin God nihich'į'go halne'í nihits'ą́ą́dę́ę́' t'áá éí nihik'isóó bits'ą́ą́dę́ę́' shígi át'éii ła' néididoołááł; éí deísółts'ą́ą' doo. 
5:18:016:0	Díí t'áá ałtso bídin danohłíinii Bóhólníihii nihiDiyin God bídeínóhkeedgo Hórebgi áłah nohłį́įgo yoołkááł yę́ędą́ą́' ádadooniid, Bóhólníihii shiDiyin God biinéé' doo náádideests'į́įł da, doodaii' díí kǫ' ayóó át'éii doo néideestséeł da, áko doo dadeestsaał da. 
5:18:017:0	Áko Bóhólníihii áshidííniid, Yee hadahaasdzíi'ii yá'át'éehgo yee hadaasdzíí'. 
5:18:018:0	Shá halne'ii nábidideeshłáałgo t'áá hó hak'isóó bitahdóó nigi át'éii ła' biideesįįł, áko shizaad bizadeeshłéełgo yee hach'į' yáłti' dooígíí éí bee bich'į' hahásdzíi'ii t'éí ííł'į́į doo. 
5:18:019:0	Kót'ée dooleeł: t'áá háiida shizaad doo jíists'ą́ą́'góó shízhi' hach'į' yee yáłti'ii bee hohodideesht'ih. 
5:18:020:0	Nidi áhodoonííł yaa halne'ii léi' aghá'ídool'áago shízhi' choyooł'į́įgo saad yee yáłti'ii, éí t'áadoo bee hahásdzíi'ii yee hahadziihgo, doodaii' diyin dabidi'níinii bízhi' binahjį' yáłti'go áhodoonííł yaa halne'ii t'óó bidi'yoolyééł. 
5:18:021:0	T'áá nihijéí biyi'ídi kódooniidgo, Ha'át'íísh bee díí saad bee ha'iidziihii Bóhólníihii t'áadoo yee hahasdzíi'ii át'éego nihił béédahodoozįįł? 
5:18:022:0	Áhodoonííł yaa halne'ii nilíinii Bóhólníihii bízhi' yee yáłti'go doo bihalnééhgóó, doodaii' doo bik'íhálzhííshgóó éí Bóhólníihii doo yee hahadziihii át'ée da, nidi halne'ii t'óó aghá'ídool'áago niyáháłtéehii át'é; éí t'áadoo béédaołdzidí.
