5:8:001:1	Kéyah yá'át'éehii hó dadooleeł
5:8:001:0	Bik'eh ó'oo'níiłii t'áá ałtso díí jį́ bee nihich'į' haasdzí'ígíí ádaa daahsįįh, áko éí bee dahinohnáa doo áádóó k'ee'ąą dínóoht'į́įłgo kéyah biih doohnéełgo ádíí' ádadoohłíiłgo Bóhólníihii éí danihizhé'é yę́ę yich'į' yee ádee hadoodzíí'. 
5:8:002:0	Áádóó díí béédaołniih: honoojíigi Bóhólníihii nihiDiyin God tánihidi'éeshgo dízdiin nááhai, áko a'ohgo áda'díínółzin ánihósin doo áádóó hanihisíidgo baa nitsídaohkeesii bił bééhózin doo; éí bibik'eh ó'oo'níiłii daats'í bik'eh dahonoł'į́į doo, dooda daats'í. 
5:8:003:0	Áádóó a'ohgo áda'díínółzin ánihósin áádóó t'óó dichin bééda'ayoohnííh ánihósingo mána wolyéii doo nihił béédahózin da nít'éé' yę́ę, índa danihizhé'é yę́ę ałdó' doo bił béédahózin da nít'éé' yę́ę nihiyiyíísą́ą́', áko díí nihił béédahózingo ánihidoolííł: diné doo bááh t'éí yee hináa da doo, nidi saad t'áá ałtso Diyin God yee hahadziihii yee hináa doo. 
5:8:004:0	Nihi'éé' t'áadoo nídadíít'óódgóó, índa nihikee' t'áadoo daniichaadgóó dízdiin nááhai. 
5:8:005:0	Díí ałdó' nihijéí biyi'di baa nitsídaahkees: diné biye' t'áá hashkée neinitinígi át'éego Bóhólníihii nihiDiyin God t'áá hashkée nanihinitin. 
5:8:006:0	Éí bąą Bóhólníihii nihiDiyin God bibik'eh ó'oo'níiłii bik'eh dahonoł'į́, áko bikék'eh hashchį́į́góó hazhó'ó deínóhkááh, áádóó dadíínóhsin. 
5:8:007:0	Jó, Bóhólníihii nihiDiyin God nihoo'ishígíí éí kéyah yá'áhoot'ééhgóó, kéyahgi tó danílį́į́góó áádóó deíldzis góyaa índa deílk'id bitsį́įgi tó hadaazlį́į́góó nihideezh'eezh; 
5:8:008:0	éí kéyahgi tł'oh naadą́ą́' áádóó tł'oh naadą́ą́' bidee'í áádóó ch'il na'atł'o'ii áádóó fig tsin naazkaadii áádóó pámgrenit wolyéii áádóó áliv tsin bineest'ą' bik'ah índa tsés'ná bitł'izh bee áda'azįįd; 
5:8:009:0	éí kéyah biyi' ch'iyáán t'áadoo bídin hóyé'é daahsą́ą doo; ha'át'íhída doo bídin danohłį́į́góó kéyah bits'ą́ą́dóó tsé bits'ą́ą́dę́ę́' béésh nitł'izii índa dah daask'id biyi'dę́ę́' béésh łitsoii hadaahgéed doo. 
5:8:002:1	Bóhólníihii baa dayoohnééh lágo ho'doo'niid
5:8:010:0	Áko da'ohsą́ą doo áádóó hwiih danohłį́įgo Bóhólníihii nihiDiyin God nilíinii kéyah yá'áhoot'éehii nihaidiní'ánígíí bee baa dahohniih doo. 
5:8:011:0	Bóhólníihii nihiDiyin God t'ááká baa dayoohnééh lágo bee ádaa ádahołyą́; bibik'eh ó'oo'níiłii áádóó yee nihodii'aahii índa yee nihwiiz'áanii bik'eh hól'íinii díí jį́ bee nihich'į' haasdziihígíí t'áadoo béé'ádahodołyáhí. 
5:8:012:0	Da'ooyą́ą́'dóó hwiih dasoolį́į'go nihighan yá'át'ééh ádahoołaaígíí bii' kéédahoht'į́įgo, 
5:8:013:0	áádóó nihilį́į́' ałtah át'éii áádóó nihidibé dah danéelkaadii k'ee'ąą deílzhíishgo áádóó nihibéésh łigaii áádóó nihi'óola nihá bilááh yileełgo índa ałtaas'éí nihee dahólóonii k'ee'ąą deílzhíishgo, 
5:8:014:0	áko doo ayóó ánísht'é dadínóohsįįł da áádóó Bóhólníihii nihiDiyin God nilíinii doo baa deidiyoohnah da; éí Ííjip kéyahdi naalte' danohłį́į́ nít'éé' yę́ędóó ch'éénihiní'eezh. 
5:8:015:0	Bí éí honoojíígóó ayóó át'éego áádóó t'óó náhádzidgo haz'ą́ą́góó nihiní'eezh; tł'iish báhádzidii áádóó séígo' hólǫ́ǫ́ góne' índa tó bídin hóyéé'góó nihoo'ishgo tsé dildǫ́'ii biyi'dóó tó háálį́įgo nihá áyiilaa. 
5:8:016:0	Bí éí honoojíidi mána wolyéii danihizhé'é yę́ę doo bił béédahózin da nít'éé' yę́ę éí nihiyiyíísą́ą́', áko a'ohgo ádanoht'é ánihidoolííł áádóó hanihisíidgo nihoolzhiizhdi éí nihá yá'át'ééh íidoolííł. 
5:8:017:0	Áko t'áá nihiyi'ídi doo kódidoohniił da, T'áá shí shibee adziilii índa t'áá shí shíla' bee shidziilii bee jit'íinii shist'įįd. 
5:8:018:0	Nidi Bóhólníihii nihiDiyin God béédaołniih, háálá bí éí bidziilgo adoot'įįł nihaidiyii'aah, áko bibee aha'deet'áanii chánahgo íidoolííł; jó, éí danihizhé'é yę́ę yich'į' yee ádee hadoodzíí'; díí jį́į́góó ákót'é. 
5:8:019:0	Áádóó kót'ée doo: Bóhólníihii nihiDiyin God baa deisoonah ládą́ą́', áádóó diyin dabidi'níinii bik'ehgo dah dahidoohkaigo áádóó bá nidaał'a'go índa bich'į' nidahohłáago, díí jį́ bee nihik'ijį' hadeesdzihgo, T'áá aaníí ádadoohdįįł. 
5:8:020:0	T'áá nihinááł ał'ąą da'ana'í danilíinii Bóhólníihii áboołdįįłígi át'éego nihí ałdó' ánihidoołdįįł, háálá Bóhólníihii nihiDiyin God nihich'į' yáłti'go bik'eh dahonoł'į́į dooígíí t'áadoo danoozį́į' da.
