5:3:001:1	Ízrel dine'é éí Béíshan kéyahdóó Ag wolyéii yik'eh dadeesdlį́į́'
5:3:001:0	Áko naanísii'náago Béíshan góde dah dii'ná, áádóó nít'éé' Béíshandóó aláahgo naat'áanii Ag wolyéii nihich'į' ch'íheedzá; bí áádóó bidine'é yił Édriyai kin haal'áagi nihich'į' nídadiibaa'. 
5:3:002:0	Áádóó Bóhólníihii áshíłní, T'áadoo bik'ee nił yé'í; bí áádóó bidine'é índa bikéyah nihaa dideesh'ááł, áko Héshban kin haal'áádóó Ámon dine'é aláahgo binanit'a'í Sáíhan wolyéii ádaoł'įįdígi át'éego bí ałdó' ákódadoohłííł. 
5:3:003:0	Áko Bóhólníihii nihiDiyin God éí Béíshandóó aláahgo naat'áanii Ag joolyéii áádóó hodine'é t'áá ałtso t'áá bił nihílák'ee hodíí'ą́, áádóó ałtso nidahosiiltseedgo t'áadoo ła' yisdájííyáhí da. 
5:3:004:0	Íídą́ą́' bikin hadaas'áhígíí ts'ídá ałtso bits'ą́ą́' dasiilná; kin haal'áii t'áadoo ła' doodaí ákódeiilyaa. Árgab nahós'a'góó hastą́diingo kin haal'áhígíí éí Béíshan kéyahgi Ag wolyéii aláahgo bee bóhólníihgo bił haz'ą́ą́ nít'é'ígíí ałtso dasiilná. 
5:3:005:0	Díí kin hadaas'áhígíí t'áá ał tso binaagóó wódahgo ditą́ągo ahééda'astł'in áádóó dáń'dadilkał índa bich'ą́ą́h dah nída'atį́įhii bee bidziilgo ádaalyaa, áádóó t'óó ahayóigo kin dah naazhjaa'ígíí ałdó' doo binaagóó ahééda'astł'in da nít'éé'. 
5:3:006:0	Áko Héshban kin haal'áádóó Sáíhan wolyéii aláahgo naat'áanii ádeiilyaaígi át'éego ts'ídá ałtso ádahosiildįįd; t'áá kin hadaas'áhígi dinéda áádóó asdzánída índa áłchínída ts'ídá ałtso ádahosiildįįd. 
5:3:007:0	Nidi da'alį́į́' ał'ąą ádaat'éii t'áá ałtso áádóó kin hadaas'áhígóó naalye'é bąąh da'oogą́ą'ii t'áá nihí ádá áádasiilzįįd. 
5:3:008:0	Íídą́ą́' Ámor dine'é aláahgo binanit'a'í nidilt'éego Jórdan tooh ha'a'aahjígo Árnan toohdóó Dził Hérman bitsį́įjį' kéyah bighadasidiit'ą́. 
5:3:009:0	(Sáídan dine'é danilíinii Dził Hérman hoolyéhígíí Síriyan deiłníí nít'éé', áádóó Ámor dine'é danilíinii éí Shííner deiłníí nít'éé'.) 
5:3:010:0	Áádóó dadzígaigóó kin hadaas'áhígíí t'áá ałtso áádóó Gíliyad kéyahgóó áádóó Béíshan kéyahgóó t'áá Salííka kin haal'áajį' áádóó Édriyai kin haal'áajį' éí Béíshan kéyahgi Ag wolyéii aláahgo bee bóhólníihgo bił haz'ą́ągi kin hadaas'áhígíí t'áá át'é bighadasidiit'ą́. 
