5:20:001:1	Anaa' kót'éii bibee nahaz'áanii
5:20:001:0	Nihi'ana'í danilíinii bik'iiojée'go łį́į́' áádóó tsindaabąąs bijáád naakiígíí índa siláo nihilááh ánéelą́ą'go baa ákodanoozį́į'go t'áadoo béédaałdzidí, háálá Bóhólníihii nihiDiyin God éí Ííjip kéyahdę́ę́' ch'ínihiní'eezhii nihił hólǫ́. 
5:20:002:0	Áko kót'ée doo: anaa' dahodoohłeeł biniyé nihi'ana'í bit'áahjį' ninoohkaigo náá'iiłniihii bidine'é yich'į' nidoogáałgo yich'į' yádoołtih. 
5:20:003:0	Áko íididooniił, Ízrel dine'é danohłíinii, da'íísínółts'ą́ą́', díí jį́ nihi'ana'í danilíinii bich'į' hidohkáahgo bik'iohjeeh; t'ááká bik'ee nihił ádahódįįh lágo; t'ááká béédaołdzííd lágo, t'ááká bik'ee nihitah dahodiyółnááł yíila', índa binááł t'ááká bik'ee ádił nídahodołchił yíila'. 
5:20:004:0	Háálá Bóhólníihii nihiDiyin God nihił yikahgo nihi'ana'í yich'į' nihá anaa' áhodoolíiłgo yisdánihidoonił. 
5:20:005:0	Siláo binanit'a'í danilíinii éí diné yich'į' hadadoodzihgo ádadidooniił, Háísh diné shį́į́ bighan áyiilaago t'áadoo da'azhdlish da? Bíni' éí bighangóó nídoodáałgo da'doodlish; éí doodaii' anaa'di bi'diisyį́įgo diné náánáła' éí hooghan da'doodlish. 
5:20:006:0	Áádóó háísh diné shį́į́ ch'il na'atł'o'ii k'iidííláago bineest'ą' t'ah doo yiyą́ą da? Bíni' éí bighangóó nídoodááł; éí doodaii' anaa'di ho'diisyį́įgo diné náánáła' hach'il na'atł'o'ii bineest'ą' yidooyį́į́ł. 
5:20:007:0	Índa háísh diné shį́į́ asdzání ła' yił ahaa doot'ashgo yił aha'deet'ą́ągo t'ah doo yił ahaa yít'aash da? Bíni' éí bighangóó nídoodááł; éí doodaii' anaa'di ho'diisyį́įgo diné náánáła' éí asdzání yił ahaa doot'ash. 
5:20:008:0	Áádóó siláo binanit'a'í diné yich'į' hanáádadoodzihgo ánáádeididoo'niił, Háísh diné shį́į́ bił yée'go bił ánáhádįįh? Bíni' éí bighangóó nídoodááł; éí doodaii' nídzíldzidígi át'éego hak'isóó ałdó' nídadooldzííł. 
5:20:009:0	Índa siláo binanit'a'í ałtso diné yich'į' yádááłti'go, siláo dah deínéehii bindanit'a'í nida'a'eesh dooleełii nideidoonił. 
5:20:010:0	Áko ła' kin haal'áhígi kéédahat'ínígíí bik'iidoohjah biniyé bit'áahjį' ninoohkaigo, K'é nídahodiidleeł, dabididoohniił. 
5:20:011:0	Ákohgo, K'é náhodoodleeł lą́ą, danihidííniidgo áádóó dáń'dítį́hí ąą ádayiilaago diné t'áá ałtso bik'ídahisoohkaígíí nihinaalte' dadooleeł áádóó nihá nidaal'a' doo. 
5:20:012:0	Nidi doo nihił k'é nídahałeehgóó t'óó nihik'iijée'go binídoołzhish. 
5:20:013:0	Áko Bóhólníihii nihiDiyin God éí nihílák'ee bididoo'áałgo diné danilínígíí t'áá ałtso diltłish bee nidadoołtsxił. 
5:20:014:0	Nidi asdzání danilíinii áádóó áłchíní áádóó alį́į́' ał'ąą ádaat'éii áádóó kin haal'áagi naalye'é t'áá át'é ádá áłah ádadoohłííł, índa nihi'ana'í danilíinii bindaalye'é éí doodį́įłii t'áá bił Bóhólníihii nihiDiyin God nilíinii nihaididoo'ááł. 
5:20:015:0	Ákót'éego doo deeghánídi kin hadaas'áhígíí éí t'áá ałtso ákódadoohłííł; kin hadaas'áhígíí doo kǫ́ǫ́ ana'í bikin hadaas'áa da. 
5:20:016:0	Nidi díí ana'í bikin hadaas'áhígóó kéyah íí' dooleełgo Bóhólníihii nihiDiyin God nihaididoo'áłígíí bikáa'gi dahináanii doo ła' ą́ą́dadoohsįįł da. 
5:20:017:0	Nidi ts'ídá ałtso ádadoołdįįł: Het dine'é áádóó Ámor dine'é, Kéínan dine'é áádóó Píírez dine'é, Háíva dine'é índa Jííbas dine'é ákódadoohłííł; jó, ákót'éego Bóhólníihii nihiDiyin God nihich'į' yee haadzíí'. 
5:20:018:0	Áko bidiyin dabidi'níinii yich'į' nidahałáago bee doo yildinígi ádaat'ínígíí bik'eh ádanoht'ée doogo doo nidanihinitin da doo. Bóhólníihii nihiDiyin God bich'į' ádił da'doohsihgi doo yee nidahidínóotįįł da. 
5:20:019:0	Kin haal'áii t'áá bizééshoołzhiizhgo nízaadgóó ahoolzhiizhgo, bighadahodidooht'ááł biniyé bił da'ahohgą́ągo, ákwii tsin naazkaadii t'áadoo naa'adahohtsxeełí, háálá éí bineest'ą' daahsą́ą doo; t'áadoo naa'adahohtseełí; jó, tsin yíl'áhígíí diné be'iina' át'éego kin haal'áii bizééshoołzhiizhgo éí chodeinoł'į́į doo biniyé t'áadoo haada daał'íní. 
5:20:020:0	Tsin naazkaadii doo bąąhdóó ódą́ą́' át'éii nihił béédahózinígíí t'éiyá t'áá haada daał'į́ índa naa'adahohtsxeełgoda; éí bee neelkáalgo bine' na'adzi'ii ádadoohłííł, áko kin haal'áádóó nihik'i néijahígíí bik'eh dasidoohdlį́į'jį' éí bine' nidaohdzi' doo.
