5:26:001:1	Átsé daneest'áanii áádóó Bóhólníihii baa náhidit'aahii bee hoogáałgo nahadláii
5:26:001:0	Áko kót'ée doo: Bóhólníihii nihiDiyin God éí kéyah nihaidiní'ánígíí biih woonáago áádóó ádíí' ádaahłaago índa bii' kééhoht'į́įgo t'éiyá 
5:26:002:0	kéyahdóó átsé daneest'áanii ałtso áłah ádaahłééh; éí nihikéyah Bóhólníihii nihiDiyin God nihaidiní'ánígóó nídaneest'áanii ła' ts'iizis bii' hééł ádadoohłiiłgo Bóhólníihii nihiDiyin God bízhi' dólzin doo biniyé náhodii'áníjį' nidahidoohkááł. 
5:26:003:0	Ákohgo éí yoołkáałdi náá'iiłniihii nilíinii baa doohkahgo ádabididoohniił, Díí jį́ Bóhólníihii nihiDiyin God díí bee bił hashne': Bóhólníihii nihiDiyin God éí kéyah nihaididoo'ááł biniyé danihizhé'é yę́ę yich'į' yee ádee hadoodzíi'ii biih yíyá, dishní. 
5:26:004:0	Áádóó ts'iizis bee nidahisookánígíí éí náá'iiłniihii nihílák'eedóó néidiyiikaahgo Bóhólníihii nihiDiyin God bibikáá' náá'iiniihí bidáahgi niidiyookááł. 
5:26:005:0	Áko Bóhólníihii nihiDiyin God binááł kódadidoohniił, Nihizhé'é yę́ę éí Síriya dine'é nilį́įgo k'ad dichin biiłhéego naagháá nít'éé'; Ííjip góyaa diné t'áá díkwíí yił eekai nít'éé'; áadi dine'é ayóó át'éii áádóó dabidziilii índa t'óó ahayóí silį́į́'. 
5:26:006:0	Áádóó Ííjip dine'é doo yá'át'éhígi ádanihííł'įįd índa yéego nihich'į' nidahwiiłnáago binaalte' ádanihósin nít'éé'. 
5:26:007:0	Áko danihizhé'é yę́ę biBóhólníihii Diyin God nilíinii bich'į' nída'iikąąhgo nihidiizts'ą́ą́' áádóó nihich'į' nidahwii'náanii áádóó yéego nideilnishii índa nihide ádahólzinii haideel'į́į́'. 
5:26:008:0	Áko Bóhólníihii éí Ííjip kéyahdę́ę́' ch'éénihiní'eezh; bíla' ayóó ábóodziilgo áádóó bigaan bits'áhoníyée'go áádóó t'óó báhádzidgo bik'e'íyée'go áádóó bee éédahózinii índa ayóó át'éego ádahooníiłii áyoolíiłgo ákó'iilaa. 
5:26:009:0	Ákohgo díí haz'áníjį' anihíí'eezh; t'áá díí kéyah nihaa hodiní'ánígi abe' áádóó tsés'ná bitł'izh bee áda'azįįd. 
5:26:010:0	K'ad, shoo, Bóhólníihii nílíinii, kéyahdóó átsé daneest'áanii shaa dííní'ánígíí naa níjaa'. Áko Bóhólníihii nihiDiyin God bidáahgi nidadoohjih, áádóó Bóhólníihii nihiDiyin God bich'į' nidahodoohłaał. 
5:26:011:0	Áádóó yá'ádaat'éehii t'áá ałtso baa nihił nidahoozhǫǫh doogo Bóhólníihii nihiDiyin God nihik'idzisdli'; éí nihí áádóó niha'áłchíní áádóó Líívai dine'é índa dé'éyóní nihitahgi kéédahat'ínígíí bił nihaa deet'ą́. 
5:26:012:0	Áádóó nídanoołt'áanii bilááh nídaasdlį́'ígíí neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' aa nídahidoh'aahii t'áá ałtso táá' náhááh góne' yihahígíí, éí aa nídahidoh'aahii yihahígíí, biyi' nínádanołt'į́įhii ałtso ninádahidoo'ą́ągo áádóó Líívai dine'é áádóó dé'éyóní áádóó áłchíní bizhé'é ádaadinii índa sáanii bąąh ádahasdįįdii bich'į' kódaohłe'go kéédahoht'į́įgi deiyą́ągo índa yee hwiih danilį́įgo, 
5:26:013:0	Bóhólníihii nihiDiyin God binááł kódadidoohniił, Dílzingo t'áá sahdii nidiní'áanii shighan haz'ą́ą́dóó ch'íhíjaa'go Líívai dine'é áádóó dé'éyóní áádóó áłchíní bizhé'é ádaadinii índa sáanii bąąh ádahasdįįdii baa nínil; nibik'eh ó'oo'níiłii t'áá ałtso shich'į' bee háínídzíi'ii bik'ehgo í'iishłaa; nibik'eh ó'oo'níiłii doo k'éhéti' da, doo nidi baa yisénah da. 
5:26:014:0	Yínííł nishłį́įgo t'áadoo ła' yíyą́ą' da, doodaii' doo bi'didéehii nishłį́įgo t'áadoo ła' ch'íníjaa' da, doodaii' dadziztsáanii bąą t'áadoo ła' aa diní'ą́ą da, nidi Bóhólníihii shiDiyin God biinéé' yínísts'ą́ą́' áádóó shich'į' yee haadzíi'ii t'áá ałtso bik'eh ánísht'é. 
5:26:002:1	Bóhólníihii bich'į'go dine'é dadiyinii
5:26:015:0	T'áá ni t'éí hodiyingo honílǫ́ǫ́dę́ę́', yádiłhił bilááhdę́ę́' hadah dííní'į́į́', áádóó nidine'é Ízrel niidlíinii áádóó kéyah nihaa dííní'ánígíí bik'ijídliih; éí kéyahígíí danihizhé'é yę́ę bich'į' bee ádee hadíínídzíi'ii bikáa'gi abe' áádóó tsés'ná bitł'izh bee áda'azįįd. 
5:26:016:0	Díí jį́ Bóhólníihii nihiDiyin God díí yee nihwiiz'áanii áádóó yee nihodii'aahii bik'eh ádanoht'ée doogo nihich'į' yee haadzíí'; éí bąą danihijéí t'áá át'é bee índa nihii' sizíinii t'áá át'é bee bik'eh dahonoł'į́į doo. 
5:26:017:0	Díí jį́, Bóhólníihii nihiDiyin God nilį́, dadooniid. Éí bik'ehgo deíníikáah doo áádóó yee nihwiiz'áanii áádóó bibik'eh ó'oo'níiłii áádóó yee nihodii'aahii bik'eh dahoniil'į́į doo índa áníinii deísíilts'ą́ą' doo, dadooniid. 
5:26:018:0	Bóhólníihii nihaa yáłti'go bik'ehgo díí jį́ bidine'é bił agháago át'éii danohłį́; jó, t'áá bí nihá yee nihoní'ą́; ákót'éego bibik'eh ó'oo'níiłii t'áá ałtso bik'eh dahonoł'į́. 
5:26:019:0	Áádóó ał'ąą dine'é áyiilaaígíí t'áá ałtso biláahgo ádanoht'éego nihaa daha'niih doo áádóó nihízhi' béého'dílzin doo áádóó bídę́ę'go nihił danilį́į doo índa Bóhólníihii nihiDiyin God bich'į' dine'é dadiyinii danohłį́į doo. Jó, t'áá bí ákót'éego yee haadzíí'.
