55:4:001:1	Pen . iiij .
55:4:002:1	Y mae ef yn annog Timotheus y vot y vrwd yn y gair , a’ dyoddef gwrthpwyth , 6 Y mae yn gwneuthur coffa am ei varwolaeth ehun . Ac yn erchi i Timotheus ddyvot ataw .
55:4:001:0	YS gorchmynaf yty gan hyny ger bron Duw , a’ cher bron yr Arglwyð Iesu Christ , yr hwn a vairn y byw a’r meirw yn ei ymddangosiat , ac yn ei deyrnas ,
55:4:002:0	Precetha’r gair : tyn‐rragot , yn amser ac allan o amser : argywedda , cerydda , annoc drwy ammynedd-da ac athraweth .
55:4:003:0	Can ys e ddaw’r amser pryd na ddyoddefant athraweth iachus : eithr aei clustieu a chosi , wrth y chwanteu y hunain a bentyrant yddynt ddyscyawdwyr ,
55:4:004:0	Ac a droant ei clustieu y wrth y gwirionedd , ac a ymchwelant at chwedleu . Yr Epistol ar ddydd S . Luc .
55:4:005:0	Eithyr gwilia di ym‐pop dim : dyoddef‐wrth pwyth : gwna waith Euangelwr : par wybot yn ollawl dy wenidogeth .
55:4:006:0	Can ys ydd yw vi yr owrhon yn parat im offrymu , ac amser vy ymadawiat ys ydd yn agos .
55:4:007:0	Mi a ymdrechais ymdrech tec , ac ’orphenais vy‐gyrfa , y ffydd a gedwais .
55:4:008:0	Can’s rrac llaw y roddwyt y mi y gadw coron cyfiawnder , yr hon a rydd yr Arglwydd y barnwr cyfiawn y mi yn y dydd hwnw : ac nyd y mi yn vnic , amyn ir oll ’rei y garant y ymddangosiat ef .
55:4:009:0	Brysia y ddyvot ataf yn ebrwydd .
55:4:010:0	Can ys Demas am gadawdd , gan ymgary y byd presennol , ac aeth ymaith y Thessalonica . Crescens aeth i Galatia , Titus i Dalmatia .
55:4:011:0	Lucas yn vnic ys y gyd a mi . Cymmer Varc a’ dwc y gyd a thi : can ys buddiol yw ef y mi y weinidogeth ,
55:4:012:0	A’ Thichicus a ddaunonais i Ephesus .
55:4:013:0	Y cochl a edewais i yn Troas y gyd a Charpus , pan ddelych , dwc gyd a thi , a’r llyfreu , yn enwedic y membranae .
55:4:014:0	Alexander y gof‐copr a wnaeth i mi lawer o ddrwc : talet yr Arglwydd yddo erwydd ei weithredoedd ,
55:4:015:0	Rac yr hwn ymgadw dithe hefyt : cans ef a wrthsafodd ein precaethe ni yn ddirvawr .
55:4:016:0	Yn vy atep cyntaf nyd oedd neb yn sefyll gyd a mi , eithr pawp am gadawsont : mi atolygaf y Dduvv na liwier ydd‐wynt .
55:4:017:0	Er hyny yr Arglwydd a safoð gyd a mi , ac am nerthawð , mal trywo vi y cwbl cyflawnit i precethiat , ac mal y clywent yr oll Genetloedd , ac im gwaredwyt o eneu y lleo .
55:4:018:0	A’r Arglwydd am gwared rrac pop gweithred ddrwc , ac am caidw yw deyrnas nefawl : ir hwn y bo gogoniant yn oesoedd oeseu , Amen .
55:4:019:0	Anerch Prisca , ac Aquila , a’ thuylvvuth Onesiphorus .
55:4:020:0	Erastus a arosawdd yn‐Corinthus : Trophinus a edais yn‐Miletum yn glaf .
55:4:021:0	Cais ddyvot cyn y gayaf . Eubulus ys ydd ith anerch , ac Phudens , ac Linus , ac Claudia , a’r oll vroder .
55:4:022:0	Yr Arglwydd Iesu Christ a vo y gyd ath yspryt . Y rat ef vo gyd a chwi , Amen . Yr ail Epistol a escrivenwyt o Ruuein ad Timotheus yr Episcop cyntaf y ðywyswyt i Eccles Ephesus , pan ’osodit Paul yr ailwaith ger bron y Caisar Nero .
