55:2:001:1	Pen . ij .
55:2:002:1	2 Y mae yn ei annog y vot yn ddianwadal yn‐trwbl , ar yddo ddyoddef yn wrawl , ac aros yn ddiyscoc yn iachus ddysc ein Arglwydd Iesu Christ , 11 Can ddangos yddaw ffyddlondep amcan Dew yn‐cylch cadwedigaech yr ei yddo ef , 19 A’ noth yny .
55:2:001:0	TItheu gan hyny , vy map , ymnertha yn y rrat ys yð yn‐christ Iesu .
55:2:002:0	A’r petheu y glyweist y cenyf’ , gan lawer o testion , yr hein a roddi at ffyddlon ddynion , yr ei vyðant abl y dyscu eraill hefyt .
55:2:003:0	Titheu gan hyny goddef‐dy‐’orthrymu megis milwr da i Iesu Christ .
55:2:004:0	Nyd oes neb a ryvela , a ymymblyc a negeseuon y vuchedd hon , er mwyn bod yddo ryngu bodd yr hwn ydywysawdd yn vilwr .
55:2:005:0	Ac ad ymdrech nep hefyt am gamp , ny choronir ef , dyeithr yddo ymdrech yn ddeddfol .
55:2:006:0	Dir yw ir llavurwr lavurio cyn nag yddaw dderbyn ffrwytheu .
55:2:007:0	Considera y petheu a ddywedaf : a’r Arglwydd a roddo yt’ ddyall ym‐pop dim .
55:2:008:0	Cofia am Iesu Christ y hanoedd o had Dauid , ðarvot y gyvodi ef o veirw wrth vy Euangel i .
55:2:009:0	Yn yr hon ydd wyf yn dyoddef trwbl mal gweithredwr‐drwc , ys hyd rwymeu : eithr gair Duw ny rwymir .
55:2:010:0	Am hyny ydd wyf yn goddef pop peth , er mwyn y detholedigion , megis ac y gallent wytheu gaffael yr iechydvvrieth ys ydd yn‐Christ Iesu , y gyd a gogoniant tragyvythawl .
55:2:011:0	Gwir yvvr gair , A’s meirw ydym y gyd ac ef , y byddwn hefyt vyw gyd ac ef .
55:2:012:0	A’s dyoddefwn , ni a gydeyrnaswn hefyt ac ef : ac a’s ymwadwn ac ef , yntef hefyt a ymwad a ninheu
55:2:013:0	A’s nyni ny chredwn , er hyny efe a erys yn ffyddlawn : ny ’all ef y wadu y hun .
55:2:014:0	Am y petheu hyn dwc ar gof yddynt , a’ thestialaetha ger bron yr Arglwydd , na bo yddynt ymrysont yncylch gairieu , yr hyn nyd yvv er dim llesaad , anyd er dadymchwelyd y gwrandwyr .
55:2:015:0	Studea ar dy ’osot dy hū yn brovedic y Dduw , yn weithwr divevl , yn vniawn‐barthu gair y gwirionedd .
55:2:016:0	Gommedd halogion wag‐airieu : can ys cynnyddu y wnant y vwy o anwywoldep .
55:2:017:0	A’y ymadrodd hwy a ysa val cancr : ac o’r cyfryvv rei y mae Hymenaius ac Philetus .
55:2:018:0	Yr hein am y gwirionedd aethant ar gyfeilorn , gan ddywedyt ddarvot eisus y cyvodiadigeth , ac y maent yn dadymchwel ffydd rryvvrei .
55:2:019:0	Eithr y mae sail Duw yn sefyll yn ddiogel , ac y mae yddo yr insel hon , Yr Arglwyð a wyr pvvy rei yw’r eiddo , ac , Ymadawet ywrth ancyfiawnder pwy bynac a ’alwo ar Enw Christ .
55:2:020:0	Eithr mewn tuy mawr ny bydd yn vnic llestri aur ac ariant , and hefyt llestri pren a’ phridd , a’r ei i anrydedd , a’r ei i ddianrrydedd .
55:2:021:0	As neb gan hyny y carth y hunan ywrth y petheu hyn , efe vydd lestr i anrydedd , wedy ei sancteiddio , ac yn addvwyn ir Arglwydd , ac yn parat i bop gwaithred da .
55:2:022:0	Fo hefyt rrac chwanteu ieuntit , a’ dilyn gyfiawnder , ffydd , cariat , a’ thangneddyf , y gyd a’r ein y alwant ar yr Arglwydd o galon bur .
55:2:023:0	A’ dod ymaith ynvyd ac andyscedigaidd orchestion , can wybot mai magu ymryson a wnant .
55:2:024:0	Eithr gwas yr Arglwydd dir yw nad ymrysono , amyn bot yn dirion i bawp , yn athrawaidd , ac yn dyoddef‐ei‐ddrygu yn dda ei ortho .
55:2:025:0	Gan ei haddyscu a’ chymedroldep yr ei gwrthwynep‐ei‐meddwl , y edrych a roddo Duw vn amser yddynt vvy ediveirwch , i gyfadnabot y gwirionedd ,
55:2:026:0	A’ bod yddynt ddyvot ir iawn allan o vagl diavol , yr ei a ddelit ganthaw wrth ei wyllys .
