55:1:001:1	Pen . j .
55:1:002:1	Paul yn annog Timotheus y vod yn ddianwadal ac yn ddyoddefus wrth ei ymlid , a’ pharhau yn yr athraweth y ðyscesei ef yddaw , 12 Dros yr ei yroedd y rwymeu ef a’i gystyddion ym wystl . 16 Cammolieth Onesiphorus .
55:1:001:0	PAul Apostol Iesu Christ gan wyl’ys Duw , erwyð aðewyt bucheð yr hon ’sy yn‐Christ . Iesu .
55:1:002:0	At Timothes vy map caredic : Rat , a’ thrugaredd , a’ thangneddyf y gan Ddyw y Tat , a’ chan Iesu Christ ein Arglwydd .
55:1:003:0	Ys diolchaf y Dduw , ’rhwn y wasanaethaf om rrieni a chydwybot bur , can ys eb peidio y may genyf gof am danat yn vy‐gweddieu nos a’ dydd ,
55:1:004:0	Can ðeisyfu dy welet , a’mi yn vyvyr oth ðaigrae , val im llanwer o lawenydd :
55:1:005:0	Pan ’alwyf im cof y ddiffuant ffydd ys ydd ynot , ’rhon y drigawdd yn gyntaf yn dy nain Lois , ac yn dy vam Euneic , ac y may yn ddiogel genyf y tric yno tithe hefyt .
55:1:006:0	Achos paam , ydd wyf ith coffau y gyffroi y dawn Duw ys ydd ynot , wrth arddodiat vy‐dwyaw .
55:1:007:0	Can na roðes Duw y ni yspryt ofnusrvvydd , anyd yspryt nerthovvgrvvydd , a’ chariat , a’ phwyllogrwydd .
55:1:008:0	Am hyny na vydd arnat gywilyð o destiolaeth yr Arglwydd , nac o hano vineu y garcharawr ef : eithr cydoddef‐di‐gystuddion yr Euangel , wrth veddiant Duw .
55:1:009:0	Yr hwn an iachaoð , ac an galwodd a galwedigaeth sanctaið nyd , wrth ein gweithredoedd ni , anyd wrth y bwrpos yhun , a’y rat , ’rhwn a roespwyt y ni trwy Christ Iesu cyn amseroedd oeseu .
55:1:010:0	Eithyr ef a eglurwyt yr owrhon gan ymddangosiat ein Iachawdr Iesu Christ , yr hwn a ðileoð angeu , ac a dduc vywyt ac ac ammarwolaeth i ’olauni trwy’r Euangel .
55:1:011:0	Ir hon im gosodwyt i yn precethwr , ac yn Apostol ac yn ddyscyawdr y Cenedloedd .
55:1:012:0	Am yr hwn achos y dyoddefaf hefyt y petheu hyn , ac nyd oes arnaf giwilydd : can ys gwn pwy a gredais , ac y mae yn ddilys genyf y vot ef yn abl y gadw yr hyn a ðodais ataw erbyn y dyð hwnw .
55:1:013:0	Cadw wir esempl yr iachus ymadroddion , yr ei a glyweist y can y vi yn ffydd a’ chariat ys ydd yn‐Christ Iesu .
55:1:014:0	Y peth prydverth , y roed atat , cadw trwy’r Yspryt glan , yr hwn a drig ynom .
55:1:015:0	Ti wyddost hyn , ddarvot ir ei oll ys ydd yn Asia , droi o ywrthy vi : o’r sawl rei y mae Phygellus ac Hermogenes .
55:1:016:0	Roed yr Arglwydd drugareð y duylu Onesiphorus : can ys ef yn vynych am llonhodd i , a’m catwyn nyd oedd gywilydd ganthaw .
55:1:017:0	Eithyr pan oedd yn Ruuein , ef a ymcaisiawdd a mi yn ddiwyd iawn , ac am cafas .
55:1:018:0	Roed yr Arglwydd yddo , gahel o hano drugaredd gyd a’r Arglwydd yn y dydd hwnw , a’ pha veint betheu vu ef im gweni yn Ephesus , ti wyddost yn ’oreu vn .
