62:2:001:1	Christ Diits'iheenjyaa
62:2:001:0	Shitr'iinin tsal nąįį k'it t'anakhoihnyąą. Khagootsyaa shrǫ' nahoihnyąą. Ąįį geh'an jii nakhwats'ą' gwidįįhtł'oo. Gąą juu khagwaatsii ji', gwitee gwa'an gwats'an ch'ihłee diti' ts'ą' diineenjit ch'oodiikwat. Adan t'ee juu Viti' doo'ya' yuunyąą khit gwik'it t'ii'in nilii, voozhri' Jesus Christ oaazhii. 
62:2:002:0	Ąįįts'ą' chan ąįį dinjii ąįįt'ee diitr'agwaanduu gwats'an shrii tr'ineediinąhchik. Gąą diikhwąhzhrįį nakwaa. Gąą juu nąįį datthak chan gootr'agwaanduu ts'an shrii tr'anahchik. 
62:2:003:0	Gąą Vit'eegwijyąhchy'aa dinjii dahnyąą gwik'eegwarahthat ji', ąįį gwik'iighai' ji' gąą łyaa vaagwiindaii gaagweheendaii. 
62:2:004:0	Gąą ch'ihłee, “Vaashandaii,” yahnyąą gwiizhik Vit'eegwijyąhchy'aa dinjii nąįį dahnyąą gwik'eegwahthat kwaa ji', ąįį dinjii oots'it heelyaa ąįįts'ą' chan łi'didlii t'inyąą kwaa. 
62:2:005:0	Gąą juu Vit'eegwijyąhchy'aa viginjik k'eegwahthat ji', Vit'eegwijyąhchy'aa vich'eet'igwiniidhan k'iighai' łyaa zhyąą vit'igwehee'aa kwaa. Ąįį gwats'an t'ee łyaa zhyąą vaa ch'ihłak tr'inlii gaagweheendaii. 
62:2:002:1	Jii Gwidįįhtł'oo T'ee Gwalat Kwaii Tth'aii Goohtth'ak Kwaa
62:2:006:0	Juu khik ts'ą' Vit'eegwijyąhchy'aa haa ihłįį, nyąą ji', t'ee Jesus Christ nats'ahts'ą' dinjii inli', adan t'ee gwik'it t'iheechy'aa, gwik'eegweheendaii. 
62:2:007:0	Shalak nąįį, jii nakhwats'ą' gwidįįhtł'oo Vit'eegwijyąhchy'aa ninghyuk kwaa dąį' gwats'an nakhwaa gwaandak t'inchy'aa kwaa, gąą nijin drin Christ k'injuhkhit dhoodlit gwats'an hee gaahahkhwandaii. Ąįįt'ee Gwandak Nizįį dohtth'ak t'oonchy'aa. 
62:2:008:0	Googaa tth'aii jii jidii nakhwats'ą' gwidįįhtł'oo gwalat kwaii tth'aii goohtth'ak kwaa. Ąįį aadrii nizįį nilii t'ee gwandaa gwintł'oo aadrii ilii, ąįį geh'an gwiyeendaa tǫǫ gwanlii kwaa. Christ gwandaii gwizhit dąį' t'ee jii łi'deegwidlii gwarąąh'yą'. Ąįįts'ą' chan juk t'ee nakhwan chan łi'deegwidlii gwagǫǫhch'in. 
62:2:009:0	Juu, “Aadrii zhit gwįįhdaii,” nyąą, gwiizhik gąą juu Christ k'injiighit nąįį eet'iindhan kwaa ji', t'ee tth'aii nihk'it vaa tǫǫ goo'aii, gwehkįį dinchy'aa dąį' gwik'it. 
62:2:010:0	Juu Christ k'injiighit nąįį eet'iindhan. Ąįį nąįį t'ee aadrii zhit googwandaii. Ąįį vats'an t'ee juu Christ k'injiighit nąįį khagwahaatsyaa giveenjit gwehehkwaa. 
62:2:011:0	Gąą juu Christ k'injiighit nąįį eet'iindhan kwaa ji', ąįįt'ee tǫǫ gwizhit gwandaii. Tǫǫ gwizhit zhik gwa'an neehidik, gąą nijuk ahaa adahaaheendaii kwaa, tǫǫ gwizhit vaa gweech'in kwaa geh'an. Vandee naatthaa k'it nihk'it t'iichy'aa. 
62:2:012:0	Shitr'iinin nąįį, nakhwats'ą' ch'adįhtł'oo. Jesus Christ nakhweenjit niindhat, nakhwatr'agwaanduu kwaii oo'an gweheelyaa geenjit. 
62:2:013:0	Ch'anjaa nąįį, nakhwats'ą' ch'adįhtł'oo. Juu nan goodlit dąį' gwats'an gwandaii, ąįįt'ee łyaa vaakhwandaii. Juu k'eejit nilii nąįį, nakhwats'ą' ch'adįhtł'oo.Ch'anky'aa tr'aanduu ąįįt'ee gaayiidhohtsąįį.Shitr'iinin nąįį, nakhwats'ą' ch'adįhtł'oo. Diiti' t'ee łyaa vaakhwandaii. 
62:2:014:0	Ch'anjaa nąįį, nakhwats'ą' ch'adįhtł'oo. Juu nan goodlit dąį' gwats'an gwandaii, ąįįt'ee łyaa vaakhwandaii.Juu k'eejit nilii nąįį, nakhwats'ą' ch'adįhtł'oo. Łyaa nakhwach'agwadhan. Gweedhaa datthak Vit'eegwijyąhchy'aa viginjik nakhwayinji' zhit t'inchy'aa. Ch'anky'aa Tr'aanduu, ąįįt'ee gaayiidhohtsąįį. 
62:2:015:0	Jii nankak gwitr'it gwiizųų kwaii ts'ą' chan dinjii gwiizųų t'ii'in, ąįį nąįį eenjit gwitr'it t'agoh'ya' shrǫ'. Akwat gwik'it t'akho'in gwik'eegǫhdaii ji', it'ee Diiti' zhyąą veet'ohthan adoo'įį. 
62:2:016:0	Jidii k'eiich'ii dzaa nankak gwizhit datthak, dinjii tr'agwaanduu nihłaa neegwigwii'aii nąįį, ąįį dinjii nąįį jidii yiindhan datthak; dinjii jidii nah'in, zhat chan it'ee yiyiindhan; dinjii jidii khadeenjit gwintł'oo eech'i'in. Jii kwaii datthak Diiti' ts'an gwats'an t'inchy'aa kwaa. Ąįį kwaii datthak it'ee nankak gwats'an t'inchy'aa. 
62:2:003:1	Christ Ts'ą' Itr'ii'ee Nąįį
62:2:017:0	Jii nankak gwitr'it gwiizųų kwaii ts'ą' jidii dinjii gwiizųų t'ii'in datthak, ninghyuk kwaa ndaagwahąą'aa. Gąą juu Vit'eegwijyąhchy'aa doochy'a' yuunyąą gwik'it t'inchy'aa ji', vagwandaii ndaahąą'aa kwaa. 
62:2:018:0	Shitr'iinin nąįį, khaiinkǫǫ drin gwats'ą' gweedhaa. Gwats'an dąį' hee goohtth'ak, khaiinkǫǫ drin ji' Christ ts'ą' gwił'ąįį it'ee diitee gwitr'it t'agwahah'yaa. Gąą juk it'ee Christ itr'ii'ee lęįį nąįį diitee gwitr'it t'agoogwah'in. Ąįį geh'an t'ee khaiinkǫǫ drin gwats'ą' gweedhaa, datthak gaagwiindaii. 
62:2:019:0	Geedan t'ee Christ k'injiighit nąįį tee łyaa zhyąą ginlį' kwaa. Ąįį geh'an t'ee diitee gwats'an gihłeegahaajil. Gąą łyaa zhyąą diihaa ginlį' ji', duuyeh diitee gwats'an gihłeegihijyaa. Diineełeegiheedaa giveenjit shragwaazhik. Jii gwik'iighai' t'ee łyaa zhyąą diitee ginlįį kwaa, dinjii nąįį gavaaheendaii. 
62:2:020:0	Gąą nakhwan ąįį, Christ Ch'anky'aa Shroodiinyąą nakhwats'an iłtsąįį. Ąįį geh'an t'ee jidii łi'deegidlii tthak gaakhwandaii. 
62:2:021:0	Datthak jidii łi'deegidlii gaakhwandaii. Oots'it chan juu łi'didlii ts'an t'inchy'aa kwaa. Łi'deegwidlii gaakhwandaii it'ee gaashandaii, gąą nakhwats'ą' ch'adįhtł'oo gaaneenakhwahąłdaii geenjit. 
