59:2:001:1	T'áadoo ał'ohgo ahaa nitsídaahkeesí
59:2:001:0	Shik'isóó , Jesus Christ nihiBóhólníihii , éí Bóhólníihii ayóó át'éii deinohdlą́ągo t'áadoo diné ał'ohgo baa nitsídaahkeesí .
59:2:002:0	Jó , diné ła' óola yoostsah bąąh si'ą́ągo áádóó éé' t'áá íiyisí nizhónígíí yee hadít'éego áłah nohłį́į́ góne' nihił yah ííyáago , áádóó nít'éé' diné ła' bahojoobá'íii anilí yee hadít'éego nihił yah anáánáádzáago ,
59:2:003:0	nít'éé' diné t'áá íiyisí nizhónígo hadít'éii t'éiyá nihił nilį́įgo , Kwe'é dah nídaah , bidooniidgo índa diné bahojoobá'ígíí , T'áá aadi sínízį́ , doodaii' , Shijátahdóó nídaah , bidooniidgo ,
59:2:004:0	da' doósh ał'ohgo ahaa nitsídaakeesii dasoolį́į' da ? Da' doósh nichxǫ́'ógo aa nitsídaahkeesgo aa nídaat'íinii dasoolį́į' da ?
59:2:005:0	Da'íísółts'ą́ą́' , shik'isóó ayóó'ánihósh'níinii , jó , nihokáa'gi badahojoobá'íii oodlą' deidoot'įįłgo índa Diyin God bee bóhólníihgo bił haz'áanii bíí' dadooleełgo ts'ídá nábiizláá' . Éí ayóó'ádabó'níinii bíí' dooleełgo yee nihoní'ą́ .
59:2:006:0	Nidi diné bahojoobá'íii doo nihił dáálįįd da . Jó , da'at'íinii ts'ídá nihide ádahósin ya' ? Jó , aa nídahat'į́įjį' ts'ídá adanihii'éésh ya' ?
59:2:007:0	Hó lá yízhí ílíinii bee danihi'dójíhígíí ts'ídá nichxǫ́'ógo bá hadadziidziih .
59:2:008:0	Diyin God bizaad bee ak'e'ashchíinii bik'ehgo Diyin God éí Aláahgo Naat'áanii yee has'áanii kóní , T'áá ni ádííní'nínígi át'éego bił kééhót'íinii ayóó'ííní'ní . Éí bee haz'ánígíí bik'eh dahonoł'į́įgo yá'át'éhígi ádaaht'į́į doo .
59:2:009:0	Nidi diné ał'ohgo baa nitsídaahkeesgo éí nida'iyohsííh , áko bee haz'áanii yilááh nidahidiltaałii danohłį́įgo bee haz'áanii nihainít'į́ .
59:2:010:0	Háálá t'áá háiida bee haz'áanii t'áá át'é bik'eh hojíł'į́į nidi , t'ááłáhígo haz'ą́ dzisiihgo , t'áá át'é bee ádihozhdiilt'i'go át'é .
59:2:011:0	Háálá , Ts'ídá doo azhdilée da , nínígíí ałdó' , Diné ts'ídá doo diyííłhéeł da , ní . Áko doo adílée da nidi diné síníłhį́įgo bee haz'áanii yilááh nideeltáalii sínílį́į́' .
59:2:012:0	Áko Diyin God yee has'áanii diné yéé'iiłníihii bik'ehgo nihá nihwiit'aah dooleełii danohłį́įgo éí bik'ehgo hadahohdziih áádóó ádaahníił le' .
59:2:002:1	Hwe'oodlą' áádóó ájooníiłii
59:2:013:0	Háálá doo aa a'ááh jiniizį́'ígíí éí Diyin God doo haa a'ááh nízingóó há nihodoo'ááł ; aa a'ááh hasin éí aa hwiinít'į́ yik'eh didlį́ .
59:2:014:0	Shik'isóó , diné ła' , Ooshdlą́ , níigo , nidi bi'oodlą' doo yik'eh át'éégóó , ha'át'íísh bá nídoodleeł ? Oodlą' ákót'éii daats'í yisdábidoołtééł ? Dooda lą́ą !
