59:4:001:1	Nihokáá' bił nidahazt'i'ii hoł bidááhánííjí
59:4:001:0	Nihitahgi ahigą́ índa ahinídiiltłáadshą' háádę́ę́' nihwiileeh ? Da' doósh nihe'adáhonooni' nihiyi'di naalnishígíí bits'ą́ą́dę́ę́' nihwiileeh da ?
59:4:002:0	Laanaa danohsin nidi doo nihee dahaleeh da ; nida'ołtseed , áádóó nihił adááh dahaníi nidi doo shódeinołt'eeh dago , t'óó ahináádoohjah áádóó da'ahohgą́ . Bídin danohłínígíí doo Diyin God bídeínóhkeedgóó biniinaa doo nihee dahaleeh da .
59:4:003:0	Dayínóhkeed nidi doo nihee dahaleeh da , háálá biniyé dayínóhkeedígíí doo yá'át'éeh da , nihił dahoneełni t'éí biniyé dayínóhkeed .
59:4:004:0	Nihí adiléhí danohłíinii , nihokáá' bił nidahazt'i'ii nihił bidáádahaníigo Diyin God bi'ana'í danohłínígíísh doo nihił béédahózin da ? Éí bąą t'áá háiida nihokáá' bił nidahazt'i'ii hoł bidááhánínígíí Diyin God bi'ana'í íz'dólzingo át'é .
59:4:005:0	Diyin God bizaad bee ak'e'ashchínígíí doo t'áadoo biniyéhígóó kóníigo bee ak'e'ashchį́ , Níłch'i nihii' naazį́įgo áyiilaii éí laanaa nízingo oołch'į́į́d .
59:4:006:0	Nidi t'ah aláhídi át'éego Diyin God aa jooba' , éí bąą bizaad bee ak'e'ashchíinii kóní , Diyin God éí diné ádaa daha'niihii yik'ijį' nilį́ , nidi diné a'ohgo ádaa nitsídaakeesii yaa jooba' .
59:4:007:0	Éí bąą Diyin God baa ádadiyoht'aah . Níłch'i bida'iiníziinii binanit'a'í bich'į' nidaałdzilgo nihits'ádoolwoł .
59:4:008:0	Diyin God baa hohkááh , áko bí ałdó' nihaa doogááł . Bąąhági ádaahníiłii , nihíla' táádaahgis . T'áá naaki nilį́įgo nitsídaahkeesii , nihijéí chin bąąh ádaadingo ádaahłééh .
59:4:009:0	Yínííł bik'ee ti'dahoohnííh , áádóó atínidadinohdleeh , índa daahcha . Bíni'dii nihidloh hasinii atínáhodinidleeh náádleeł , áádóó bíni'dii nihił dahózhónígíí éí yínííł náádleeł .
59:4:002:1	Ak'is nilíinii t'áadoo baa nídaaht'íní
59:4:010:0	Bóhólníihii binááł a'ohgo ádaa nitsídaahkees , áko ayóó át'éii danohłį́įgo ánihidoolííł .
59:4:011:0	Shik'isóó , t'áadoo nichxǫ́'ógo ahaa yádaałti'í . T'áá háiida Christ bee ak'is nilį́įgo nichxǫ́'ógo baa yájíłti'ígíí , doodaii' baa níjít'ínígíí éí Diyin God yee has'áanii nichxǫ́'ógo baa yájíłti' áádóó baa níjít'į́įgo át'é . Jó , bee haz'áanii baa níjít'į́įgo bee haz'áanii doo yik'ehgóó ááníiłii jileeh , bee haz'áanii yik'i hodii'aahii jileeh .
59:4:003:1	T'áadoo ádaa dahoh'niihí
59:4:012:0	Diyin God t'éiyá bee haz'áanii ííł'íinii áádóó ánihwii'aahii nilį́ . T'áá bí t'éiyá yisdá'iinííł , áádóó ałdó' í'doołdįįłgo yíneel'ą́ . Áko nishą' ha'át'íí nishłį́ nínízingo bił kééhót'íinii baa nánít'į́ ?
59:4:013:0	Haa'íyee' , kódadoh'níinii , Díí jį́ , yiską́ągoda kin haal'áajį' diikah , ákwii nihaa nida'iiniihgo nídoohah , áko béeso nihee dahodooleeł .
59:4:014:0	Éí azhą́ yiską́ągo áhodooníłígíí doo nihił béédahózin da nidi ádadohní . Jó , nihe'iina'shą' ha'át'íí át'é ? Áhí t'óó kónígháníjį' haleehgo ádįįhígíí nahalinii át'é .
59:4:015:0	Kódadohníi dooleeł yę́ę , Bóhólníihii íinízin ládą́ą́' dahinii'náa doo , díidída , doodaii' níléidída baa nidiikah .
59:4:016:0	Nidi ádaa dadzíínóhdlíigo ádaa dahohniih . Ákót'éego ádaa ha'niih t'áá ałtso doo yá'át'éeh da .
59:4:017:0	Éí bąą t'áá háiida ha'át'íhída yá'át'éehgo ádoolníłígíí hoł bééhózin nidi doo ájoonííłgóó éí bee ádił ni'dziilzííh .
