44:19:001:1	Éfesasdi Paul naaghá
44:19:001:0	Kórinthgi Apálas sidáádą́ą́' , Paul éí kéyah wódahjíígíí bii' ahéédzídzáago Éfesasgi jiníyá . Ákwe'é ídahooł'aahii ła' bik'ízhníyá .
44:19:002:0	Éí ábizhdííniid , Da'iisoohdląąd yę́ędą́ą́'ásh Níłch'i Diyinii nihiih dahwiizle' ? Áko ádahałní , Dooda , Níłch'i Diyinii hólónígíi nidi t'ah doo baa dahodiits'į́įh da .
44:19:003:0	Áko ájíní , Ha'át'íishą' bik'ehgo tó bee danihi'doolzį́į́' ? Áko ádadííniid , John bik'ehgo tó bee alzį́hígíí t'éiyá .
44:19:004:0	Ákohgo Paul ádííniid , Łahgo át'éego tsínáhodiikeesgo bąąhági át'éii áts'áhidit'aahgo tó bee alzį́į́hjí John tó yee asį́į́h nít'éé' . Diné yił halne'go ádííniid , Shikéédę́ę́' náánáádáłígíí deidoohdląąłgo baa dadzíídóohłiił . Éí Christ Jesus ááhyiłní .
44:19:005:0	Éí deidiizts'ą́ą'go , Bóhólníihii Jesus bízhi' bee tó bee dabi'doolzį́į́' .
44:19:006:0	Áádóó Paul hak'i dah dahideesnii'go , Níłch'i Diyinii hak'i dahoole' , áko saad ał'ąą át'éii yee hadahaasdzíi'go , Diyin God yá dahoolne' .
44:19:007:0	Dinéhígíí t'áá ałtsogo naakits'áadah daats'í yilt'é .
44:19:008:0	Áádóó kin bii' áłah ná'ádleeh góne' Paul yah aníjídáahgo t'áadoo dzisti'í yáńjíltihgo táá' nídeezid , Diyin God bee bóhólníihgo bił haz'áanii bídadéét'i'ii diné bił baa nídajit'į́įgo bee bíni' bá ádahojiilaa .
44:19:009:0	Nidi ła' doo nibída'didzil da índa doo da'oodlą́ą́góó , diné áłah nilínígíí binááł Bóhólníihii bik'ehgo honít'i'ii nichxǫ́'ógo yá yádaałti'go bąą , bits'ą́ą́' dashdiiyáago ídahooł'aahii bił dashdiikai , áko t'áá ákwíí jį́ Tairánas yolyéhígíí bi'ólta' góne' Diyin God bizaad bił baa nínádajit'įįh .
44:19:002:1	Sííva biye'ké
44:19:010:0	Éí t'áá ákót'éego naaki nááhai , áko Jew dine'é índa Gríik dine'é Éízha kéyahgi kéédahat'ínígíí t'áá ałtso Bóhólníihii bizaad deidiizts'ą́ą́' .
44:19:011:0	Diyin God éí Paul choyooł'į́įgo ádahooníiłii ayóó ádaat'éii doo deiltséhígíí áyoolííł ,
44:19:012:0	áko ádídaaljołí áádóó atéél naastsoozí Paul hats'íís bídahidiyeesnáa'ii ka nidaakaii bich'į' adahaashjaa' , áko ka nidaakaígíí yá'át'ééh nídaasdlį́į́' , áádóó níłch'i bi'iiníziinii bii' dahólónígíí bii' hadahaaskai .
44:19:013:0	Áko Jew dine'é ła' tádadikáahgo níłch'i bida'iiníziinii hadeiniiłkaadii éí Jesus bízhi' dayózhíigo ch'ééh hadeiniłkaadgo , Paul yaa halne'ii , Jesus , binahjį' ándishní , daaní .
44:19:014:0	Sííva joolyéé léi' Jew dine'é aláahgo náá'iiłniihii jílį́įgo , éí haye'ké tsosts'id yilt'éego ákódaat'į́ .
44:19:015:0	Nidi níłch'i bi'iiníziinii haadzíi'go ábidííniid , Jesus bééhasin , Paul ałdó' bééhasin , nidi nihíshą' éí háí ádaaht'į́ ?
44:19:016:0	Áko diné níłch'i bi'iiníziinii bii' hólónígíí hach'į' dah diilwodgo bił da'ahijoogą́ą'go hak'eh deesdlį́į́' , áko t'áá dajilchí'ígo áádóó tídazhdiilyaago kin biyi'dóó ch'ízhníjéé' .
44:19:017:0	Jew dine'é índa Gríik dine'é Éfesasgi kéédahat'ínígíí t'áá ałtso éí dayíínii' , áádóó t'áá ałtso éí bik'ee bił yéé' dahazlį́į́' , áko Bóhólníihii Jesus bízhi' ayóó át'éego baa ha'niih silį́į́' .
44:19:018:0	Lą'í da'oosdląądígíí ałdó' ákwe'é neheeskaigo ádaa ch'ídahwiist'ą́ągo ádáát'įįdii yaa dahoolne' .
44:19:019:0	Áko diné na'adlo' bee nidahojiłáii lą'í handaaltsoos áłah ádajiilaago diné t'áá ałtso dabinááł dazhdííłid , áko bą́ą́h ílį́į́ nít'éé' yę́ę dajííłta' , nít'éé' béésh łigaii ashdladiindi mííl bą́ą́h ílį́į́ nít'éé' lá .
44:19:003:1	Éfesasgi nahozhneeshghaazh
44:19:020:0	Áko Bóhólníihii bizaad bilááh yileełgo aláahdi át'éii silį́į́' .
44:19:021:0	Ákódaadzaadóó bik'ijį' Paul éí Masedóniya índa Akéya hoolyéégóó ch'ídeesháałgo Jerúsalemgóó deeshááł jiniizį́į́' , áko ájíní , Ákwii níyáádóó bik'ijį' Rome hoolyéégóó ałdó' hwiideestsééł .
44:19:022:0	Áko Timothy índa Iirástas éí háká aná'ahinilchéehii nilį́įgo Masedóniyagóó ajííł'a' , hó t'éiyá t'áá Éízhagi dzizdáago nááhodoo'na' .
44:19:023:0	T'áá daats'í ákwii hoolzhishgo Bóhólníihii bik'ehgo honít'i'ii biniinaa doo t'áá hasht'e'ígo hahonííchaad da .
44:19:024:0	Háálá diné ła' Demíítriyas yolyéego béésh łigaii yitsid lá , béésh łigaii bee Daiyána , kin bił be'elyaago bich'į' nahadláii ííł'į́ , áko da'atsidii t'áá íiyisí bik'é bada'iideeł ,
44:19:025:0	éí diné ákót'éego da'atsidgo yindaalnishígíí áłah áyiilaago yee yich'į' haadzíí' , Hastóí , díí naanishígíí bee yéego da'iit'į́įgo nihił béédahózin .
44:19:026:0	Jó , doo Éfesasgi t'éiyá da , nidi Éízhagi k'asdą́ą́' t'áá át'éé nít'éé' , éí díí Paul yolyéhígíí yílá bee ádaalyaii doo diyin ádaat'ée da níigo , diné lą'í yíni' yá ádahoolaago nihits'ádahaaskaigo daah'į́ áádóó dadoohts'a' .
44:19:027:0	Áko doo t'áá nihí nihindaanishígíí t'éiyá yidoołchǫǫł dagi át'é , nidi ayóó át'é asdzą́ą́ diyinii Daiyána wolyéii kin bii' bich'į' nahadláhígíí ałdó' doo ílį́į da dooleeł , áko doo bił ádaa hólníi da dooleełgi át'é , jó , éí Éízhagi índa nihokáá' dine'é t'áá át'é k'ad deidísin .
44:19:028:0	Éí deidiizts'ą́ą'go t'áá íiyisí yik'ee bádahóóchįįd , áko hadadeeshghaazhgo ádaaní , Éfesas dine'é bidiyin Daiyána éí ayóó át'é !
44:19:029:0	Áko kin haal'áagi t'áá át'é diné t'óó hahóół'á , áko Paul yił naakaígíí ła' , Géíyas índa Aristárkas , éí Masedóniyadę́ę́' diné jílį́įgo , dahasiłgo , ayóó át'é áłah ná'ádleeh bá haz'ą́ą́ góne' t'áá łahjį' hoł yah anoodaa'go yah adahazdzį́į́z .
44:19:030:0	Paul ákóne' diné bitah yah adeeshááł jiniizį́į́' , nidi ídahooł'aahii dooda dahodííniid .
44:19:031:0	Éízhadę́ę́' naat'áanii danilį́į́ léi' ła' , hach'ooní danilį́įgo , Áłah azlį́į́' góne' doo yah adíínáał da , daaníigo ałdó' nídahookąąhgo haa da'as'a' .
44:19:032:0	Ákohgo áłah silį́'ígíí t'óó hahóół'á , ła' , Díí lą́ą , daaníigo , náádaała' , Nagháí lą́ą , daaníigo dadilwosh , t'óó ahayóí yiniyé yah adahaaskaígíí nidi doo bił béédahózin da .
44:19:033:0	Áko Jew dine'é éí Alezáander kódidííniił deidííniidgo diné áłah nilínígíí bitahdóó yił ch'ékai . Áko dah didiilnii'go ách'ą́ą́h yáti' yee diné yich'į' haadziih nít'éé' .
