44:10:001:1	Peter áádóó Korníílyas
44:10:001:0	Sesaríya hoolyéegi diné léi' Korníílyas yolyéego , neeznádiin siláo dah yikahii , Itáliyan bee wójíii , yinanit'a'í nilį́ ,
44:10:002:0	hodísinii nilį́ áádóó bighandóó danilíinii t'áá ałtso Diyin God deidísingo diné badahojoobá'íígíí lą'ígóó yee jooba'ii yee yíká análwo' , áádóó t'áá áłahjį' Diyin God yich'į' sodilzin .
44:10:003:0	Wózhǫ́ yaa adeez'ą́ągo Diyin God bidiyingo naal'a'í ła' hoł yah iigháahgo jiiłtsą́ . Éí , Korníílyas , hałníigo t'áadoo bahat'aadí hoł ádzaa .
44:10:004:0	Áko jidiniilgęęzhgo nídzísdzíidgo ájíní , Bóhólníihii , ha'át'íishą' biniyé yíníyá ? Nít'éé' áháłní , Nisodizinígíí Diyin God ná yidiizts'ą́ą́' índa nee ajooba' bee áká anánílwo'ígíí yee nénálniih .
44:10:005:0	Áko k'ad diné ła' Jápagóó díł'áago Sáíman éí Peter ałdó' yolyéhígíí áádę́ę́' yił nídookah ;
44:10:006:0	éí ła' diné , ałdzéhí nilį́įgo , Sáíman ałdó' yolyéego tábąąhgi bighan , ákwii ba'ałk'ee dzizdá . [ Éí baa nidíínaałii bee nił hozhdoolnih . ]
44:10:007:0	Áko diyingo naal'a'í hach'į' haadzí'ígíí dah diiyáago , há naal'a'í naakigo áádóó siláo , t'áá áłahjį' há naal'a'ígíí ła' hodísinii nilį́įgo , hágo bizhdííniid ,
44:10:008:0	áko áhoodzaaígíí t'áá ałtso bee bił hojoolne'go Jápagóó ajííł'a' .
44:10:009:0	Biiskání kin haal'áhígíí t'áá áyídídę́ę́' bich'į' jookahgo , k'adę́ę ałné'é'aahgo Peter sodidoolzįįł biniyé kin bighą́ą'jį' haayá .
44:10:010:0	Áadi dichin dzizlį́į'go ajóyą́ą́' laanaa jiniizį́į́' , nidi t'ahdii ch'iyáán ádeiléehgo hoł áhát'į́įgo
44:10:011:0	yádiłhił ąą át'éego , ha'át'íí shį́į́ níbaal ayóó áníłtélígíí nahalingo , t'áá dį́į́'dę́ę́' be'astł'ǫ́ǫgo ni'jį' nahííłtsoozgo jiiłtsą́ .
