44:28:001:1	Paul éí kéyah táyi' si'ánígíí Málta hoolyéegi naaghá
44:28:001:0	Yisdéiikaigo índa , éí kéyah táyi' si'ánígíí Málta hoolyéego nihił béédahoozin .
44:28:002:0	Nít'éé' ákwii kéédahat'ínígíí t'áá íiyisí nihich'į' k'é danidzin , t'áá áníiltso k'é danihó'níigo nihá dideideeshjéé' , háálá nihihoníłtą́ągo deesk'aaz .
44:28:003:0	Paul éí chizh náyiizláa'go deidíínil , nít'éé' hadoh biniinaa kǫ' biyi'dę́ę́' tł'iish hach'į' dah diilwodgo hála' yąąh dah neeshjį́į́d .
44:28:004:0	Áko tł'iish hála' yidineeshghashgo dahoołtsą́ągo ałch'į' hadaasdzíi'go ádaaní , Doo doodagóoga' díí hastiin diné yiyiisxíinii nilį́į́ lá , azhą́ tónteel bits'ą́ąjį' yisdájííyáa nidi ts'ídá t'áá k'ééhodi'doolnííł lá .
44:28:005:0	Ákondi tsídzi'jį' hála' jíígháadgo tł'iish t'áadoo haa dahoolaa da .
44:28:006:0	Jidínóolyoł , éí doodago t'áadoo hooyání naa'azhdootłishgo dazdootsaał sha'shin danízingo ch'ééh naháaztą́ , nidi nízaadgóó bee dahodíína' nidi t'áadoo haa dadziidzaagóó bił béédahoozingo , łahgo át'éego tsíńdadeezkééz , áko , Diyin jílį́į́ lá , dadííniid .
44:28:007:0	Éí kéyah táyi' si'ánígíí bikáa'gi kéédahat'íinii binanit'a'í nilíinii , Pábliyas yolyéii doo nízaadi bikéyah da lá . K'é nihidííniidgo táá' yiską́ąjį' ba'ałk'ee nahísíitą́ą́ nít'éé' .
44:28:008:0	Pábliyas bizhé'é bitah honeezgaigo bitsą́ hodiniihgo sitį́į́ lá , áko Paul hoł yah ííyáago há sodoolzin índa hak'i dah deesnii'go náázdiidzá .
44:28:009:0	Ákódzaadóó bik'ijį' diné náádaała' éí kéyah bikáa'gi bąąh nidahałniihígíí nidahaaskaigo náádabidi'yiiljéé' .
44:28:002:1	Romedi Paul níyá
44:28:010:0	Éí bił daniidlį́įgo t'áadoo le'é t'óó ahayóí nihaa dayiiznil , áko k'adę́ę nihił dah náá'dii'eełgo t'áá ha'át'íhída t'áá ákónéehee chodeidoo'įįłii nihá iih dayiiznil .
44:28:011:0	Ákwe'é táá' nihee nídeezidóó bik'ijį' éí kéyah táyi' si'ánígi Alezáandriyadę́ę́' tsinaa'eeł ła' ákwe'é bééhai léi' Naakií bidi'nínígíí be'elyaago bidáahjigo dah noot'ááł léi' nihił dah dii'éél .
44:28:012:0	Sírakoosgi nihił aní'éelgo ákwe'é táá' danihiiską́ .
44:28:013:0	Áádóó naanáházhahgo , Rííjiyam hoolyéedi nihił aní'éél , áádóó t'ááłá'í yiską́ągo shádi'ááhdę́ę́' deeyolgo náábiiskání Putíyoliigi nihił aní'éél .
44:28:014:0	Ákwe'é ałk'isóó danilíinii ła' bik'íniikaigo ba'ałk'ee tsosts'id danihiidoołkáałgo yaa nídanihooskan . Áko índa Romedi niikai .
44:28:015:0	Áadi ałk'isóó kéédahat'ínígíí , yiikahígíí dayíínii'go , Ápiyas hoolyéego nida'iiniih bá haz'ą́ągi áádóó Da'nijahígíí Táa'go bá haz'ą́ą́ léi'gi nihidááh heeskai . Éí Paul yiyiiłtsą́ągo , Diyin God yich'į' ahééh niizį́į'go chánah násdlį́į́' .
44:28:003:1	Romegi Paul halne'
44:28:016:0	Áádóó Romegi niikaigo , [ siláo binanit'a'í éí awáalyaaí danilínígíí siláo aląąjį' binanit'a'í yeinínil , ] nidi Paul éí t'áá sahdii siláo baa áhályánígíí yił bighan doogo baa deet'ą́ .
44:28:017:0	Ákódzaadóó táá' yiską́ągo Paul éí Jew dine'é ákwe'é kéédahat'ínígíí yá aląąjį' naazíinii hágo yidííniid , áko baa áłah silį́į'go áyidííniid , Shik'isóó , azhą́ diné bich'į' doo bąąhági ásdzaa da nidi , áádóó danihizhé'é yę́ę bi'é'él'į' doo bik'ijį' nishłį́į da nidi , Jerúsalemdę́ę́' awáalyaaí nishłį́įgo Rome dine'é bílák'ee shi'dooltį́ .
44:28:018:0	Áko íídą́ą́' áadi nidashídééłkidgo , biniinaa shidi'yoolyéełii t'áá ádingo , t'óó hwéédadidiichił daniizį́į́' .
44:28:019:0	Nidi Jew dine'é dooda daaníigo hadaasdzí'ígíí biniinaa , Síízar shaa nídóot'įįł , dishníigo yich'į' ashídeizyil , azhą́ shidine'é ha'át'íhígíida bee bik'i hodideesh'áałii ádin nidi .
44:28:020:0	Éí bąą danihiideestséełgo ałch'į' hadadiidzih biniyé hágo danihidííniid , háálá Ízrel dine'é nidayólíii biniinaa díí béésh da'ahólzha'í bee dashi'diistł'ǫ́ .
44:28:021:0	Áko ádahodííniid , Judíyadę́ę́' naaltsoos naa halne'go doo ła' nihaa nína' da , áádóó nihidine'é áádę́ę́' neheeskaígíí nidi ła' doo ákwii ánít'éégóó doo naa ch'ídahaz'ą́ą da .
