44:9:001:1	Saul oosdląąd
44:9:001:0	Nidi Bóhólníihii bídahooł'aahii bich'į' Saul t'ahdii ádééhooldzíidgo índa nidootsił nízingo , aláahgo náá'iiłniihii yaa níyáago ,
44:9:002:0	Damáskasgi Jew dine'é áłah nídaadleehii bich'į' naaltsoos há hadadidoolníiłgo bíjííkeed , Damáskasdę́ę́' diné índa asdzánída Bóhólníihii bik'ehgo honít'i'góó dayíkáhígíí ła' bik'ízhníyáá ládą́ą́' bidazhdootł'oołgo Jerúsalemjį' nízhdoo'ish biniyé .
44:9:003:0	Ákǫ́ǫ́ joogááł , nít'éé' Damáskas t'áá áhání hadziihgo t'áadoo hooyání yá'ąąshdę́ę́' hanaagóó łe'díídláád .
44:9:004:0	Áko ni'jį' ajíígo'go ła' hadzoodzíi'go jidiizts'ą́ą́' , Saul , Saul , ha'át'íishą' biniyé atíshíł'į́ ?
44:9:005:0	Áádóó ájíní , Bóhólníihii , háishą' ánít'į́ ? Nít'éé' Bóhólníihii áhodííniid , Jesus atíníł'ínígíí ásht'į́ ; [ t'áá íiyisí bik'e'ashch'íi'go deeníinii bik'ą́ą́h dziyítaałgo ánít'į́ .
44:9:006:0	Áko hatah hoditłidgo áádóó t'óó hoł ahayóigo ájíní , Bóhólníihii , ha'át'íísh baa nizhdoogaał shííní'ní ? Áko Bóhólníihii áhodííniid , ] Nídiidáahgo kin haal'áajį' dínááh , ákwe'é baa nidíínaałii bee nił hodoonih .
44:9:007:0	Diné bił jookahígíí t'áadoo ła' dayiiłtsą́ą da nidi , iinéé' t'éí deidiizts'ą́ą'go t'áadoo yee hadaodziihígóó naazį́ .
44:9:008:0	Saul nízhdii'na'go jideezghal , nít'éé' doo ajoo'į́į da , áko hála' dayiiłtsoodgo dah dahodiilóozgo Damáskasgi hoł daaskai .
44:9:009:0	Áko doo ajoo'į́į dago , t'áadoo ajiyání índa tó nidi doo jidlą́ą́góó tágí jį́ azlį́į́' .
44:9:010:0	Áádóó Damáskasgi oodlání nilíinii , Ananáíyas yolyéego kééhat'į́ . Éí bił áhoodzaago Bóhólníihii ábíłní , Ananáíyas . Áko ájíní , Bóhólníihii , jó , kǫ́ǫ́ sédá .
44:9:011:0	Áádóó Bóhólníihii hach'į' haadzíi'go ání , Nídiidáahgo kin bita'atiin K'éhézdon hoolyéejį' dínááh , ákwe'é Júdas bighangi ła' Saul joolyéego Társasdę́ę́' nijighá , éí bína'ídídííłkił , háálá ákwe'é sozdilzin .
44:9:012:0	Éí diné léi' Ananáíyas yolyéego yah iigháahgo , ajoo'į́ nízhdoodleeł biniyé hak'i dah deesnii'go hoł ádzaa .
44:9:013:0	Nidi Ananáíyas haadzíi'go ání , Bóhólníihii , díí diné Jerúsalemgi nidiyį́į́' danilíinii lą'ígóó atíyííł'įįd ha'níigo baa hane' , diné lą'í yee shił dahoolne' ;
44:9:014:0	kwe'é nízhi' dayózhíigo sodadilzinígíí t'áá ałtso bida'dootł'óół biniyé aláahgo nááda'iiłniihii bee óhólníihii baa deideez'ą́ągo níyá .
44:9:015:0	Nidi Bóhólníihii áháłní , Ákǫ́ǫ́ dínááh , háálá ats'áhoníłtį́įgo chohwiideesh'įįłii jílį́ , áko doo Jew dine'é danilíinii índa naat'áanii danilíinii , áádóó Ízrel dine'é bich'į' shízhi' bééhózingo ádajile' doo ,
44:9:016:0	háálá lą'ígóó shízhi' biniinaa ti'hwiizhdoonihgo hoł bééhodeesįįł .
44:9:017:0	Áko Ananáíyas dah diiyáago hooghangi yah ííyáago hak'i dah deesnii'go ání , Shitsilí Saul , ííní'į́ nídíídleeł áádóó Níłch'i Diyinii nii' hadidoobį́į́ł biniyé níláhdę́ę́' yínáałgo Bóhólníihii Jesus nich'į' yit'íní í'diilyaaígíí naa shiníł'a' .
44:9:018:0	T'áá áko hanáá' bik'i ni'níkę́zígíí azhool nahalingo bąąh ni'diiłdáazgo ajoo'į́ nídzísdlį́į́' . Áko nízhdii'na'go tó bee ho'doolzį́į́' ,
44:9:002:1	Saul éí Damáskasdi hane' yá'át'éehii yaa halne'
44:9:019:0	áádóó ajííyą́ą'go bee hatah náhóółdził . Saul éí Damáskasgi ídahooł'aahii yił naháaztą́ągo díkwíí shį́į́ biiską́ .
44:9:020:0	T'áá áko kin bii' áłah nída'adleehgóó , Christ éí Diyin God biYe' nilį́ , jiníigo Jew dine'é bił hojilne'go baa nízdiidzá .
44:9:021:0	T'áá ałtso hazaad deidiizts'ą́ą'go t'óó bił adahayóigo ádadííniid , Jerúsalemdi díí yízhí dayózhíigo sodadilzinígíí ádooldįįł nízingo atííł'į́į́ nít'é'ígíí da' doósh éí át'į́į da ? Índa ła' bidazh'dootł'óołgo aláahgo nááda'iiłniihii baazhdoo'ishísh doo biniyé jiníyáa da ?
44:9:003:1	Saul éí Jew dine'é bits'ą́ąjį' yisdájííyá
44:9:022:0	Nidi t'ah aláhídi át'éego Saul bidziil yileełgo Damáskasgi Jew dine'é kéédahat'ínígíí , Díí t'áá aaníí Christ nilį́ , yiłníigo t'áadoo yee hadaodziihígóó áyiilaa .
44:9:023:0	Áko lą'í yiską́ą́dóó bik'ijį' Jew dine'é dahodiyoołhéełgo hodahodeez'ą́ ,
