44:24:001:1	Paul bik'íhát'ááh
44:24:001:0	Ashdla' yiską́ą́dóó bik'ijį' Ananáíyas aláahgo náá'iiłniihii áádóó diné yá aląąjį' naazíinii ła' , índa Tertálas yolyéé léi' , éí á yáłti'ii nilį́įgo , ákóyaa yił yíkai . Éí Paul bee bik'i hodiit'áanii yee naat'áanii yił dahoolne' ,
44:24:002:0	áko hágo ho'doo'niidgo , Tertálas kóníigo hak'i hodii'aahgo ayá'niiłti' : Niniiłt'aa t'áá íiyisí hodéesyéelgo dahinii'náago bąą nihił dahózhǫ́ , áádóó honíyą́ągo baa áhólyánígíí binahjį' díí diné bitahgi doo yá'ádaat'éehii hasht'enáá'nííł ,
44:24:003:0	kwá'ásiní , aláahgo ił nílíinii Fííliks , t'áá áłahjį' índa t'áá ałtsogi t'áá íiyisí baa ahééh daniidzin .
44:24:004:0	Nidi t'áadoo ádanihidiniłáhí , nee ajooba' biniit'aa saad t'áá díkwíí nihá didííts'į́įłgo baa nánooshkąąh .
44:24:005:0	Jó , nihił béédahoozingo , eii diné nihwiiłchxǫǫhii nilį́ , áádóó kéyah t'áá át'éé nít'éé' Jew dine'é bitahgóó hááhoniłcha'go naaghá , índa ła' , Názariin dabidii'nínígíí yich'ijí danilíinii yá naha'áii nilį́ .
44:24:006:0	T'ah nááyówehgo , kin bii' sohodizin yidoołchǫǫłgo yíneeztą́ą́' , nidi dasiilził , [ áko t'áá nihí nihibee haz'áanii bik'ehgo haa nídadíit'įįł nít'éé' .
44:24:007:0	Nidi siláo aląąjį' binanit'a'í Lísiyas nihaa ní'eezhgo t'áá íiyisí t'áá na'níle'dii nihílák'ee hahóółtį́ ,
44:24:008:0	áko Lísiyas éí hak'i dahodii'aahii nidááhdóó nihidookahgo yá haadzíí'] . T'áá ni nahódídííłkiłgo , bee hak'i dahodiit'ánígíí nił bééhodoozįįłgo haz'ą́ .
44:24:002:1	Fííliks bidááhdóó Paul ách'ą́ą́h haadzíí'
44:24:009:0	Jew dine'é ałdó' díí bee hak'i hodiit'ánígíí t'áá ałtso t'áá ákót'é dadííniid .
44:24:010:0	Ákohgo hazdoodzih biniyé naat'áanii hó'deezhgishgo , Paul ájíní : Díí dine'é bá ánihwii'aahii nílį́įgo lą'í nááhaígíí shił bééhózingo bąą , shił hózhǫ́ǫgo ninááł ák'i hadideesdzih .
44:24:011:0	Naakits'áadah yiskánídą́ą́' atah nahodeeshłaał biniyé Jerúsalemgóó níyá ,
44:24:012:0	áko kin bii' sohodizin bił haz'ą́ą́ góne' diné doo ła' bił ałgha'disht'áahgo dashijiiłtsą́ą da , doo nidi diné bił hahonishchaad da , kin bii' áłah nída'adleehgi índa kin haal'áagi nidi doo ákósht'į́į da .
44:24:013:0	Áko k'ad bee shik'ídahoji'áhígíí nidi ninááł t'áá aaníí ájít'į́ doo dashizhdóne' át'ée da .
44:24:014:0	Nidi díí bee t'áá aaníígóó nich'į' ádaa ch'íhonisht'aah , jó , éí honít'i'ii , bee ałts'á'áldah deiłnínígíí bik'ehgo , danihizhé'é yę́ę biDiyin God bich'į' nahashłá , nidi bee nihá haz'áanii índa Diyin God yá dahalne'ii binaaltsoos bii' bee ak'eda'ashchínígíí t'áá ałtso wooshdlą́ ,
44:24:015:0	áádóó t'áá daabí Diyin God yaa dadzólíigo , t'áá ákogi ádaat'éii índa doo ákwii ádaat'éii daneeznáádę́ę́' náábidi'dooljahgo yíká dadéez'į́į́' , áko shí ałdó' t'áá ákónísht'é .
44:24:016:0	Éí bąą t'áá áłahjį' dziilí bee Diyin God índa diné bich'į' t'áá ákwii ánísht'éego í'dííníszinígíí doo shi'diił'áágóó íínísin .
44:24:017:0	Áko kwe'é doo naasháágóó díkwíí shį́į́ shinááhaigo , da'oodlání yee dajooba'ii shidine'é baa dadeeshnił áádóó náádi'yeeshnih biniyé k'ad índa náánísdzá .
44:24:018:0	Éidíígíí baa naasháago , kin bii' sohodizin bił haz'ą́ą́ góne' doo ąąh chingóó nahadlá bíighah aséłį́į'go , doo nida'aldeehgóó , doo nidi hahóó'áágóó Éízhadę́ę́' Jew dine'é ła' shik'ídadziskai .
44:24:019:0	Éí bee shik'ídahoji'áahii hwee dahólǫ́ǫgo , kwe'é nidááhdóó nizhdookahgo bee hadazdoodzih nít'éé' .
44:24:020:0	Éí doodago , díí diné ándaha'áii bidááhdóó sézį́į́ nít'éé' yę́ędą́ą́' , doo ákǫ́ǫ́ íisdzaii shá hoł béédahoozin ládą́ą́' , háni'dii t'áá hó baa ch'ídahojí'aah ,
