44:26:001:1	Agrípa bidááhdóó Paul ách'ą́ą́h haadzíí'
44:26:001:0	Áko Agrípa éí Paul áyidííniid , T'áá ni ádá hadidíídzihgo bee na'deet'ą́ . Áko Paul dah didiilnii'go ák'i hadoodzíí' :
44:26:002:0	Agrípa aláahgo naat'áanii nílíinii , Jew dine'é yee shik'i dahodii'áanii t'áá ałtso , díí jį́ ninááł bee ák'i hadideesdzihígi baa shił hózhǫ́ nisingo ádaa nitséskees ,
44:26:003:0	háálá Jew dine'é bi'é'él'į' áádóó bee baa náhát'íinii t'áá ałtso t'áá íiyisí nił bééhózin ; éí bąągo hazhó'ó ha'íínílníigo shididííts'į́įłgo nánooshkąąh .
44:26:004:0	T'ah biyázhí nishłį́į́dóó wóshdę́ę́' , t'áá shí shidine'é bitahgi hinishnáago , Jerúsalemgi ánísht'éé nít'éé' yę́ę Jew dine'é t'áá ałtso bił béédahózin .
44:26:005:0	T'áá ałk'idą́ą́' shéédahodzísin , áko nihinahagha' aláahdi át'éego deidísingo yee dah yikahii bik'ehgo Férisii nishłį́įgo hinishnáá nít'é'ígíí bee shaa nidahozhdoolnih ládą́ą́' shá dahozhdoolnih .
44:26:006:0	Áko aa deet'áanii Diyin God éí nihizhé'é yę́ę yá haadzíi'ii bíká shił chohoo'íinii bee shaa náhát'į́įgo kwe'é sézį́ .
44:26:007:0	Nihidine'é naakits'áadahgo ał'ąą dine'é danilíinii t'áá ákwíí tł'éé' índa t'áá ákwíí jį́ Diyin God yich'į' nidahałáago éidíígíí nihá bohodoolnííł danízingo nidayólí . Áko aláahgo naat'áanii nílíinii , díí bee ił chohoo'íinii biniinaa Jew dine'é shik'i dahodii'ą́ !
44:26:008:0	Diyin God éí daneeznáanii néididoołjahígíishą' ha'át'éego ts'ídá doo daohdląąh át'éégóó baa nitsídaahkees ?
44:26:009:0	T'áá aaníí shí ałdó' , Názarethdóó Jesus bízhi' bik'ijį' nishłį́įgo nitsísékééz .
44:26:010:0	Áko Jerúsalemgi t'áá ákót'éego baa niséyá ; aláahgo nááda'iiłniihii yee shídahółníihgo , Diyin God bidiyį́į́' lą'í awáalyaa góne' yah ahénil , nidi doo t'áá ákót'éhí t'éiyá da , nidabidi'dootsiłjį' nidi bee lą́ ni'iishłeeh nít'éé' .
44:26:002:1	Paul oosdląądígíí yaa halne'
44:26:011:0	T'áá ahą́ą́h kin bii' áłah nída'adleehí naaznilgóó atídaash'į́į́ nít'éé' , áádóó Jesus dayódziih dooleełgi nidi ch'ééh ádéíł'įįd ; bich'į' t'áá íiyisí ádéé hoosdzíidgo náánáła' dine'é bikin hadaas'áágóó nidi ałdó' atídaash'į́į́ nít'éé' .
44:26:012:0	Ákót'éego baa naasháago , aláahgo nááda'iiłniihii bee óhólníihii shaa deideez'ą́ągo Damáskasgóó dah diiyá .
44:26:013:0	Aláahgo naat'áanii nílíinii , jó'akon , ałní'ní'ą́ągo jį́honaa'éí bits'ádi'nílídígíí bilááh át'éego shinaagóó áádóó bił yishkahígíí binaagóó yá'ąąshdę́ę́' łe'díídláád .
44:26:014:0	Áko t'áá áníiltso ni'jį' aniidee'go , ła' Hííbrew k'ehjí shich'į' hadzoodzíi'go diséts'ą́ą́' , Saul , Saul , ha'át'íishą' biniyé atíshíł'į́ ? T'áá íiyisí bik'e'ashch'íi'go deeníinii bik'ą́ą́h dziyítaałgo ánít'į́ .
44:26:015:0	Áko ádíshní , Háishą' ánít'į́ , Bóhólníihii ? Nít'éé' Bóhólníihii ání , Jesus atíníł'ínígíí éí shí ásht'į́ .
44:26:016:0	Nidi nídiidáahgo yiizįįh , háálá shiiniłtsánígíí índa nił yit'íní ání'diish'įįh dooleełígíí bee shá nanil'a' doo , áádóó bee shá nahólne' doo . Éí biniyé nich'į' yit'íní í'diishyaa áádóó nándiiłtį́ .
44:26:017:0	Jew dine'é índa doo Jew dine'é danilíinii bits'ąą naa áháshyą́ą doo , háálá doo Jew dine'é danilíinii bich'į' nideesh'aał ,
44:26:003:1	Jew dine'é índa doo Jew dine'é danilíinii bich'į' Paul bi'oodlą' yaa halne'
44:26:018:0	bináá' ąą ádadíílííł , áko chahałheeł bits'ą́ąjį' adinídíinjį' áádóó Séítan bibee óhólníihii bits'ą́ąjį' Diyin God yich'į' dah nídahididookah índa shich'į' ádił nida'iisíhígíí bá yóó'adahididoot'ááł , áádóó dashoodlánígíí bee Diyin God diyingo ádayiilaii bił hó dadooleełii baa dadoolyééł .
44:26:019:0	Éí bąą , Agrípa aláahgo naat'áanii nílíinii , yá'ąąshdę́ę́' shił áhoodzaaígíí t'áá bik'ehgóó ásdzaa .
44:26:020:0	Damáskasdi kéédahat'ínígíí áłtsé , áádóó Jerúsalemgi índa Judíyagi t'áá át'éé nít'éé' índa doo Jew dine'é danilíinii kóbidishníigo bee bił dahweeshne' , Łahgo át'éego tsíńdahidohkeesgo Diyin God bich'į' dah nídahidoohkááh , áádóó łahgo át'éego tsíńdadookézígíí beełt'éé góne' t'áá ákwii ádaahnííł .
44:26:021:0	Éí biniinaa Jew dine'é kin bii' sohodizin bił haz'ą́ą́ góne' dasisiłgo dashi'niiłhį́į́ nít'éé' .
44:26:022:0	Nidi díí jį́į́góó kǫ́ǫ́ hoolzhishígíí biyi' Diyin God shíká análwo'go , diné a'ohgo ádaat'éii áádóó ayóó ádaat'éii shił bééhózinii t'éiyá bee bił nahashne'go kǫ́ǫ́ sézį́ . Diyin God yá dahalne'ii índa Mózes kódahodoonííł dííniidii t'áá ákóníłtsóhígo t'áadoo bilááh ályaaí baa hashne' :
44:26:004:1	Paul éí Agrípa iinídląąh yiłní
44:26:023:0	éí Christ jílíinii ts'ídá ti'hwiizhdoonihí , índa hó áłtsé dadziztsą́ą́dę́ę́' náázhdidoodáłígíí binahjį' Jew dine'é índa doo Jew dine'é danilíinii hane' bee adinídíinii bee bił nahashne' .
44:26:024:0	Ákót'éego ádá hadzoodzíi'go Féstas yéego haadzíi'go ání , Paul , tsi'díníyáá lá ; ayóó át'éego íhwiinił'ą́'ígíí tsi'nidiisáá lá .
44:26:025:0	Nidi Paul ání , Féstas aláahgo ił nílíinii , doo tsi'déyáa da , nidi k'éhézdongo saad t'áá aaníinii bee yáshti' .
44:26:026:0	Háálá Agrípa aláahgo naat'áanii jílíinii díidíígíí hoł bééhózin , áko t'áadoo ni' nishłíní hach'į' yáshti' , háálá díidíígíí t'áá ałtso baa ákozniizį́į́' t'áá íiyisí hósh'ní , háálá díí doo nées'į́į'go áhóót'įįd da .
44:26:027:0	Agrípa shinanit'a'í nílíinii , da' Diyin God yá dahalne'iísh yinídlą́ ? Yinídlą́ągo lá shił bééhózin ni .
44:26:028:0	Nít'éé' Agrípa éí Paul áyidííniid , Dooládó' yáníłti'ígíí bee Jesus yoodláanii deeshłeeł biniyé k'adę́ę shíni' shá áhóléeh da .
44:26:029:0	Nít'éé' Paul ádííniid , K'adę́ę dinínígíí éí dooda , nidi t'áá aaníí oodlání nílį́į laanaa nisin , áádóó doo t'áá ni t'éiyá da nidi díí jį́ dashidiizts'ą́'ígíí t'áá ałtso shígi ádaone' laanaa nisin , t'áá hazhó'ó díí shílátsíín aznilígíí éí doo át'ée dooleeł yę́ę nisin .
44:26:030:0	Áádóó [ ákózhdííniidgo] aláahgo naat'áanii índa naat'áanii áádóó Bernáísii índa yił dah naháaztáanii yił nídiijéé' ,
44:26:031:0	áko náánáłah góne' yah aakaigo ałch'į' yádaalti'go ádaaní , Díí diné yee' biniinaa bidi'yoolyéłígíí , doodaii' biniinaa bílátsíín nidoo'niłígíí t'áá ádin lá .
44:26:032:0	Áko Agrípa éí Féstas áyidííniid , Díí diné éí Síízar shaa nídóot'įįł doo dííniidgóó , béédidoochił nít'éé' .
