44:1:001:1	Níłch'i Diyinii bee nihoot'ą́
44:1:001:0	Thiyáfilas yinílyéii , ts'ídá áłtséedi Jesus yaa naayáhígíí áádóó yee na'neeztą́'ígíí naaltsoos áłtséhígíí bikáá' íishłaa
44:1:002:0	áádóó wóshdę́ę́' dadool'aałii bitadziizlá'ígíí bee hodzis'áanii Níłch'i Diyinii bee baazhdiní'ą́ áádóó índa yá'ąąshgóó aho'dooltį́įjį' , éí t'áá ałtso naaltsoos bikáá' íishłaa .
44:1:003:0	Áko ti'hodzooznii'dóó dízdiin yiską́ąjį' hódahooł'aahii bich'į' yit'íní ánízh'diil'įįhgo , t'áá aaníí jiináago bee bééhózinii lą'ídi bee bich'į' ízh'diilyaa , áádóó Diyin God bee bóhólníihgo bił haz'áanii baa yájíłti' .
44:1:004:0	Bił nidzíiztą́ągo hach'į' haadzíi'go áhodííniid , T'ááká Jerúsalem bits'ą́ąjį' dah doohkááh yíila' , nidi aTaa' eidiní'ánígíí biba' ádanoht'ée dooleeł , éí bee nihił hweeshne'go dasidoots'ą́ą́' .
44:1:002:1	Jesus yá'ąąshgóó anáádzá
44:1:005:0	Háálá John éí t'áá aaníí tó yee asį́į́h nít'éé' , nidi kodóó t'áadoo lą'í yiłkaahí Níłch'i Diyinii bee nihidi'doolzįh .
44:1:006:0	Hódahooł'aahii ahíikaigo , nidahódééłkidgo ádadííniid , Bóhólníihii , da' k'adísh Ízrel bee bóhólníihgo bił haz'áanii bá hasht'éédíídlííł ?
44:1:007:0	Áko ábizhdííniid , Ałkéé' bee dahwéelzhíishii índa dayíłkaahii nihił béédahózin doogo doo nihaa deet'ą́ą da , éíyee' aTaa' t'áá bí bee bóhólníihgo yee nihoní'ą́ .
44:1:008:0	Nidi nihí Níłch'i Diyinii nihik'i hoole'go bee adziilii nihee dahodooleeł , áko Jerúsalemgi , índa Judíyagi t'áá át'éé nít'éé' áádóó Samériyagi , índa nahasdzáán nidanees'ą́ą́góó shá dahołne' dooleeł .
44:1:009:0	Áko díidí yee hahaasdzíi'go t'áá dazhníł'į́įgo , dego dah bi'diiltį́ áádóó k'os biyaa aaldohgo bee doo yit'į́į da silį́į́' .
44:1:010:0	De hooleełgo yá biyi' góde hazhó'ó dazdéez'į́į́' nít'éé' , jó'akon , diné naaki algaigo hadít'éego hwíighahgi yiizį' ,
44:1:003:1	Júdas yitsásk'ehjį' ííyáii
44:1:011:0	áko áhodííniid , Gáliliidóó hastóí danohłíinii , ha'át'íísh biniyé yá biyi' góde dasídóo'į́į'go nisoozį́ ? Díí Jesus nihits'ą́ą́' yá'ąąsh góde abi'dooltínígíí , t'áá yá'ąąsh góde hooleełgo daołtsánígi át'éego nínáádoodááł .
44:1:012:0	Áádóó Dził Álivet hoolyéhídóó Jerúsalemjį' níjíkai , éí Jerúsalemdóó áyídíyee' háá'áyį́į́h jį́ na'adáhígi ánízah .
44:1:013:0	Ákwii níjíkaigo , ná'ádeídi nidzíiztání góne' yah aníjookai , éí díí ádaat'į́ , Peter áádóó John áádóó James áádóó Andrew , Philip áádóó Thomas , Barthálemew áádóó Matthew , James éidí Alfíyas biye' , áádóó Sáíman Zélat yolyéhígíí índa Júdas éí James yił háá'áázh nilínígíí .
44:1:014:0	Díí t'áá ádzíłtso aheełt'éego nitsídadzikeesgo , Jesus bimá Mary áádóó sáanii náádaała' , índa Jesus bitsilíké éí bił t'áadoo ádahozdiilzéhí sodazdilzingo hoolzhish .
44:1:015:0	Áko ákwii neiłka' yę́ędą́ą́' ałk'isóó danilíinii ( t'ááłáhídi neeznádiindóó ba'aan naadiin daats'í yilt'é áłah silį́į'go ) , biníi'gi Peter yiizį'go ání ,
44:1:016:0	Shik'isóó , Júdas éí Jesus dayiiłtsoodii bá hojoo'į́įgo jiní'eezhígíí , éí Níłch'i Diyinii t'áá átséedi David binahjį' Diyin God bizaad bee ak'e'ashchíinii yee yaa ch'íhoní'áanii ts'ídá bohodoolnííł biniyé ádzaa .
44:1:017:0	Háálá Júdas éí hoł nihi'déélta' , díidí Jesus bá nideiil'a'ígíí łahjį' ałdó' haa deet'ą́ą́ nít'éé' .
44:1:018:0	Éí Júdas doo ákǫ́ǫ́ áát'įįdii bik'é bich'į' naalyáii yee kéyah nayiisnii' ; ákwii bitsii' ha'yaago , hadáágo'go biníí' gónaa yisdoh , áádóó bich'íí' t'áá át'é hááłhęęzh .
44:1:019:0	Áko Jerúsalemgi kéédahat'íinii t'áá ałtso bił béédahoozingo biniinaa t'áá bí dabizaadígíí bik'ehgo éí kéyah Akéldama hoosye' , éí kéyah diłii jiníigo óolyé .
44:1:020:0	Háálá naaltsoos Sin yolyéhígíí biyi' bee bik'e'ashchį́ , Bíni'dii bighangi doo naagháhí da doo , índa doo ła' yii' kééhat'íní da doo . Áádóó , Bee bóhólnííh nít'é'ígi náánáła' hatsásk'ehjį' anáádoodááł .
44:1:021:0	Éí biniinaa diné ła' náho'didooltééł . Bóhólníihii Jesus nihitah naaghá yę́ędą́ą́' t'áá nihił tázhdookaígíí éí
44:1:022:0	John tó yee asį́į́h yę́ędóó wóshdę́ę́' nihits'ą́ą́' Jesus dego abi'dooltį́ bijį́įjį' nihił tázhdidookah biniyé ła' náho'didooltééł , áko Jesus daaztsą́ą́dę́ę́' náábi'diilzáhígíí nihitahdóó atah baa hojilne' doo .
44:1:023:0	Áko naaki nídazhdiinil , Jóseph éí Barsábas yolyéego akéédę́ę́' bízhi'ígíí éí Jústas yolyé , áádóó Matháíyas ałdó' .
44:1:024:0	Áádóó sodazdilzingo ádazhdííniid , Bóhólníihii nílíinii , diné t'áá ałtso bijéí ádaat'éegi nił bééhózin , áko díí diné nidilt'éego , háidíígíí nídiniłtį́ nihił bééhonísįįh ,
44:1:025:0	áko éí Júdas t'áá bí bá haz'ą́ąjį' dah didoogáałgo díí naanish bich'į' danihi'dool'aadígíí yits'ąą ádił asiihii bitsásk'ehjį' azhdoogááł .
44:1:026:0	Áko nídidooltéełii biniyé yáá'iilt'e' ádajiilaa , nít'éé' Matháíyas nídiiltį́ , áko éí daal'aadii ła'ts'áadahígíí bił ho'déélta' .
