44:2:001:1	Níłch'i Diyinii ee hazlį́į́'
44:2:001:0	Áádóó Péntekast beiníłką́ągo t'áá ádzíłtso [ aheełt'éego nitsídadzikeesgo] t'ááłáhígi nidzíiztą́ .
44:2:002:0	Nít'éé' t'áadoo hooyání ayóó át'éego yiyołígíí nahalingo yá'ąąshdę́ę́' hodiists'ą́ą́' , áko kin biyi' nidzíiztání góne' t'áá át'é hadéébįįd .
44:2:003:0	Áko t'ááłá'í jinítínígo atsoo' kǫ' nidahalingo hak'ijį' adahwiizle'go dajiiłtsą́ .
44:2:004:0	T'áá ádzíłtso Níłch'i Diyinii hwii' hadadéébįįd , áko Níłch'i Diyinii yádahwiiłti'go ał'ąą dine'é dabizaad bee yádajiłti'go baa nízhdiikai .
44:2:005:0	Íídą́ą́' yádiłhił biyaagi ał'ąą dine'é t'áá ałtso bitahdę́ę́' Jew dine'é dahodísinii Jerúsalemgi kéédahat'į́į́ nít'éé' .
44:2:006:0	Áko kót'éego hodiists'ą́ą'go t'óó ahojíyóí áłah dzizlį́į'go t'ááłá'í jinítínígo t'áá hó dahazaadígíí yee yádaałti'go dazdiizts'ą́ą'go bik'ee t'óó hoł dahóóląąd .
44:2:007:0	Áko t'áá ádzíłtso haa léit'éego át'éé lá dazniizį́į'go ádajiní , Da' díí yádaałti'ígíísh doo t'áá ałtso Gáliliidę́ę́' dine'é danilį́į da ?
44:2:008:0	Ákoshą' hait'éego t'ááłá'í niitínígo t'áá nihí danihizaad yee yádaałti'go dasidiits'ą́ą́' ?
44:2:009:0	Párthiyadę́ę́' dine'é , Míídiyadę́ę́' dine'é , Íílamdę́ę́' dine'é , áádóó Mesopotéímiyagi kéédahat'ínígíí , Judíyagi áádóó Kapadóshiyagi , Pántasgi áádóó Éízhagi ,
44:2:010:0	Fríjiyagi áádóó Pamfíliyagi , Ííjipgi áádóó Líbiyagi Sairíinii binaagóó , índa Romedę́ę́' nidaanéego t'óó átsééd dabighanígíí , Jew dine'é índa Jew dine'é binahagha' yihidiikaígíí ,
44:2:011:0	Kríitdę́ę́' dine'é áádóó Aréíbiyadę́ę́' dine'é daniidlį́į nidi , t'áá nihí danihizaad bee , Diyin God ayóó ádaat'éego yaa naagháhígíí yaa yádaałti'go dadiits'a' .
44:2:012:0	Áko t'áá ádzíłtso t'óó hoł adahayóí , áádóó t'óó hoł daahaadago , áda'ahizhdi'ní , Díí lá ha'át'íí át'éé lá ?
44:2:002:1	Péntekast azlį́į'go Peter yáłti'
44:2:013:0	Nidi náádaała' t'óó há nidahałt'i'go ádadííniid , Eiiyee' wáin ániidíii áde dayoodlą́ą́' lá .
44:2:014:0	Áko Peter , ídahooł'aahii ła'ts'áadahígíí bił nidzizį́įgo , áłah nilínígíí yéego bich'į' hadzoodzíi'go ájíní , Judíyadóó diné danohłíinii , áádóó Jerúsalemgi kéédahoht'íinii t'áá ánółtso , shizaad dayínółts'ą́ą'go díí nihił béédahodoozįįł .
44:2:015:0	Da' jidlą́ danohsin nidi dííyee' doo da'adlą́ą da , jó índa de dah adii'ą́ ,
44:2:016:0	nidi dííyee' Jówel éí Diyin God yá halne'ii kóníigo yee haadzíi'ii át'é :
