44:17:001:1	Thesalonáíkadi hahonííchaad
44:17:001:0	Amfípolis índa Apolóniya kin haal'áá góne' ch'íjíkaigo Thesalonáíka kin haal'áadi jíkai , ákwii Jew dine'é bikin bii' áłah ná'ádleehí hólǫ́ǫ́ lá .
44:17:002:0	Áko Paul , t'áá át'į́į́ łehígi át'éego hoł yah ííyáago , táadi háá'áyį́į́h jį́ azlį́'ígíí biyi' Diyin God bizaad bee ak'eda'ashchínígíí hoł yeiníst'įįd .
44:17:003:0	Christ nilíinii ti'hooznii'go daaztsą́ą́dę́ę́' náádiidzáhígíí , éí t'áá ákónéehee ádzaago hazhó'ó bee bił hojilne'go bééhózingo ádajile' , áko ábijiní , Díí Jesus , bee nihił hweeshne'ígíí , éí Christ át'į́ .
44:17:004:0	Áko diné ła' bíni' daazlį́į'go Paul áádóó Sáílas yihidiikai ; Gríik dine'é dahodísinígíí t'óó ahayóí índa sáanii alááh dahideezíinii ałdó' doo t'áá díkwílt'éhí da .
44:17:005:0	Nidi Jew dine'é [ doo da'oodlánígíí] da'oołch'į́įdgo , diné nichxǫ́'ógo nidaakaígíí ła' áłah ádayiilaago , kin haal'áagi t'áá át'éé nít'éé' hadahoneeshchaad , áádóó Jéísan bighan yaa tiih yíjée'go Paul áádóó Sáílas éí diné yíl'áhígíí bich'į' ch'ídahodiit'ish danízingo ch'ééh ádáát'įįd .
44:17:006:0	Áko ch'ééh hadahoneeztą́ą'go Jéísan áádóó ałk'isóó danilíinii kin haal'áagi naat'áanii yaa dayiizdzį́įzgo hadadeeshghaazhgo ádaaní , Díí diné éí t'áá ałtsogóó diné yił hadahoneeshchaadígíí t'áá éí ní'áazhgo ,
44:17:007:0	Jéísan ya'ałk'ee sikéé lá . Éí diné t'áá ałtso Síízar yee has'áanii doo yik'eh ádaat'éégóó , Náánáła' aláahgo naat'áanii nááhódlǫ́ éí Jesus , daaní .
44:17:008:0	Áko diné t'áá át'é índa kin haal'áhígi naat'áanii danilíinii díidíígíí deidiizts'ą́ą'go doo bił ákódaadzaa da .
44:17:002:1	Daal'aadii Beríyadi naakai
44:17:009:0	Áko Jéísan áádóó náádaała'ígíí ák'é ninádayiisdla'ígíí nídeidiinilgo índa hwéédeideezhchid .
44:17:010:0	T'áá áko ałk'isóó danilíinii Paul índa Sáílas éí tł'ée'go Beríyagóó adeis'a' ; ákwe'é ní'áazhgo Jew dine'é bikin bii' áłah ná'ádleehí góne' yah íí'áázh .
44:17:011:0	Jew dine'é ákwe'é kéédahat'ínígíí Thesalonáíkadi kéédahat'íinii yiláahdi át'éego yá'át'éehgo nitsídaakees , háálá yídaneedlį́įgo hane' yá'át'éehii nídeidiilá , áko Paul yee na'nitinígíí daats'í t'áá aaníí danízingo t'áá ákwíí jį́ Diyin God bizaad bee ak'eda'ashchínígíí nideiłkaahgo dayółta' .
44:17:012:0	Éí bąą lą'í da'oosdląąd . Gríik dine'é danilínígíí , hastóí índa sáanii ił danilíinii t'óó ahayóí da'oosdląąd .
44:17:013:0	Ákondi Jew dine'é Thesalonáíkadi kéédahat'íinii , Beríyadi Paul ałdó' Diyin God bizaad yaa nahalne'ígíí dayíínii'go , áajį' yaa dahaaskaigo áłah ílíinii yił hadahoneeshchaadgo yádahóółchįįd .
44:17:014:0	Áko t'áá áko ałk'isóó danilíinii tónteel bich'į'go Paul adeis'a' , nidi Sáílas índa Timothy t'éiyá t'áá ákwii siké .
44:17:003:1	Áthenzgi Paul naaghá
44:17:015:0	Paul yił dah diikaígíí Áthenz hoolyéedi yił yíkai , áko éí dah nídiikáahgo ábizhdííniid , Áádę́ę́' Sáílas índa Timothy ts'ídá tsį́įłgo shaa dooh'ash nihijiní , shá bididoohniił .
44:17:016:0	Ákohgo Áthenzgi Paul éí Sáílas índa Timothy biba' dzizdáago , éí kin haal'áagi t'áá át'éé nít'éé' eda'alyaii bich'į' nidahadláá lágo jiiłtsą́ągo doo hoł ákót'éégóó hwii' sizíinii nayiisnáá' .
44:17:017:0	Áko kin bii' áłah ná'ádleehí biyi' góne' Jew dine'é índa diné dahodísinii bił baa nídajit'į́ , áádóó t'áá ákwíí jį́ nida'iiniih bá haz'ą́ągi nidahakáhígíí ałdó' bił baa nídajit'į́ .
44:17:018:0	Bee hódzáanii hádaat'íinii ła' Epikuríyan danilínígíí índa ła' Stówik danilínígíí ałdó' haa haaskaigo hoł ałgha'dadit'ááh . Áko ła' ádaaní , Díí ha'diłch'ałí lá , ha'át'íí níí lá ? Náádaała' ádaaní , Ha'át'íí shį́į́ dadiyin doo béédahózin da léi' yaa halne'gi át'é ? Háálá Jesus índa aninéédę́ę́' náádi'doojahgi yaa nahalne' .
44:17:019:0	Áko dahasiłgo Ariyápagasdi hastóí áłah silį́'ígi kódaaníigo hoł yíkai , Díí na'nitin ániidíii bee na'nítinígíí daats'í nihił bééhodíísįįł ?
44:17:020:0	Háálá ha'át'íí shį́į́ doo bééhózin da léi' baa hólne'go dasidiits'ą́ą́' , éí bąą éidí nihił béédahodoozįįł .
44:17:021:0	( Háálá Áthenzgi kéédahat'íinii áádóó ákwii nidahakáhígíí t'áá ałtso t'áá hazhó'ó hane' ániidí danilíinii t'éí yaa dahalne'go áádóó deidiits'a'go hoolzhish . )
44:17:022:0	Áko Ariyápagasdi hastóí áłah silį́'ígíí ałníi'gi Paul yiizį'go haadzíí' , Áthenzgi kéédahoht'íinii , t'áá ałtsojį' t'áá íiyisí dahodíínóhsin lágo nihá baa ákoniizį́į́' .
44:17:023:0	Háálá aadę́ę́' yisháałgo eda'alyaii bich'į' nidahohłáhígíí yiiłtsą́ , áádóó bikáá' náá'iiniihí ła' , Diyin doo bééhózinii bich'į' , níigo bikáá' bee ak'e'ashchį́įgo yiiłtsą́ . Áko doo hwéédahonohsingóó hach'į' nidahohłáhígíí , éí bee nihił hashne' .
