44:16:001:1	Timothy éí Paul índa Sáílas yił dah diikai
44:16:001:0	Áko Dérbiigi índa Lístragi jiníyá . Ákwe'é íhooł'aahii ła' Timothy yolyéego sidáá lá , bimá Jew dine'é nilį́įgo oodlání nilį́ , nidi bizhé'é éí Gríik dine'é nilį́ .
44:16:002:0	Lístragi áádóó Aikóniyamgi ałk'isóó danilíinii yá'át'éehgo Timothy yaa ch'ídahwii'aah .
44:16:003:0	Paul hoł deesh'ash hó'níigo hąąh néineeshgizh , háálá hazhé'é éí Gríik dine'é nilį́įgo Jew dine'é ákwii kéédahat'ínígíí t'áá ałtso bił béédahózin .
44:16:004:0	Áádóó kin hadaas'áágóó ch'íjíkaigo , Jerúsalemdi daal'aadii índa da'oodlání yá aląąjį' naazíinii bik'eh ádajit'ée dooleełii hasht'edayiilaii , da'oodlání yik'eh dahół'į́į doo biniyé bee bił dahojoolne' .
44:16:002:1	Paul éí Masedóniyadę́ę́' diné bił ádzaa
44:16:005:0	Áko da'oodlání áłah nídaadleehii na'nitin woodláanii bee bidziil ádaalyaa , áádóó t'áá ákwíí jį́ lą'í ihidiikáahgo k'ee'ąą yilzhish .
44:16:006:0	Áádóó Fríjiya índa Galéíshiya kéyah góne' ch'íjíkaigo Níłch'i Diyinii áhodííniid , Éízhagi Diyin God bizaad doo baa nidahodoołnih da .
44:16:007:0	Áádóó Mísiya binaashiijí jookahgo Bithíniyagóó dashdiikááh nít'éé' Níłch'i Diyinii dooda hałní .
44:16:008:0	Áko Mísiya t'óó bíighah ch'íjíkaigo Trówas kin haal'áá góyaa jíkai .
44:16:009:0	Ákwe'é tł'ée'go Paul bił áhoodzaa : Masedóniyadę́ę́' diné léi' kóníigo náhookąąhgo sizį́įgo jiiłtsą́ , Hágo , Masedóniya kéyahjį' tsé'naa ninínáahgo nihíká anilyeed .
44:16:003:1	Lídiya yolyéii oosdląąd
44:16:010:0	Ákót'éego hoł áhoodzaago , t'áá áko Masedóniyagóó diikah daniidzį́į́' , háálá hane' yá'át'éehii bee bił dahodiilnih biniyé Bóhólníihii nihíká ádííniid lá daniidzį́į́' .
44:16:011:0	Éí bąą Trówasdóó nihił dah adii'éelgo Sámothreisjį' t'óó k'ídahosiildǫǫd , índa biiskání Niyápolisdi nihił aní'éél ,
44:16:012:0	áádóó Fílipaijį' niikai , éí Masedóniya kéyahdi aláahgo kin haal'á , Rome dine'é bee bóhólníihgo bił haz'áanii át'é . Díí kin haal'áagi naháatą́ągo t'áá díkwíí danihiiską́ ,
44:16:013:0	áko háá'áyį́į́h jį́į́ góne' tooh nílį́į́ léi' bibąąhjį' kin haal'áádóó ch'íniikai , ákwe'é sodizin biniyé náhoot'aah łeh ; ákwii dineebingo asdzání ahíikaígíí bich'į' yádeiilti' .
44:16:014:0	Danihidiizts'ą́'ígíí ła' asdzání Lídiya yolyéego Thaiyatáíra kin haal'áádę́ę́' naaghá , naak'a'at'ą́hí tsídídééh nahalingo łichí'ígíí baa nahaniih , áádóó Diyin God yich'į' hodísinii nilį́ . Paul yee hahaasdzí'ígíí bee hasht'e'nitsízdookos biniyé Bóhólníihii hajéí yidiisnáá' .
44:16:004:1	Fílipaigi Paul áádóó Sáílas yah abi'doo'nil
44:16:015:0	Áko bí índa ba'áłchíní tó bee dabi'doolzį́į'go nánihooskango ání , Bóhólníihii t'áá aaníí yoodlą́ą́ lá dashíínóh'níí ládą́ą́' shighandi nohkáahgo ákwii nahísóotą́ , nihiłníigo yaa nánihookąąhgo nihigha'deet'ą́ .
44:16:016:0	Łah sodizin bá náhoot'aahgóó náánéiikah , nít'éé' ch'ikę́ę́h léi' , naalte' nilį́įgo níłch'i bi'iiníziinii nabiiłáago náásgóó ádahodooníiłii yaa halne' lágo nihidááh níyá , éí yinaalte' nilíinii lą'í yá níyíiłbįįhgo naagháá lá .
44:16:017:0	Éí Paul áádóó nihí nihikéé' yigáałgo hadoolghaazhgo ání , Díí diné danilíinii Diyin God Aláahgo Ayóó'át'éii yá nidaal'a'í danilį́įgo bee yisdá'iildéehii yee nihił dahalne' .
44:16:018:0	Díí ch'ikę́ę́h kót'į́įgo lą'í yiską́ . Nidi Paul éí yádoosnihgo názyizgo níłch'i bi'iiníziinii áyidííniid , Jesus Christ bízhi' bee ándishní , Hwii' haninááh . T'áá áko hayi'dę́ę́' hahóóle' .
44:16:019:0	Nidi at'ééd yee ádídahólníihii éí yee nída'íiłbįįh nít'éé' yę́ę bits'ą́ą́' ásdįįdgo yaa ákodaniizį́į'go Paul índa Sáílas deisiłgo nida'iiniih bá haz'ą́ągi naat'áanii danilíinii bidááhdę́ę́' nideizh'eezh ,
44:16:020:0	áko kin haal'áagi naat'áaniishchíín danilíinii bidááhdóó nidajizh'eezhgo ádazhdííniid , Díí diné Jew dine'é nilį́įgo nihikin haal'áagi t'áá íiyisí hááhoniłcha' .
44:16:021:0	Éí bi'é'él'į' nilíinii Rome dine'é daniidlį́įgo t'áadoo bee nihá haz'áanii deidiiltsołgo bik'eh dayíníikáah dooleełígíí yínanihiniłtin .
44:16:022:0	Áko áłah silį́'ígíí hach'į' nídiizą́ągo hak'iijéé' , áádóó naat'áaniishchíín danilíinii ha'éé' hak'i nidayiizǫ́ǫzgo náhodí'nóolghałgo yee dahooł'a' .
44:16:023:0	Áko lą'ídi nídahoneesxaalgo awáalyaa yaa áhályánígíí , Hazhó'ó baa áhólyą́ , deiłníigo yee dahooł'a'go awáalyaa góne' yah adahaznil .
44:16:024:0	Ákót'éego bich'į' ha'oodzíi'go awáalyaa náwóne'é góne' yah ahwiistł'íidgo tsin bigházdées'eezgo áhoolaa .
44:16:025:0	Ákondi tł'é'ííłníi'go Paul índa Sáílas sodilzingo sin bee Diyin God bich'į' hojitaałgo awáalyaaí dahwíists'ą́ą́' .
44:16:026:0	Nít'éé' t'áadoo hooyání ayóó át'éego ni' nahaas'náa'go awáalyaa kin bitł'ááh nídaastł'inii nidahaas'náá' , áko t'ahaa'go dáádílkał t'áá ałtso ąą dadeezkę́ę́z índa t'áá ádzíłtso bee dah daho'diistł'ónígíí k'ida'oos'nah .
44:16:027:0	Áko awáalyaa yaa áhályánígíí ch'énádzid , nít'éé' awáalyaa bidáádílkał ąą ádaat'éego yiyiiłtsą́ , áko awáalyaaí ałtso ch'éheezhjéé' sha'shin niizį́į'go bidiltłish hayíítą́ągo ádi'niilyį́ .
44:16:028:0	Nidi Paul yéego hadoolghaazhgo ání , Atí'ádóólnééh lágo , t'ááyee' áníiltso t'áá kǫ́ǫ́ naháatą́ .
44:16:029:0	Áko , Aadę́ę́' bee hool'iní yah oohjááh , jiníigo yah ajoolwod , áko t'óó hoł yée'go hatah hoditłidgo Paul índa Sáílas biyaajį' ádee iijoolghaal .
44:16:030:0	Áádóó bił ch'íjíkaigo ájíní , Shahastóí , haayee' yit'éego yisdádeeshááł ?
44:16:031:0	Áko áháłní , Bóhólníihii Jesus Christ yinídląąh áádóó baa dzíínílíigo yisdádíínááł , na'áłchíní t'áá bił .
44:16:032:0	Áádóó t'áá áłah Bóhólníihii bizaad yee hach'į' yááłti' , haghandóó danilíinii ałdó' t'áá ałtso .
44:16:033:0	T'áá éí bitł'éé' t'áá ákwe'é hoolzhishgo bił dashdiikaigo bik'i nidzisk'ą́ yę́ęgóó bá táádzízgiz , t'áá áko haghandóó danilíinii t'áá ałtso t'áá bił tó bee daho'doolzį́į́' .
44:16:034:0	Índída hakin góde hajizh'eezhgo biyaa nizh'níką́ , áko Diyin God joosdląądgo , haghandóó danilíinii bił t'áá ádzíłtso t'áá íiyisí hoł dahózhǫ́ .
44:16:035:0	Nidi hoos'įįdgo naat'áaniishchíín danilíinii siláo ła' ákǫ́ǫ́ ayííł'a'go ádaaní , Eii diné béé'nółnííh .
44:16:036:0	Áko awáalyaa yaa áhályáanii kóníigo díí saad yee Paul yił hoolne' , Naat'áaniishchíín danilíinii nihéé'doolnihgo aníł'a' , áko k'ad hazhó'ó nááht'ash .
44:16:037:0	Nidi Paul áháłní , Rome dine'é niidlį́įgo t'áadoo nihá nihoot'aahí t'áá ałtso dabinááł nídanihizneesxaal , índa awáalyaa góne' yah adanihidziistł'ííd ; da' ákoósh k'ad t'áá nahonit'inee ch'éénihidee'nííł ? Doodayéi ! Háni'dii t'áá hó jíkáahgo ch'éédanihijí'nííł .
44:16:038:0	Siláo éí díí ájínínígíí naat'áaniishchíín danilíinii yee yił hoolne'go Rome dine'é jílį́į́ láígíí deidiizts'ą́ą'go nídaasdzííd ,
44:16:039:0	áko ákwii yíkaigo k'é náho'doo'niid . Áádóó ch'íhoní'eezhgo náhookąąhgo , Kin haal'áádóó dah dooh'aash , hodííniid .
