44:13:001:1	Bárnabas áádóó Saul naanish biniyé nii'nil
44:13:001:0	Áko Ántiyak hoolyéegi da'oodlání áłah nádleehii bitahgi Diyin God yá dahalne'ii índa nida'nitiní hólǫ́ǫ́ lá , éí díí ádaat'į́ , Bárnabas áádóó Símiyan , éí Náíjer yolyéhígíí , índa Sairíiniidę́ę́' Lúshiyas , áádóó Mánayen , Hérad naat'áaniishchíín bił bidi'neeszánígíí índa Saul .
44:13:002:0	Éí łah dahozdísingo t'áadoo da'jiyání Bóhólníihii bich'į' sodazdilzingo Níłch'i Diyinii áhodííniid , Bárnabas índa Saul naanish biniyé ninínilígíí shá bits'ánóhnííł .
44:13:002:1	Sáíprasdi yil'aadii naa'aash
44:13:003:0	Áko dahozdísingo t'áadoo da'jiyání sodazdoolzindóó bik'ijį' bá sodazdilzingo bik'i dah dazdéesnii'go dah dahozhdiił'a' .
44:13:004:0	Áko Níłch'i Diyinii dah hodiił'a'go Siilúshiya góyaa jiní'áázh , áko áádóó Sáípras hoolyéégóó hoł dah adii'éél .
44:13:005:0	Áko Sálamis kin haal'áhídi jiní'áazhgo , Jew dine'é bikin bii' áłah nída'adleehgóó Diyin God bizaad baa hojoolne' . John ałdó' háká análwo'í nilį́įgo hoł naakai nít'éé' .
44:13:006:0	Áko éí kéyah táyi' si'ánígi t'áá ákódígi tázhdookaigo Péífas hoolyéejį' jíkai , ákwii diné léi' Jew nilį́įgo Bar-Jesus yolyé , éí álílee í'ooł'įįłgo na'adlo' yee nahałáago t'óó áhodil'į́įgo halne'ii bik'íjíkai .
44:13:007:0	Sérjiyas Pálas , diné hóyą́ągo nitsíkeesii kéyah yinanit'a'í nilį́ , éí yił ałk'is nilį́į́ lá ; éí Diyin God bizaad dideests'į́į́ł nízingo Bárnabas índa Saul hágo yidííniid .
44:13:008:0	Nidi Élimas álíleego í'ooł'įįłgo na'adlo' yee nahałáii ( t'áá éí k'ehgo bi'dójí ) kéyah yinanit'a'í iidoodląąłígíí yąąh yi'į́įgo yich'ą́ą́h yáłti' .
44:13:009:0	Nidi Saul , t'áá éí Paul yolyéii , Níłch'i Diyinii bii' hadeezbingo , t'áá íiyisí honíł'į́įgo
44:13:010:0	áháłní , Níłch'i bida'iiníziinii binanit'a'í biyázhí nílíinii , na'adlo' índa ináhoodǫ́ǫ́s t'áá ałtso yinichįįhii , ts'ídá t'áá ákogi ádaat'éii t'áá ałtso bits'ą́ą́jí nílíinii , da' Bóhólníihii bee k'éhézdongo honít'i'jí nahoneeshtł'iizh ádanile'ígíísh doo nidííłt'ih da ?
44:13:011:0	Jó'akon , Bóhólníihii atínidoolííł , áko doo ííní'į́į́góó jį́honaa'éí t'áadoo yíní'íní haada nízahjį' nihodoolzhish . Áádóó t'áá áko áhí áádóó chahałheeł hak'iildoh , áko ła' nahalóóz dooleełii hazhnitáago nijighá .
44:13:003:1	Pisídiya kéyahdi Ántiyak kin haal'áagi Bárnabas áádóó Paul naa'aash
44:13:012:0	Ákohgo kéyah binanit'a'í éí áhoodzaaígíí yiyiiłtsą́ągo oosdląąd , háálá Bóhólníihii bee na'nitin bik'ee t'óó bił ahóóyóí .
44:13:013:0	Áko Paul áádóó yił yikahígíí Péífasdóó bił dah náá'dii'éelgo Pérgagi Pamfíliya kéyahdi yíkai . Áádóó John hats'ą́ą́' dah diiyáago Jerúsalemgóó anáádzá ,
44:13:014:0	nidi Pérgadóó joo'ashgo Pisídiya kéyah biyi' Ántiyak kin haal'áagi jiní'áázh . Áko háá'áyį́į́h jį́ azlį́į'go kin bii' áłah ná'ádleeh góne' yah ajíí'áazhgo dzineezké .
44:13:015:0	Bee haz'áanii índa Diyin God yá dahalne'ii yę́ę dabizaad dayííłta'dóó bik'ijį' , áłah nádleehii bindanit'a'í kódaaníigo hach'į' ada'as'a' , Nihik'isóó , saad bee chánah adoodleełii ła' bee diné bich'į' hadeesdzih nohsingo , bee haohdziih .
44:13:016:0	Áko Paul yiizį'go dah didiilnii'go ání : Ízrel dine'é nohłíinii , áádóó Diyin God dadíínóhsinii , da'íísółts'ą́ą́' .
44:13:017:0	Díí Ízrel dine'é biDiyin God , danihizází yę́ę yitayiizláá' , áko dé'éyóní dajílį́įgo Ííjipgi kéédahojit'į́į́ nít'éé' yę́ędą́ą́' ayóó ádajít'éego áhoolaa , índa bibee adziilii doo bóhonee'áanii áádę́ę́' yee ch'íhoní'eezh .
44:13:018:0	Áádóó ts'ídá hanii shį́į́ dízdiin nááhaijį' ha'ólníigo honoojíidi haa áhályą́ą́ nít'éé' .
44:13:019:0	Áádóó Kéínan kéyahgi tsosts'idgo ał'ąą dine'é íísdįįdgo , kéyah daahó doogo hataideez'ą́ .
44:13:020:0	Áádóó bik'ijį' Sámuel éí Diyin God yá halne'ii nilį́įgo bíyoołkáałjį' dį́įdi neeznádiindóó ba'aan ashdladiin nááhaijį' ándahodii'aahii nihe'níiłgo nihoolzhiizh .
44:13:021:0	Áádóó índída aláahgo naat'áanii dajííkeed , áko Diyin God éí Benjamin bidine'é bitahdóó Saul éí Kish biye' nilį́įgo dízdiin nááhaijį' há niiníłtį́ .
44:13:022:0	Áádóó índa éí nahjį' hayííłt'e'go , David aláahgo hananit'a'í dooleeł biniyé há niiníłtį́ ; éí yaa hoolne'go ání , Jésii biye' David diné ts'ídá shíni' yi'ósinii nilį́įgo shóiséłt'e' , éí íinisinii t'áá ałtso yi'doolííł .
44:13:023:0	Éí diné bits'ą́ą́dóó oochíiłii bitahdóó Diyin God t'áá yee nihozhní'ánígíí bik'ehgo éí Jesus Yisdá'iiníiłii Ízrel dine'é baazhníłtį́ .
44:13:024:0	T'ah doo jíghááhgóó John t'áá átséedi Ízrel dine'é t'áá ałtso łahgo át'éego Diyin God bich'į' tsínáhodiikeesgo tó bee hodi'doolzįhjí yee neineeztą́ą́' .
44:13:025:0	Áádóó John binaanish niyíłt'éehgo ání , Háí ájít'į́įshą' dashíínóh'ní ? Shí doo Christ ásht'į́į da . Nidi ła' shikéédę́ę́' náánáádáał doo , éí bikétł'óól bá k'ideesh'ałígíí doo bą́ą́h nishłį́į da .
44:13:026:0	Kwá'ásiní , Éíbraham ba'áłchíní danohłíinii , áádóó nihitahdóó Diyin God deidísinígíí , díí hane' bee yisdá'iildéehii nihí nihaa deet'ą́ .
44:13:027:0	Háálá Jerúsalemgi kéédahat'íinii áádóó bindanit'a'í danilíinii , Jesus doo yéédahósingóó , t'áá háá'áyį́į́h jį́ ná'oodleeł bik'eh Diyin God yá dahalne'ii yę́ę dabizaad náwóltahígíí doo yik'ida'diitįįh da nít'éé' , áko dazdootsaałgo há nihoot'ą́ ha'níigo bee ha'oodzíi'ii yida'iilaa .
44:13:028:0	Azhą́ biniinaa hodi'yoolyéełii ch'ééh yíká ádáát'įįd nidi , ts'ídá hodi'yoolyéełgo Páílat yaa nídayooskan .
44:13:029:0	Áko hwee ak'e'ashchínígíí t'áá ałtso yida'iilaago tsin bąąhdę́ę́' nidaho'diiłtį́įgo tséní'ootséél góne' yóó'ádahoolaa .
44:13:030:0	Nidi dadziztsą́ą́dę́ę́' Diyin God nááhodiisá ,
44:13:031:0	índa Gáliliidóó Jerúsalem góde bił jíkai yę́ę bich'į' yit'íní ánízh'diil'įįhgo lą'í yiską́ , éí dabíínáałii danilį́įgo k'ad diné yił nidahalne' .
44:13:032:0	Áko danihizhé'é yę́ę hane' yá'át'éehii bá hodooleełgo baa deet'ánígíí bee nihił hodiilnihgo nihaa niit'áázh .
