15:4:001:1	Ana'í éí naanish yich'ą́ą́h niníjéé'
15:4:001:0	K'ad Júdah dine'é áádóó Bénjamin dine'é bi'ana'í danilíinii éí yisnááh danilį́į́ nít'ée'ii Ízrel dine'é biDiyin God Bóhólníihii yá kin bii' sohodizin ádeiléehgo yaa dahodiizts'ą́ą́'. 
15:4:002:0	Ákohgo Zerábabel áádóó azhé'é danilíinii bindanit'a'í yaa heeskaigo ádeidííniid, Haa'íshą' nihił kin ádadiilnííł, háálá Diyin God hádaaht'ínígi át'éego nihí ałdó' aají nihiDiyin nilínígíí hádeiit'į́ áádóó Asíriya dine'é aláahgo binanit'a'í Íísar-hádan kojį' anihíí'eezh yę́ędóó nihí ałdó' bich'į' nááda'ayiilniih. 
15:4:003:0	Nidi Zerábabel áádóó Jéshuwa índa Ízrel dine'é dabizhé'é yindanit'a'í ádahodííniid, T'áadoo biniyéhígóó nihiDiyin God bich'į' nihił kin ádadoohłííł, nidi Pérzha dine'é aláahgo binanit'a'í Sáíras aláahgo naat'áanii nilíinii t'áá yee nihich'į' haadzí'ígi át'éego t'áá nihí t'éiyá Ízrel dine'é biDiyin God, Bóhólníihii nilíinii, bich'į' kin ádadiilnííł. 
15:4:004:0	Ákohgo kéyahdóó dine'é éí Júdah dine'é yąąh nidahwiiskaadgo kin ádeiléehii yits'ą́ą́' deineestł'a. 
15:4:005:0	Áko kót'é daaníinii yich'į' nida'iiléego hak'ijį' danilį́įgo biniyé ádajit'íinii deineestł'ago Pérzha dine'é aláahgo binanit'a'í Sáíras bíiníłką́, áádóó Pérzha dine'é aláahgo binanit'a'í Daráíyas nídíníit'ą́ąjį' dahoníłtł'a nít'éé'. 
15:4:006:0	Áádóó Ahazawííras nant'áago hahoolzhiizh yę́ędą́ą́' Júdah kéyahgi áádóó Jerúsalem kin haal'áagi kéédahat'íinii yik'i dahodii'aahgo ak'eda'ashchį́. 
15:4:007:0	Áádóó Artazérksiiz bíyoołkááłdą́ą́' Bíshlam áádóó Míthriidath áádóó Téíbiyel daolyéii índa yił ałch'odao'níinii éí Pérzha dine'é aláahgo binanit'a'í Artazérksiiz yich'į' ak'eda'ashchį́; naaltsoos bikáá' yee ak'eda'ashchínígíí éí t'áá Síriya dine'é bizaad yee ak'eda'ashchį́ áádóó t'áá Síriya dine'é bizaad k'ehjí bee ata' hóóne'. 
15:4:008:0	Rííham haashkééjí naat'ááh nilíinii áádóó Shímshai naaltsoos ííł'íní nilíinii Jerúsalemdóó dine'é yik'ijį' nilį́įgo aláahgo naat'áanii Artazérksiiz kót'éego yich'į' ak'e'ashchį́. 
15:4:009:0	Hashkééjí naat'ááh Rííham áádóó naaltsoos ííł'íní nilíinii Shímshai índa yił ałch'odao'níinii, Dáína dine'é, Áfarsath dine' é, Tárpel dine'é, Afársa dine'é, Árkiiva dine'é, Bábilandóó dine'é, Súsadóó dine'é, Diihéívadóó dine'é índa Íílam dine'é, 
15:4:010:0	áádóó ał'ąą dine'é éí ayóó át'é ił nilíinii Asnápper wolyéii Samériya kin hadaas'áajį' niyiizh'eezhígíí áádóó náádaała' éí tooh nílíní e'e'aahjí kéédahat'ínígíí índa náádaała' 
15:4:011:0	kót'éego yee ak'eda'ashchį́įgo aláahgo naat'áanii Artazérksiiz yich'į' ádayiilaa, Diné ná nidaal'a'í tooh nílínígíí e'e'aahjígo níínínilígíí, éí yá'át'ééh daniłní. 
15:4:012:0	Áko k'ad nits'ą́ą́dę́ę́' Jew dine'é kodi nihaa heeskaígíí éí Jerúsalem kin haal'áajį' neheeskaigo aláahgo naat'áanii bił béédahoniilzin dooleeł. Éí nidaalteehgo áádóó kin haal'á doo yá'áhooshxóonii ádeilééh; kin haal'á binaa ahééda'astł'inii k'adę́ę ałtso ádeiléehgo kin bitł'ááh nástł'inii áńdeidlééh. 
15:4:013:0	K'ad éí aláahgo naat'áanii bił béédahodiilzįįłígíí éí díí kin haal'á ałtso áńdayiidlaago áádóó binaa ahééda'astł'ingo, áko da'nítiin bik'é siláhígíí áádóó ínáoltą'í índa nahalyéii doo nidayiilée da doo, áádóó aláahgo naat'áanii nídaadleełii bibéeso bi'oh dooleeł. 
15:4:014:0	Áko k'ad aláahgo naat'áanii bighan bił haz'ą́ą́dóó halniihgo da'iidánígíí áádóó aláahgo naat'áanii doo bił danilį́į́góó deidiiltséłígíí biniinaa doo nihił bidaałt'ée da; éí bąągo aláahgo naat'áanii bich'į' ída'iilnééh áádóó hazhó'ó bił ch'ídahodiit'ááł daniidzin. 
15:4:015:0	Danizhé'é yę́ę ádáát'įįdii naaltsoos biyi' hazhó'ó ninádoolkah. Naaltsoos biyi' bik'ídíníítááł áádóó díí kin haal'áagi kéédahat'ínígíí náádadiiltehgo nił bééhodoozįįł, áádóó aláahgo naat'áanii nídaadleełii índa bił nidahós'a'góó bee bide áhólzinii át'é. T'áá shiidą́ą'dii yide ádeinízingo hoolzhiizh; éí biniinaa kin haal'áii éí łah ałtso atílyaa nít'éé'. 
15:4:016:0	Díí kin haal'áago ánályaago áádóó nida'aztł'inígíí ałtso hadiidzaago, díí aláahgo naat'áanii bił bééhózingo ádeiilnééh: éí díí tooh nílíní e'e'aahjígo doo bee nóhólníih da dooleełgo át'é. 
15:4:017:0	Ákohgo aláahgo naat'áanii hane' ánáyiidlaago hashkééjí naat'ááh Rííham áádóó naaltsoos ííł'íní nilíinii Shímshai áádóó yił ałch'odao'níinii Samériyagi kéédahat'ínígíí índa tooh nílínígíí e'e'aahjigo nidaakaígíí áyidííniid, Kót'éego danihich'į' hózhǫ́ǫgo hoolzhish le' índa náádaała' ałdó'. 
15:4:018:0	Naaltsoos nihich'į' ádaahłaaígíí shinááł hazhó'ó shich'į' yéélta'. 
15:4:019:0	Áko bee nihodiní'ą́ągo áádóó naaskáá', áko díí nihił béédahoozin: t'áá shiidą́ą'dii díí kin haal'áagi kéédahat'į́į́ nít'éé' yę́ę éí aláahgo naat'áanii danilį́į́ nít'éé' yę́ę bik'ijį' na'adzil nít'ée'go áádóó na'alteeh índa bidahodeest'ą́ągo ákwii baa na'asdee' lá. 
15:4:020:0	Áádóó aláahgo naat'áanii ayóó ádabóodziilii Jerúsalem kin haal'á bik'é siláhígíí yindant' áago tooh nílínígíí e'e'aahjigo kéyah t'áá át'é yindant'áá nít'éé' lá; da'nítiin bik'é siláhígíí áádóó ínáoltą'í índa nahalyéii bich'į' nidahalyéé nít'éé' lá. 
15:4:021:0	Éí bąągo díí diné t'áadoo nidaałnishí dabidohní áádóó díí kin doo haal'áago áńdeidoodlíił da, t'áá hazhó'ó bee haz'áanii ła' nihá hanáádiishdlaago índa. 
15:4:022:0	K'ad díí baa nida'áhodołt'į́į'go t'áadoo ch'ééh ádaaht'íní, Ha'át'íísh biniyé aláahgo naat'áanii nídaadleełii bibéeso bi'oh ádaalnéeh doo? 
15:4:023:0	K'ad Rííham áádóó naaltsoos ííł'íní nilíinii Shímshai índa yił ałch'odao'níinii dabinááł aláahgo naat'áanii Artazérksiiz binaaltsoos yéélta'go, tsį́įłgo Jerúsalemgóó Jew dine'é yich'į' adahaaskaigo t'áá bizááká áádóó bee adziilii bee naanish yits'ádeineeskaad. 
15:4:024:0	Ákohgo Jerúsalemgi Diyin God bikin bina'anishígíí t'óó ánászįįd, áko Pérzha dine'é aláahgo binanit'a'í Daráíyas nant'áago naaki náhááh góne' áádahoost'įįd.
