15:1:001:1	Sáíras yee haadzíi'ii baa nidahazne'
15:1:001:0	Pérzha dine'é aláahgo binanit'a'í Sáíras nant'áago t'ááłá'í náhááh góne' Jeremáíyah éí Bóhólníihii bizaad yee haadzíi'ii bohodoolnííł biniyé Bóhólníihii éí Pérzha dine'é aláahgo binanit'a'í Sáíras biníłch'i yidiisnáá', áko aláahgo naat'áanii bee bóhólníihgo bił haz'áanii t'áá nidahonees'ą́ą́góó baa nahodoonihgo áyiilaa índa bee ak'e'ashchį́įgo ałdó' áyiilaago ání, 
15:1:002:0	Pérzha dine'é aláahgo binanit'a'í Sáíras kóní, Yá'ąąshdę́ę́' Bóhólníihii Diyin God nilíinii éí nahasdzáán bikáá'góó ts'ídá aláahgo bee óhólníihgo bił nahaz'áanii t'áá át'é sheidiní'ą́, áádóó Júdah kéyahgi Jerúsalem kin haal'áadi kin bá áńdeeshdlíiłgo yee shíhoos'níí'. 
15:1:003:0	Bidine'é nohłíinii t'áá ánółtso nihitahdóó t'áá háiida ádeinízinígíí biDiyin God bił hólǫ́ǫ le'. Áádóó háni'dii Júdah kéyahgi Jerúsalem góde nídookah índa Ízrel dine'é biBóhólníihii Diyin God bikin áńdeidoodlííł; bí t'éí Diyin God nilį́įgo Jerúsalemdi bich'į' nahadlá. 
15:1:002:1	Yisnááh éí Jerúsalem kin haal'áajį' nináhaaskai
15:1:004:0	Áko t'áá háiida t'áá haaída t'óó átsééd kéédahat'į́įgo t'áá ákwii hanaagóó dabighanígíí bíni' béésh łigaii áádóó óola áádóó naalye'é índa naaldlooshii yee háká adoojah, Jerúsalemgi Diyin God bikin bá t'áá bí ádeinízingo adayiiníłígíí náádeidiyoołnihii nidayiijáah doo. 
15:1:005:0	Júdah dine'é áádóó Bénjamin dine'é dabizhé'é yę́ę ba'áłchíní yá aląąjį' naazíinii áádóó nááda'iiłniihii índa Líívai dine'é danilíinii éí Diyin God haníłch'i dayidiis'náa'ii t'áá ałtso bił Jerúsalemgi Bóhólníihii bikin ádoolnííł biniyé dashdidookahgo hasht'e'ádazhdiilyaa. 
15:1:006:0	Áádóó hanaagóó kéédahat'íinii bee dahólóonii éí béésh łigaii beedí bee ádaalyaii, óola, naalye'é, naaldlooshiida áádóó yódí da'ílíinii bitsxe'go yee háká ííjéé' índa t'áá bí ádeinízingo yee adahaazhjé'ígíí t'áá ałtso nidayiizhjaa'. 
15:1:007:0	Nébukadnézzar éí Jerúsalemgi Bóhólníihii bikinídóó beedí ch'íiníjaa'go t'áá bí bidiyin dabidi'níinii bikin góne' yah ayííjaa'ígíí éí aláahgo naat'áanii Sáíras ch'ééyiizhjaa'. 
15:1:008:0	Éí yódí yaa áhályáanii Míthriidath wolyéii Pérzha dine'é aláahgo binanit'a'í Sáíras yá yiníjaa'go Júdah dine'é binaat'áanii nilíinii Sheshbéízer bich'į' yéélta'. 
15:1:009:0	Áko díí yéélta'go kódanéelą́ą́' lá: łeets'aa' nímazí óola bee ádaalyaii tádiin, łeets'aa' nímazí béésh łigaii bee ádaalyaii t'ááłáhídi mííl, béésh bee na'algizhí éí naadiin náhást'éí, 
15:1:010:0	bii' tá'ádígisí óola bee ádaalyaii tádiin, bii' tá'ádígisí náánáła' béésh łigaii bee ádaalyaii ałdó' dį́įdi neeznádiindóó ba'aan neeznáá áádóó łeets'aa' náádaała' éí daamiilgo ádanéelą́ą́'. 
15:1:011:0	Óola łeets'aa' áádóó béésh łigaii łeets'aa' t'áá át'égo éí ashdladi mííldóó ba'aan dį́įdi neeznádiin lá. Éí t'áá át'é Sheshbéízer áádóó yóó'adabidi'niiskaad yę́ę bił Bábilan kin haal'áádóó Jerúsalemgóó nídajizhjaa'.
