36:2:001:1	Ízrel kéyah binaagóó ał'ąą dine'é ahodi'dooldįįł
36:2:001:0	Dine'é doo nidzinii danohłíinii, t'áá nihí t'áá ła' bizhi'ee áłah óhnééh, t'áá aaníí, áłah óhnééh. 
36:2:002:0	Bóhólníihii yee nihoní'áanii t'ah doo íílééhdą́ą́', azhool nahalingo t'ah doo nihił yóó'ahaghááhdą́ą́', t'ah doo t'óó báhádzidgo nihich'į' báháchįįhdą́ą́', Bóhólníihii t'ah doo nihich'į' báháchį'go yidiłkaahdą́ą́' áłah óhnééh. 
36:2:003:0	Nihokáá' dine'é a'ohgo ádanoht'éii, bik'eh dahonoł'íinii t'áá ánółtso, Bóhólníihii hádaoht'į́. T'áá ákogi át'éii hádaoht'į́; a'ohgo é'ét'éii hádaoht'į́. Áko Bóhólníihii t'óó báhádzidgo atí'doolííł bijį́įdi daats'í nihinées'į́į' dooleeł. 
36:2:004:0	Háálá Géíza yóó'adidoot'ááł áádóó Áshkelan kints'iil dooleeł; Áshdad hoolyéédóó dine'é ałní'ní'ą́ągo ch'íbidí'nóolkał índa Ékran éí nanise' behétł'óól haalts'ǫ́ǫ́d nahalin dooleeł. 
36:2:005:0	Tónteel bibąąhgóó kéédahoht'íinii, Kéreth dine'é nohłíinii, doo hojooba' ájíníi da! Háálá Bóhólníihii bizaad yee nihik'ijį' nilį́. Filístiya dine'é bikéyah nílíinii, Kéínan ándeeshdįįłgo doo ła' ákwii kéédahat'íní da doo. 
36:2:006:0	Tábąąhgi kéyah bikáá'góó dahootsogóó na'niłkaadii dabighan doo áádóó dibé dabighan doo. 
36:2:007:0	Áádóó Júdah dine'é daadzíi'ii tábąąhgóó kéyahígíí daabí dooleeł. Éí kéyahígíí yits'ą́ą́dóó da'ayą́ą dooleeł. E'e'áahgo Áshkelan kin haal'áhígi danjah doo. Háálá haDiyin God Bóhólníihii haa áhodoolyąąłgo yisnááh dajílíinii nahjį' kwíidoolíiłgo daahóó nít'éé' yę́ę hóó' nídadoodleełgo íidoolííł. 
36:2:008:0	Mó'ab dine'é ándahałt'i' áádóó Áman dine'é da'ódziih; shidine'é yá nidahałt'i'go t'áá bí ayóó át'éego ádaa daha'niihgo dahakéyah yik'ijį' ádá nidahalchįįhgo diséts'ą́ą́'. 
36:2:009:0	T'áá ałtsoní bee Bóhólníihii éí Ízrel biDiyin God nilíinii ání, Éí bąą ts'ídá t'áá aaníí hinishná; ákót'éego Sádamgi áhóót'įįdígi át'éego Mó'abgi ałdó' ts'ídá t'áá aaníí ákóhodoonííł áádóó Gomárahgi áhóót'įįdígi át'éego Áman dine'é bikéyahgi ałdó' ákóhodoonííł. Éí ch'il adishahii dahólóonii áádóó tááníí' bił dahooldzisgóó hool'áágóó t'áá ádzaaí haz'áanii hodooleeł. Shidine'é daadzí'ígíí bi'ana'í binaalye'é deidoołnééł áádóó shidine'é daadzí'ígíí bi'ana'í bíí' ádeidoolííł. 
36:2:010:0	Bibee ádaa hodzódli' biniinaa kódabidi'doolnííł, háálá t'áá ałtsoní bee Bóhólníihii bidine'é yik'ijį' danilį́įgo dayíídzíí' áádóó t'áá bí ayóó át'éego ádaa daha'niih nít'éé'. 
36:2:011:0	Ts'ídá t'óó báhádzidígi át'éego Bóhólníihii hak'ijį' dooleeł, áko nahasdzáán bikáá' diyin dabidi'níinii t'áá ałtso yaa nididoodaał, áádóó ał'ąą dine'é t'ááłá'í nítínígo t'áá bił nahaz'ą́ą́dę́ę́' t'áá ałtso hach'į' nidahałáa doo. 
36:2:012:0	Iithiyópiya kéyahdę́ę́' danohłíinii, nihí ałdó' shidiltłish bee nidanihidi'dootsxił. 
36:2:013:0	Áádóó náhookǫsjigo hak'ijį' k'ídidoolchiłgo Asíriya dine'é atíidoolííł índa Níneveh kin haal'áii t'áá ádzaaí íidoolíiłgo honoojíígóó hóółtsei nahalingo haz'ą́ą doo. 
36:2:014:0	Kintahgóó dibé dah danéelkaadii naazhjée' doo; nihokáá' dine'é dabilį́į́' t'áá ał'ąą ádaat'éii áadi naazhjée' doo. Naal'eełíshzhiin áádóó tábąąsdísí ałdó' kin naaznilii ch'é'étiin bikáa'gi ha'naa naní'áhígi nábiilkáahgo tsésǫ'dóó áníigo dah sikée doo. Ch'é'étiin t' áadoo biniyéhí da doo, háálá gad bee dahazbį'ii t'áadoo bahat'aadí daní'áa doo. 
36:2:015:0	Díí baa hózhǫ́ǫgo kin haal'áii ayóogo bits'áhoníyéé' nít'ée'go t'áá bijéí biyi'ídi ání, T'áá shí t'éí honishłǫ́ áádóó kin haal'á doo ła' nááhódlǫ́ǫ da. Dooládó' t'áá ádzaaí dzizlį́į'go nidaaldlooshii ákóne' naazhjéé' hazlį́į́' lá. Tłeeyéi', daaníigo bíla' yee yóó'adahwiighaasgo t'ááłá'í nítínígo hą́ą́h hidikáah doo.
