36:1:001:1	Bóhólníihii hashké dínóodzįįł beidoołkááł
36:1:001:0	Éíman biye' Josáíyah éí Júdah kéyahgi aláahgo naat'áanii nilį́įgo yoołkááł yę́ędą́ą́' Heziikáíyah biye' Amaráíyah, éí biye' Gedaláíyah, éí biye' Kúshai, éí biye' Zefanáíyah éí íídą́ą́' Bóhólníihii kóníigo yidiizts'ą́ą́'. 
36:1:002:0	Bóhólníihii ání, Kéyahgóó t'áá át'éé nít'éé' t'áá ałtsoní ádeeshdįįł. 
36:1:003:0	Diné áádóó naaldlooshii ádadeeshdįįł. Yót'áahdi tsídii nidaat'a'ígíí áádóó tónteel biyi' łóó' naaldeehígíí índa doo yá'ádaashóonii yee da'níłtł'aii t'áá bił ádadeeshdįįł. Áádóó kéyahdóó diné áhodeeshdįįł, ní Bóhólníihii. 
36:1:004:0	Júdah dine'é áádóó Jerúsalem kin haal'áagi kéédahojit'ínígíí hak'ijį' nishłį́įgo atíhodeeshłííł. Áko díí haz'ánídóó Béíyal yich'į' nidahałáii yidzí'ígíí áádóó náá'iiłniihii eda'alyaii yich'į' nidahałáii índa bee dabi'dójíhígíí bił ádahodeeshdįįł. 
36:1:005:0	Kin bighą́ą́'dóó yá'ąąsh biyi'di dahiníláii yich'į' nidahałáii índa Bóhólníihii áádóó Málkam bił ahóóltą'go bich'į' bee ádee ha'diidziihgo nidahałáii bił ádahodeeshdįįł. 
36:1:006:0	Bóhólníihii yikéé' deíkááh yę́ę yits'ą́ąjį' dah nídahidiikaii áádóó Bóhólníihii bééhodeesįįł doo danízinii, doodaii' doo yínda'ídíłkidii ádahodeeshdįįł. 
36:1:007:0	Bóhólníihii binááł hasht'edadíínóht'é, háálá Bóhólníihii beidoołkááł baa hoolzhíísh. Bóhólníihii éí nááhidoonihii hasht'eyiilaa; baa haaskaígíí ats'áidiní'ą́ągo dayíísį́į́'. 
36:1:008:0	Éí ákódzaadóó Bóhólníihii binááhániihii nááhidoonih bijį́į́ góne' bídahólníihii áádóó aláahgo naat'áanii bada'áłchíní índa doo Ízrel dine'é k'ehjí hadadít'éii t'áá ałtso atídeeshłííł. 
36:1:009:0	T'áá éí bijį́ ch'é'étiin gónaa naní'áii yáátis hijeehígíí índa bindanit'a'í dabikin bii' t'áá na'níle'dii áhoonííł áádóó na'adlo' hadadeezbingo ádayiilaii atídeeshłííł. 
36:1:010:0	Bóhólníihii ání, Éí bijį́ ákódahoodzaago łóó' nidahaniihgi dáń'dítį́hídóó ayóó íits'a'go hahodidoodlał; naaki góne' ninááhós'a'ídóó hanááhodidoodlał índa dah daask'idę́ę́' ayóó íits'a'go hodidoots'į́į́ł. 
36:1:011:0	Jerúsalem łahgi Máktesh hoolyéegi kéédahoht'íinii, chaał hadahoyohnííh, háálá naalyéhé baa nidahaniihii t'áá át'é naa'abídadziisghaal áádóó béésh łigaii deíjáahii ałtso nabi'diztseed. 
36:1:012:0	Áádóó éí hoolzhishdi ákódahoodzaago Jerúsalemgi bee hool'iní naanídeesht'áałgo nanishtáa doo, áádóó diné doo ádidahas'áágóó deíkáahii t'áá bijéí biyi'di kódaaní, Bóhólníihii éí yá'át'éhígi doo ááníił da doo; doo yá'át'éhígi ałdó' doo ááníił da doo, daanínígíí atídadeeshłííł. 
36:1:013:0	Éí bąą bindaalye'é bighadahidoo'nił áádóó dabikin t'áá ádzaaí dadooleeł. Kin ádeidoolíił nidi, doo yii' kéédahat'į́į da doo, áádóó ch'il na'atł'o'ii k'ideideezláa nidi, yits'ą́ą́dóó wáin doo deidoodlį́įł da. 
36:1:014:0	Ayóó át'éego Bóhólníihii beidoołkáłígíí baa hoolzhíísh. Koshídę́ę́' hoolzhish, áádóó t'áadoo hodina'í ayóó áhodoonííł; Bóhólníihii beiníłką́ bijį́ iinéé' hahoyiiníihgo diné ayóó ábóodziilii anáchahgo yichxa dooleeł. 
36:1:015:0	Éí bijį́ t'óó báhádzidgo atí'él'į́įgo ha'doo'ááł. Ach'į' nahwii'ná áádóó tsístł'ahazt'i' bił ha'doo'ááł. T'áá ádzaaí hooleełgo áádóó t'áá ádzaaí ooleełgo ha'doo'ááł. Chahodoołhił áádóó doo hoot'į́į́góó ha'doo'ááł. K'os diłhiłgo áádóó yéego chahałheełgo ha'doo'ááł. 
36:1:016:0	Kin hadaas'áii binaa ahééda'astł'inii índa yada'niiltł'óonii bik'ijį' ana'í bidilní áádóó anada'ał'į́įgo dadilwoshgo ha'doo'ááł. 
36:1:017:0	Bóhólníihii bich'į' ádił nida'dziisí'ígíí biniinaa diné bá tsístł'ahazt'i'go áhodeeshłííł, áko doo da'oo'íinii nahalingo deíkáah dooleeł áádóó dahadił éí łeezh dibahí nahalingo yahidookááł índa chąą' yáádaa'á nahalingo dahats'íís yáádaa'áa doo. 
36:1:018:0	Bóhólníihii t'óó báhádzidgo báhóóchįįd bijį́įdi béésh łigaii áádóó óola bee dahólóonii ts'ídá doo yisdábónííł át'ée da doo, nidi łe'niizį́'ígíí diiltłahgo nahasdzáán t'áá át' éé nít'éé' ałtso iididoołk'ą́ą́ł, áko nahasdzáán bikáá' kéédahojit'íinii t'áá ádzíłtso t'áadoo kót'é'ílíní áhodoołdįįł.
