10:2:001:1	David éí Júdah dine'é aláahgo binanit'a'í ályaa
10:2:001:0	Kódzaadóó bik'ijį' David éí Bóhólníihii áyidííniidgo ání, Júdah kéyahdi kin hadaas'áhígíísh ła' bich'į' dishááh? Nít'éé' Bóhólníihii áhodííniid, Nílááh, ákóde dínááh. David ázhdííniid, Háájíígíí lá bich'į' dishááh? Áko áháłní, Hííbrangóó dínááh. 
10:2:002:0	Ákohgo David ákóde dashdiiyá, áádóó hwe'asdzą́ą́ t'áá áłah bił; ła' éí Jézriyel kin shijaa'dóó asdzání Ahínowam wolyé, náánáła'ígíí Ábigeil éí Néíbal be'asdzą́ą́ nít'é'ígíí Kármel kin shijaa'dóó asdzání nilį́. 
10:2:003:0	Áádóó David éí diné hoł naakaígíí índa bada'áłchíní bił Hííbran nahós'a'góó jiní'eezh, áko áadi kin hadaas'áagi kéédahat'į́. 
10:2:004:0	Áko Júdah dine'é yíkaigo David éí Júdah dine'é yinanit'a'í dooleeł biniyé ak'ah bik'i yadayiiziidgo yiyíísį́į́'.Áádóó David yił dahalne'go ádaaní, Jéíbesh-gíliyadóó dine'é éí Saul yę́ę yóó'ádayiilaa. 
10:2:005:0	Áádóó David éí naal'a'í dashdiił'a'go Jéíbesh-gíliyadóó dine'é ííłní, Bóhólníihii nihik'izhdoodliił, háálá nihinanit'a'í nilíinii Saul yę́ę baa dajiinohba'go yóó'ádaohłaa. 
10:2:006:0	Áádóó k'ad Bóhólníihii nihaa jooba'go áádóó t'áá aaníinii yee nihił halne'; shí ałdó' nihaa jiinishba' doo, háálá díí yá'át'éhígi ádaahdzaa. 
10:2:002:1	David éí Saul ba'áłchíní yił da'ahigą́
10:2:007:0	Éí bąą k'ad haa'íyee' nihidziilgo índa doo ninádahinołyéésgóó áda'dołnééh, háálá nihinanit'a'í Saul daaztsą́, áádóó ałdó' Júdah dine'é binanit'a'í nishłį́į doo biniyé ak'ah shik'i yayiiziidgo shíísį́į́'. 
10:2:008:0	Nidi Ner biye' Ábner éí Saul bisiláo yił dah yinéłígíí yinanit'a'í nilíinii éí Saul yę́ę biye' Ish-bósheth éí Meihanéíyim kin shijaa'góó yił ní'áázh. 
10:2:009:0	Áadi Gíliyad kéyah áádóó Ásher dine'é índa Jézriyel kin haal'áii áádóó Íífreiyim dine'é índa Bénjamin dine'é áádóó Ízrel dine'é t'áá ałtso aláahgo yinanit'a'í nilį́įgo áyiilaa. 
10:2:010:0	Saul yę́ę biye' Ish-bósheth dízdiin binááhaigo Ízrel dine'é aláahgo yinanit'a'í silį́į́', áádóó yinant'áago naaki nááhai. Nidi Júdah dine'é éí David yikéé' adahidíízį́. 
10:2:011:0	Íídą́ą́' David éí Hííbran kin haal'áagi Júdah dine'é yinanit'a'í nilį́įgo tsosts'id nááhaidóó hastą́ą́h nídeezid. 
10:2:012:0	Áko Ner biye' Ábner éí Saul yę́ę biye' Ish-bósheth yá nidaal'a'í Meihanéíyim kin shijaa'dóó bił ch'íjíkaigo Gíbiyan kin haal'áadi jíkai. 
10:2:013:0	Áádóó Zerowáíyah biyáázh Jó'ab éí David bá nidaal'a'í yił dah diikaigo Gíbiyan kin haal'áagi tó siyínígíí bibąąhgi dineezbin; ła' éí łahjí, ła'ígíí éí náánáłahjí ał'ąą dineezbin. 
10:2:014:0	Áádóó Ábner éí Jó'ab áyidííniid, Haa'íyee' k'ad tsíłkéí ałch'į' nidookahgo nihidáahgi da'ahidoogą́ą́ł. Jó'ab ádííniid, Hágo lą́ą bíni'dii da'ahigą́. 
10:2:015:0	Áko ał'ąą hasht'e'ádadiilyaago Bénjamin dine'é naakits'áadahgo Saul yę́ę biye' Ish-bósheth yich'ijí danilį́įgo éí David bá nidaal'a'í naakits'áadahgo yił ałch'į' niikai. 
10:2:016:0	Áádóó t'ááłá'í nítínígo ahidiníłnáago bitsiits'iin deisiłgo booshk'iizh góne' diltłish ahidiníłnáago ałghá deisgeedgo t'áá łahjį' naa'aníídee'; éí bąą Gíbiyan kin haal'áadi Hélkath-házurim hoosye'. 
