10:12:001:1	Néíthan éí David yideezteh
10:12:001:0	Áádóó Bóhólníihii éí Néíthan wolyéii David yich'į' ayííł'a'. Áko haa níyáago kóhodííniid, Kin haal'áagi diné naaki naa'aash, ła' éí at'į́, áádóó ła'ígíí éí bahojoobá'í. 
10:12:002:0	Diné at'ínígíí éí bidibé t'óó ahayóí áádóó bibéégashii dah danéelkaad. 
10:12:003:0	Nidi diné bahojoobá'ígíí éí t'áá ałtsoní bee ádin, nidi dibé yázhí bi'áadii nayiisnii'ígíí t'éiyá. Éí béhégo yineesą́ągo t'áá bí áádóó ba'áłchíní yił daneeyą́; bich'iyą' ła' yiyiisą́ągo índa yidlánígíí yiyiiłdlą́ągo t'áá bí bitsi' nahalingo ádíyóltą'. 
10:12:004:0	Nít'éé' diné ch'aayigáałii léi' diné at'íinii yaa níyá, áko diné at'íinii bidibé áádóó bibéégashii bitahdę́ę́' ła' bee bá ałk'ee áhojóle'ígi át'ée nidi diné bahojoobá'ígíí bibéhé diné baa níyáhígíí yá yiyiisxį́. 
10:12:005:0	Áko David díí diné at'ínígíí yaa hodiizts'ą́ą'go t'áá íiyisí yik'ee báhóóchįįdgo Néíthan ííłní, Ts'ídá t'áá aaníí Bóhólníihii hiná; ákót'éego ts'ídá t'áá aaníí éí diné ákódzaaígíí dadootsaałgo yą́ą́h nilį́. 
10:12:006:0	Áádóó éí diné béhé aghajíltínígíí bitsásk'ehgi dibé yázhí dį́į́' ninázhdoodlééł, háálá díí kójíít'įįdgo doo aa a'áhí jiniizį́į' da. 
10:12:007:0	Néíthan éí David áyidííniid, Ni lą́ą diné ákót'éii nílį́ ni. Ízrel dine'é biBóhólníihii Diyin God kóní, Ízrel dine'é aláahgo binanit'a'í nílį́į doogo ak'ah nik'i yaadziidgo níísį́į́' áádóó Saul bits'ą́ąjį' yisdánííłtį́. 
10:12:008:0	Áádóó ninanit'a'í yę́ę bikin naa diní'ą́, índa ninanit'a'í yę́ę bida'asdzą́ą́ níí' dooleełgo naa diní'ą́, áádóó Ízrel dine'é índa Júdah dine'é naa diní'ą́; éí doo nił sihgóó t'ah biláhígo naa náádi'yeeshdlééł nít'éé'. 
10:12:009:0	Haash yit'éego Bóhólníihii yee haadzíi'ii síní'įįdgo binááł doo yá'áshóonii íinilaa? Het dine'é Yuráíyah diltłish bee síníłhį́, áko be'asdzą́ą́ nít'é'ígíí ne'asdzą́ą́ íinilaa; jó, Áman dine'é bidiltłish bee síníłhį́. 
10:12:010:0	Éí bąą k'ad diltłish éí na'áłchíní náás ahoolchíiłii doo bits'ą́ąjį' kódoolníił da, sisíní'įįdígíí bąą áádóó Het dine'é Yuráíyah be'asdzą́ą́ nít'é'ígíí ne'asdzą́ą́ íinilaaígíí bąą. 
10:12:011:0	Bóhólníihii kóní, Shoo, nighan haz'ą́ą́dóó doo yá'áshóonii nik'ijį' nich'į' naaldzilgo ádeeshłííł, áko t'áá ninááł ne'asdzą́ą́ danilíinii nits'ą́ą́' nídideeshniłgo bił kééhót'íinii baa deeshnił; éí t'áá jį́įgo yił náníjah doo. 
10:12:012:0	Jó, t'áá nahont'inee éí baa nisíníyá, nidi shí éí Ízrel dine'é t'áá ałtso binááł t'áá jį́įgo ákódeeshłííł. 
10:12:013:0	Áádóó David éí Néíthan yich'į' haadzíi'go ádííniid, Bóhólníihii bich'į' ádił asésiih. Néíthan éí David áyidííniid, Ádił asínísiihígíí éí Bóhólníihii ná yóó'iidíí'ą́; doo dadíítsaał da. 
10:12:014:0	Ákondi kwíínít'įįdígíí bee Bóhólníihii bi'ana'í dabódziihii ayóó át'éego bá ashja'iinilaago awéé' ná yizhchínígíí t'áá aaníí dadootsaał. 
10:12:015:0	Nít'éé' Néíthan bighangóó anáádzá.Áko Bóhólníihii éí awéé' Yuráíyah be'asdzą́ą́ nít'éé' yę́ę éí David yá yishchínígíí atíyiilaa áádóó t'áá íiyisí yéego bitah honiigai. 
10:12:016:0	Éí bąą David éí Diyin God náyookąąhgo awéé' yá sodilzin, áko David t'áadoo ayání yah anádáahgo tł'éé' bíighah t'áá ni'góó sitį́įgo néílkááh. 
10:12:017:0	Nít'éé' bighandóó aląąjį' naazíinii dah diikaigo nídahodidoodzį́į́s biniyé hach'į' niikai, nidi doo íinízin da, áádóó t'áadoo nidi bił da'jííyą́ą' da. 
10:12:018:0	Ákódzaadóó tsosts'id yiską́ągo awéé' daaztsą́. Áko David bá nidaal'a'í éí awéé' daaztsánígíí yee hoł dahodoolnihígíí bik'ee bił daayéé'; jó, ádaaní, Shoo, awéé' t'ah hiná yę́ędą́ą́' hach'į' yádeiilti'go doo nihijíists'ą́ą' da ni'. Haadashą' ádi'doolnííł, awéé' daaztsánígíí bee bił dahwiilne'go? 
10:12:019:0	David bá nidaal'a'í hazhó'ógo ałch'į' yádaałti'go David yaa ákoniizį́į'go awéé' daaztsą́ą́ lá niizį́į́'; éí bąą David bá nidaal'a'í áyidííniid, Da' awéé'ésh daaztsą́? Aoo', daaztsą́, dahodííniid. 
10:12:020:0	Áko David ni'dóó nídii'na'go táádeesgis áádóó ak'ah yee ádeestłahgo éé' ła' yiih náádzá. Áádóó índa Bóhólníihii bikin góne' yah ííyáago yich'į' nahasá. Áádóó bighangi nádzáago ch'iyáán yiyííkeedgo biyaa ni'íką́ągo ííyą́ą́'. 
10:12:021:0	Nít'éé' bá nidaal'a'í ádabiłní, Díísh ha'át'íí baa nisíníyá? T'áadoo íyání awéé' baa nicha nít'éé', azhą́ t'ah hináa nidi, áko awéé' daaztsą́ągo índa nídini'na'go ííníyą́ą́'. 
10:12:022:0	Áko ádííniid, Awéé' t'ah hináago t'áadoo ashání baa yishcha nít'éé'; jó, ádíshní, T'áadoo le'ígi át'é Diyin God nilíiniida shaa jiidoobaałgo awéé' hináa dooleełgo da'át'é. 
10:12:023:0	Nidi k'ad éí daaztsą́, ha'át'íísh biniyé doo ashą́ą da doo? Da' hináagoósh áńdeeshdlííł? Bich'į' deeshááł, nidi bí éí doo áádę́ę́' shaa nídoodáał da. 
10:12:024:0	Áko David be'asdzą́ą́ Bath-shííba hayi'iyoos'niid, áádóó yił yah ííyáago yił biiłkááh, áádóó bik'ijį' ashkii yishchį́. Nít'éé' Sálaman yee yiyíízhi', áko éí Bóhólníihii ayóó'ábó'ní. 
10:12:002:1	David éí Rábah kin haal'áii yisná
10:12:025:0	Índa bá halne'ii Néíthan dah yidiił'a'go ání, Jedidáíyah joolyée doo; Bóhólníihii biniit'aa ákóhozhdííniid.  
10:12:026:0	Nít'éé' Jó'ab éí Áman dine'é bikin haal'áii Rábah hoolyéii yich'į' anaa' hasłį́į́' áádóó aláahgo naat'áanii bikin haal'áii yisná. 
10:12:027:0	Áádóó Jó'ab éí bá nidaal'a'í David yich'į' ayiis'a'go ííłní, Rábah dine'é bił da'aheeshgą́ą'go tooh nílínígíí bibąąhgi kin haal'áhígíí séłná. 
10:12:028:0	Éí bąą k'ad diné áłah áníléehgo kin haal'áhígíí binánínéehgo dííłnééł; éí doodaii' shí daats'í kin deeshnéełgo shízhi' bee hójíi doo. 
10:12:029:0	Nít'éé' David éí diné áłah áyiilaago Rábahgóó nínáago áadi yił da'ahoogą́ą'go deisná. 
10:12:030:0	Áádóó Áman dine'é aláahgo binanit'a'í binaat'á ch'ah bitsii' yik'iidíí'ą́; éí óola tálent dah adiidlohígíí bíighahgo tsé ílíinii bee nidaashch'ąą' nít'éé' lá, áádóó éí David bik'i doot'ą́. Kin haal'áhídóó naalye'é t'óó ahayóí nídeizhjaa'. 
10:12:031:0	Áko kin haal'áhígi diné nidaakaii nídeizh'eezhgo bee nida'iijíhígíí áádóó béésh nitł'izii tsénił yee nidaalnishgo áyiilaa, áádóó hashtł'ish yit'eesgo haz'ánígi nidaalnishgo áyiilaa. T'áá ákót'éego Áman dine'é bikin hadaas'áhídóó t'áá ałtso ákóyiilaa. Áko David áádóó bidine'é t'áá ałtso Jerúsalem kin haal'áágóó anídahaaskai.
