44:8:001:1	Pen . viij .
44:8:002:1	Dwyn ’alar Stephan a’ ei gladdy . Cynddaredd yr Iuddeon a’ Saul yn y herbyn hwy . Y ffyddlonieit wedy ei goyscaru , ac yn precethu yma a’ thraw . Twyllo Samareia gan Simon
44:8:003:1	*
44:8:004:1	ddewin
44:8:005:1	riniwr , eithyr hei ymchwelyt ir iawn gan Philip , a’ ei chadarnhay gan yr Ebestyl . Cupyðtot a’ffuc santeiddrwydd Simon . Ae ymchweliat yr Eunuch ir ffydd .
44:8:001:0	AC Saul a gytsynniesei am y varwolaeth ef . A’r dyddgwaith hwnw , y bu ymlit dirvawr ar yn Eccles , yr hon ytoedd yn‐Caerusalem , ac ydd oeddent yvv oll wedy ei goyscary rhyd gwledydd Iudaia a’ Samareia , dyeithyr yr Apostolon .
44:8:002:0	Yno ryvv wyr dwywol , a ddugesont Stephan ganthynt , yvv gladdu , ac a wnaethant gwynvan mawr uch ei benn .
44:8:003:0	A’ Saul yntef oedd yn anreithiaw yr Eccles , gan vyned y mewn y bop tuy , a’ thynny allan ’wyr a’ gwragedd , a ei dody yn‐carchar .
44:8:004:0	Ac wyntwy yr ei ’oyscaresit ar lled , a dramwyesont gan praegethy y gair .
44:8:005:0	Yno yd aeth Philip i ddinas o Samareia , ac a precethawdd Christ yddwynt .
44:8:006:0	A’r popul a ddalioð ar yr hyn a ddywedei Philip , o vnvryd , yn gwrandaw ac yn gweled y gwyrthiae ’r ei wnaethei ef .
44:8:007:0	Can ys ysprytion aflan gan lefain a llef vchel , a ddaeth allan o lawereð a berchenogit ganthvvynt : a’llaweredd yn gleifon o’r parlys , ac yn gloffion , a iachawyt .
44:8:008:0	Ac ydd oedd gorvoledd mawr yn y dinas hono .
44:8:009:0	Ac ydd oeð o’r blaen yn y dinas neb gwr aei enw Simon , yr hwn ytoedd swynwr , ac a ampwyllesei bopul Samareia , gan ðywedyt , e vot ehun yn ryvv vvr mawr .
44:8:010:0	Wrth ba vn ydd ydd oeddent wy yn dysgwyl o’r lleiaf yd y mwyaf , gan ddywedyt , Y gvvr hwn yw ’r mawr allu Dew ,
44:8:011:0	Ac wyntwy oedd yn dysgwyl wrthaw , erwydd iddaw yn hir o amser y ehudaw hwy a swynion .
44:8:012:0	Eithyr yn gyflym ac y credesont i Philip , y ytoedd yn precethy y pethe y berthynent i deyrnas Dew , ac yn Enw Iesu Christ , ei batyddit y gwyr , a’r gwragedd .
44:8:013:0	Yno Simon yntef hefyt a gredawdd ac a vatyddiwyt , ac a ddylynawdd Philip , ac a chwithawdd arno , pan welawdd yr arwyddion ar gwyrthiae mawrion r’ ei wnaethoeddit . Yr Epistol ddie Marth y Sul gwyn .
44:8:014:0	A’ phan glybu yr Apostolon oedd yn‐Caerusalem , dderbyn o Samareia ’air Dew , ys anvonesont attwynt Petr ac Ioan :
44:8:015:0	yr ei wedy ei dyvot i waered , y weddiesont drostwynt , ar dderbyn o hauwynt , yr Yspryt glan :
44:8:016:0	( Can na ddaethei ef eto ar yr vn o hāwynt , amyn ei batyddiaw a wnaethit yn vnic yn Enw yr Arglwydd Iesu .
44:8:017:0	Yno y gesodesont ei dwylaw arnaddvvynt , ac wy a dderbyniesont yr Yspryt glan .
44:8:018:0	Ac pan welawdd Simon , mae trwy ’osot dwylaw yr Apostolon y dodit yr Yspryt glan , e gynygawdd yddwynt ariant ,
44:8:019:0	gan ddywedyt , Rowch i minef hefyt y meddiant hwn , yd pan yw ar bwy bynac y gesodwyf vy dwylo , bod iddo dderbyn yr Yspryt glan .
44:8:020:0	Yno y dyvot Petr wrthaw , Coller dy ariant y gyd a thi , can ys tybieist y perir dawn Dew ac ariant .
44:8:021:0	Nid oes yty ran na chymdeithas yn y devnyð hwn : can nad yw dy galon yn vnion geyr bron Dew .
44:8:022:0	Edivarha gan hyny o bleit dy ddrugioni hyn , ac gweddia Ddew , a’s agatvydd , bod maddae meddwl dy galon .
44:8:023:0	Can ys gwelaf dy vot ym‐bystyl chwerwder , ac yn rhwymedigaeth enwiredd .
44:8:024:0	Yno ydd atebawdd Simon ac y dyvot , Gweddiw‐chwi drosof ar yr Arglwyð , na bo i ddim o hyn a ddywedesoch , ðyvot arnaf .
44:8:025:0	Ac velly wynt vvy gwedy yðwynt testio a’ lavaru gair yr Arglwyð , a ymchwelesont y Caerusalem , ac a precethesont‐yr‐Euangel yn llawer o ddinasoedd y Samareieit .
44:8:026:0	Yno Angel yr Arglwydd a lavarodd wrth Philip , gan ddywedyt , Cyvot , a’ cherdd tu a’r Dehau ir ffordd ’sy yn mynet y waeret o Gaerusalem i ddinas Gaza , yr hon ’sy yn ðyffaith .
44:8:027:0	Ac ef a gyvodes ac aeth rac ddaw : ac wele ryw Eunuch o Ethiopia sef Raglaw Candace Brēhines yr Ethiopiait , yr hwn oeð yn llywodraethy y oll drysor hei , ac oedd yn dyvot i Gaerusalem y addoly .
44:8:028:0	Ac val ydd oedd ef yn adymchwelyt ac yn eistedd yn y gerbyt , y darllenai ef Esaias y Prophwyt .
44:8:029:0	Yno y dyvot yr Yspryt wrth Philip , Cerdda‐yn‐nes ac ymwasc a’r cerbyt acw .
44:8:030:0	Ac Philip a redawdd attaw , ac ei clywodd yn darllen y Prophet Esaias , ac a ddyvot . A ddeelly di yr hynn ydd wyt yn ei ddarllen ?
44:8:031:0	Ac ef a ddyvot , Py wedd y metraf , o ðiethyr bot ryw vn im arwein ir ffordd ? Ac ef deisyvawdd ar Philip escen y vynydd , ac eistedd gyd ac ef .
