44:17:001:1	Pen . xvij .
44:17:002:1	Paul yn dyvot i Thessalonica . Lle mae yr ei yn y dderbyn ef , ac eraill yn ei erlyd . Bod chwiliaw yr Scrythur lan . Efe yn ymddadleu yn Athenas , a’ ffrwyth ei athroaeth .
44:17:001:0	AC val yr oeddent yn ymddeith drwy Amphipolis , ac Apollonia , wy dd’aethant i Thessalonica , lle ydd oedd Synagog ir Iuddaeon .
44:17:002:0	Ac Paul , yn ol ei ðevot , aeth y mywn attynt , ac ar dri dyddiæ Sabbath yr ymddadleuawdd ef ac wynt wrth yr Scrythurae ,
44:17:003:0	gan agori a’ dodi drostavv y byðei raidiol y Christ ddyoðef , a’ chyfody o veirw : a’ hwn yw ’r Iesu Christ , yr hwn , eb yr ef , ydd wyf yn ei precethy ychwy .
44:17:004:0	A’ r’ei o hanaddvvynt a gredesont , ac ymwascesont a Phaul ac Silas : hefyt o’r Grocyeit a’r oedd yn ofny Dew lliosogrvvydd mawr , ac o’r gwragedd pennaf nid ychydicion .
44:17:005:0	Anid yr Iuddaeon a’r nid oeðen yn credy , yn gwynvydy , a gymeresont atwynt ryw grwydyrddynion o ddehirwyr , ac wedy yddwyut gynnull y tyrfa , tervyscy yr dinas a wnaethant , a dygyrchy tuy Iason , a’ cheisiaw y dwyn hwy allan at y popul .
44:17:006:0	Eithyr pryd na vedresont ei caffael , wy luscesont Iason a’ rryw vroder at pennaethieit y dinas , gan lefain , Yr ei hyn ysydd yn dadymchwel llywodraeth y byd , a’ ll’yma ynt wy ,
44:17:007:0	yr ei a dderbyniodd Iason dan llavv , a’r ei hyn oll ys y yn gwneythy’d yn erbyn devodae Caisar , gan ddywedyt vot Brenhin arall vn Iesu .
44:17:008:0	Yno y cyffroesant vvy ’r popul , a’ phennaethieit y dinas , wrth glywet hyn yma .
44:17:009:0	Eithyr gwedy yddwynt dderbyn atep digonawl gan Iason a chan y llaill , ei maðae ymaith a wnaethant .
44:17:010:0	A’r broder yn y lle a ddanvonesont ymaith Paul ac Silas o hyd nos i Beroia , yr ei gwedy ei dyvot yno , addaethan y mywn i Synagogae yr Inddaeon .
44:17:011:0	Ar ei hyn oedd well o enedigaeth nac wyntwy o Thessalonica , yr ei a dderbyniesont y gair a ei llawnvrydd , gan chwiliaw yr Scrythurae beunydd , y vvybot a ytoedd y pethae hynn velly .
44:17:012:0	Am hyny llawer o hanwynt a gredesont , ac o ’roec wragedd sybervvon , ac o wyr nyd ychydigion .
44:17:013:0	Eithyr pan wybu yr Iuddaeon o Thessalonica , vot hefyt precethy gair Dew gā Paul yn Beroia , wy ðathant yno hefyt , ac a gynyrfesont y torfoeð .
44:17:014:0	Ac yn y man yd anvones y broder Paul ymaith y vynet megis ir mor : eithyr Sylas ac Timotheus y arosont ynaw yn ’oystat .
44:17:015:0	A’r ei y oeddent yn cyfrwyðo‐fforð i Paul , ei dugesont ef yd yn Athenas : ac gwedy yddwynt erbyn gorchymyn ar Silas ac ar Timotheus ar yðynt ddyvot ar ffrwst ataw , yr aethant ymaith ,
44:17:016:0	Ac tra ytoedd Paul yn aros arnaddvvyyt yn Athenas , yr ymgythruddawdd ei Yspryt ynthaw , wrth welet y dinas aei goglyd ar ddelwae .
44:17:017:0	Ac am hyny yr ymddaleuawdd ef yn y Synagog a’r Iuddaeon , ac ar ei dwywolion , ac yn y varchnat beunydd , a’ phwy bynac a gyvarvyddent ac ef .
44:17:018:0	A’rhyw Philosophwyr o’r Epicurieit , ac o’r Stoiceit a ymeddadlaesont ac ef , a ’r ei a ðywedent , Pa beth sy ym‐bryd y siaradwr hwn ei ddywedyt ? Yr eill a ddyvvedesont , Tebic y vot ef yn vanagwr dewiae dieithr ( erwydd iddo precethy yddwynt yr Iesu , a’r cyvodedigaeth . )
44:17:019:0	Ac wy y daliesont ef , ac ei ducesont y heol Mars , gan ddywedyt , Any allwn gahel gwybot , pa ryvv athroaeth newydd a ymadroddir , genyt yw hon ?
44:17:020:0	Can ys ydd wyt yn dwyn ryw pethae dieithyr y ein clustiae : am hyny yr ewyllysem wybot pa han yw y pethae hyn .
44:17:021:0	Can ys yr oll Athenieit a’r dieithreit oedd yn preswilio ynaw , nid oeddynt yn cymeryt enhyt y ddim , anid yn aill ai y ddywedyt , ai y glywet ryw beth o newydd .
44:17:022:0	Yno Paul a safoð ym‐pervedd heol Mars ac a ddyvot , A wyr Athenieit mi ach gwelaf chwi ym‐pop petholl yn vawr eich goglyd ar y dywie .
44:17:023:0	Cāys wrth ðyvot heibio , ac edrych ar eich glochwytae ys ceveis allor , yn yr hon yð escrivenit , IR DEO ANVVYBODEDIC . Yr hwn gan hynny eb wybot ydd ych yn ei addoly , hwnw venagaf ychwy .
44:17:024:0	Dew yr hwn a wnaeth y byd , a’r oll pethae ys ydd ynthaw , can y vot ef yn Arglwydd nef a’ daear , ny thric ef mewn templae gwneythuredic‐a‐dwylaw ,
44:17:025:0	ac nid addolir a dwylaw dynion , val pe bei arno eisiae dim , ac ef e yn rhoddi i bawp vywyt ac anhenetl a’ phop peth ,
44:17:026:0	ac a wnaeth o’r vn gwaed oll genetl dynion y breswiliaw ar hyd wynep y ðaiar , ac a ’osodes yr amserae ar y ddaroedd ei rrac ordeiniaw a’ thervynae ei preswylfa ,
44:17:027:0	er ceisiaw o hanwynt yr Arglwydd , a byddei yddwynt gan ymbalfaly y gaffael ef , cyd yn diau nad yw ef yn y pell y wrth yr vn o hanam .
44:17:028:0	Can ys yntaw ef ydd ym byw , ac ydd ym yn ymodi , ac y mae en bod , megis ac y dyvot rei a eich Poetau hunain , O bleit ei genedleth hefyt ym .
44:17:029:0	A’ chan ein bot yn genedlaeth Dew , ny ddlem ni dybio vot y Dywdot yn debic i aur , ai ariant , ai y vaen wedy ei lluniaw drwy gelfyddyt a’ dychymic dyn .
44:17:030:0	Ac amser yr anwybot hyn , nid oedd Dew yn ystyriaw : eithyr yr owrhon y mae ef yn rrybyddiaw pop dyn ym‐pop lle y gymeryt‐ediveirwch ,
44:17:031:0	o bleit iðo ’osot dydd yn yr hwn y bairn ef y byt yn‐cyfiawnder , can y gwr hvvnvv yr vn a dervynodd ef , a’ rhoðy diogelwch y pawp , am iddo y gyfody ef o veirw .
44:17:032:0	A’ phan glywsant son am gyvodedigaeth y meirw , yr ei a watwarasant , ac ereill a ddywedesont , Ith wrandawn drachefyn am y peth hynn .
44:17:033:0	Ac velly Paul aeth allan oei plith vvy .
44:17:034:0	A’ rryw wyr a ddylynesont wrth Paul , ac a credesont : ym‐plith pa rei ydd oedd Denis Areopagita , a’ gwreic a enwit Damaris , ac er‐eill y gyd a hwynt .
