44:24:001:1	Pen . xxiiij .
44:24:002:1	Paul wedy ei gyhuddaw yn atep dros ei vuchedd a’i ddysceidaeth yn erbyn ei gyhvddwyr : Felix yn y deimlaw ef , a’ ei vryd ar gael gobr . Ac yn ol hynny yn ei ady ef yn‐carchar .
44:24:001:0	AC yn ol pemp diernot , y daeth y waeret Ananias yr Archoffeiriat y gyd a’r Henafieit , ac Tertullus rryw areithiwr , yr ei a apariesont ger bron y President yn erbyn Paul .
44:24:002:0	A’ gwedy ei ’alw ef ir lle , e ddechreawdd Tertullus ei guhuddaw , gan ddywedyt , Can y ni vot yn byw yn dra heddychol oth bleit ti , a’ bot gwneythyr llawer o bethe gwiw , ir genedl hon drwy dy racddyall di ,
44:24:003:0	Hyn yð ym ni yn cydnabot yn hollawl , ac ym‐pop lle , yr ardderchocaf Felix , y gyd a chwbyl ddiolvvch .
44:24:004:0	Eithr rac bot ymy dy ðalha yn rryhir ddygn , atolwc yty ein gwrandaw oth hynawster ar ychydic ’airiae .
44:24:005:0	Can ys cawsam y gwr hwnn yn ddyn adwythus , ac yn cyffroy tervysc ymplith yr holl Iuddaeon trwy’r holl oll vyt , ac yn brifnerthwr ar yr heresi y Nazarieit ,
44:24:006:0	ac a vynysei halogy y Templ : ac am hyny y daliesam ef , ac a vynesem ei varny yn ol ein Deddyf :
44:24:007:0	Eithyr y pen‐Captaen Lysias a ddaeth arnam , a’ thrwy drais mawr ei duc allan o’n dwylo ,
44:24:008:0	gan orchymyn ydd ei guhuddwyr ddyvot ata ti , y gan ba rei y gelly ( a’s myny ymofyn ) wybot yr oll pethae hynn yð ym ni yn y gyhuddaw ev .
44:24:009:0	A’r Iuddaeon hvvythe hefyt a daeresant , gan ddywedyt vot y peth y moð hynny .
44:24:010:0	Yno Paul , gwedy amneidio o’r President arnaw y amadrawddd a atebawdd , Y mae yn haws genyf atep troso vyhun , can vy‐bot yn gwybot dy vot ti lawer o vlyddynedd yn ynat ir genadleth hon ,
44:24:011:0	can ys gelly wybot , nad oes anid dauddec dieernot er pan ðaethym i vynydd i addoly i Caerusalem .
44:24:012:0	Ac ny im cawsant i yn y Templ yn ymddadleu a nep , nac yn cyffroy yr dyrva y gyvodi , nac yn y Synagogae , nac yn y dinas .
44:24:013:0	Ac ny allant chvvaith provi y pethae , y maent im cuhuddaw am danwynt .
44:24:014:0	Eithr cyffessy yty ddwyf hyn yma , mae yn ol y fforð ( rhon y alwant vvy yn heresi ) velly yr addolaf vi Ddew vy‐tadae , sef gan gredy yn yr oll pethe r’ y scrivenir yn y Ddeðyf a’r Prophwyti ,
44:24:015:0	a’ gobeith ’sy genyf ar Ddew , am yr vn cyfodiadigeth y meirw ac y maent wytheu hefyt yn ei ddysgwyl , y bydd ef ys ir cyfiawnion ac ir ancyfiawnion .
44:24:016:0	Ac yn hyn ydd wy vi ystudio vot genyf yn wastad gydwybot ddirwystr tu ac Ddew a’ thu ac at ðynion .
44:24:017:0	Ac yrovvon yn ol llawer o vlyddynedd , y daethym ac y dugeis eluseni im cenedleth ac offrymae .
44:24:018:0	Ac yn yr amser hynn , ’rei or Iuðeon o’r Asia am cawsant wedy vy‐glanhay yn y Templ , ac nid gyd a thorf , na thervysc .
44:24:019:0	Yr ei a ddylesynt vot yn gynnyrchiol rac dy vron , am cyhuddaw , a bysei ganddwynt ddim im erbyn .
44:24:020:0	Ai ynte dywedet yr ei hyn yma , a gawsant vvy ðim ancyfion ynof , tra sefeis yn y Cyngor ,
44:24:021:0	dieithr am y llef vnic hon , a ’r a lefeis yn sefyll yn ei plith vvy , sef Am gyfodiadigeth y meirw im bernir heddyw genwch .
44:24:022:0	Pan glybu Felix y pethae hynn , yr oedawdd ef wynt , gan ddywedyt , Pan wypwyf yn yspesach y pethae a perthyn ir ffordd hon , pan vo i Lysias y pen‐Captaen ddyvot yma , y dosparthaf eich mater .
44:24:023:0	Yno ydd archawdd i Gannwriat gadw Paul , a gadael iddaw gahel gorffywys , ac na ’oharddei i neb oei gydnabot ei weini , nei ddyvot attaw .
44:24:024:0	Yn ol talm o ddyddiae , yd aeth Felix ef aei wreic Drusilla , yr hon ytoeð Iuddewes , ac ef a ’alwodd am Paul , ac a glywawdd ganthaw am y ffydd ys ydd yn Christ ,
44:24:025:0	Ac mal ydd oedd ef yn dosparth am gyfiawnder , a’ chymmedroldep , ac am y varn y ddyvot , Felix a ddechrynawdd , ac a atebawdd , Does ymaith ar hyn o amser , anid pan gaffwy amser‐cyfaddas , mi alwaf am danat .
44:24:026:0	Ac ydd oedd ef yn gobeithio hefyt y rhoddesit ariant iddaw gan Paul , er iddo ei ellwng ef : erwyð pa bleit yd avonodd ef am danaw yn vynychach , ac y chwedleuawdd wrthaw .
44:24:027:0	A’ gwedy cerddet dwy vlwyddyn , y daeth Porcius Festus yn lle Felix : a’ Felix yn ewyllysio enill bodd yr Iuddaeon , a adawdd Paul yn rhwym .
