44:19:001:1	Pen . xix .
44:19:002:1	Roddy yr Yspryt glan trwy ddwylaw Paul . Yr Iuddaeon yn caply y ddysceidaeth ef , yr hwy a gadarnhawyt trwy wyrthiae . Chwidreð a’
44:19:003:1	*
44:19:004:1	phoenedigaeth
44:19:005:1	chystwyad y consurwyr , a’r ffrwyth a ddaeth ywrth hyny . Demetrius yn peri tervysc o
44:19:006:1	‡
44:19:007:1	escus , liw
44:19:008:1	blait Diana . A’ Dew eisoes yn ymwared yr ei yddaw ef , ac yn heddychy trwy yscoleic y dinas .
44:19:001:0	AC e ddarvu , tra ytoedd Apollos yn Corinthus , bot i Paul vynet trwy y parthae goruchelion , a dyvot i Ephesus , a’ chahel ryw ddiscipulon ,
44:19:002:0	a’ dywedyt wrthwynt , A dderbyniesoch yr Yspryt glā er pan gredesoch ? Ac wytheu a ddywedesont wrthaw , Ny wnaetham ni cymeint a chlywet a oes Yspryt glan .
44:19:003:0	Ac ef a ddyvot wrthwynt , Ervvydd pa beth gan hyny eich batyðiwyt ? Ac wyntvvy a ðywedesont , Ervvydd batyð Ioan .
44:19:004:0	Yno y dyvot Paul , Ioan yn ddiau a vatyddioð a batydd ediveirwch , can ddywedyt wrth y popul , bot yddwynt credy yn hwn a ddelei ar y ol ef , ys ef yw hyny , yn y Christ Iesu .
44:19:005:0	Ac wedy yddwynt glywet hyny , wy vatyddiwyt yn Enw yr Arglwydd Iesu .
44:19:006:0	Ac wedy gesot o Paul ei ddwylaw arnaddynt yd aeth yr Yspryt glan arnynt , ac yr ymadroddesont davodae , ac y prophwytesant .
44:19:007:0	A’r oll wyr ytoedd yn‐cylch dauddec .
44:19:008:0	Yno ydd aeth ef y mewn ir Synagog , ac yr ymadroddawdd yn eon dros dri‐mis , gan ddisputo ac annoc ir hynn a perthyn i deyrnas Dew .
44:19:009:0	Eithyr pan ytoeð yr ei wedy ei caledy ei calonæ , ac ny chredent , gan ddrweddywedyt am ffordd yr Arglwydd , ger bron y lliosogrwydd , e dynnawdd ymaith y wrthwynt , ac ef a ddidolodd y discipulon , gan ðisputo beunydd yn yscol nebvn Tyrannus .
44:19:010:0	A hynn a wnaethpwyt yspait dwy vlynedd , y n y bu y bawp oedd yn trigiaw yn Asia , glywed ymadroð yr Arglwyð Iesu , yr ys Iuðeon hvvy a’r Groeceit .
44:19:011:0	Ac Dew a weithredawdd wyrthiae nid bychedigion trwy ddwylaw Paul ,
44:19:012:0	yd pan ðugit y wrth y gorph ef ir cleifion , gwrsie nai napcynae , ac ymady or clefydae ywrthwynt , a’ mynet yr ysprytion drwc allan o hanwynt .
44:19:013:0	Yno bot i rei or Iuddaeon crwydrait , consurwyr , gymeryd arnwynt enwi vch pen yr ei oedd yn perchenogion y sprytion drwc , Enw yr Arglwydd Iesu , gan ddywedyt , Ydd ym ich consurio trvvy yr Iesu , yr hwn a precetha Paul .
44:19:014:0	( Ac ydd oedd nep meibion Sceua Iuddew , yr Archoffeiriat , yn cylch saith oedd yr ei a wnaent hynn . )
