44:4:001:1	Pen . iiij .
44:4:002:1	Petr ac Ioan wedy’r ddelifro allan o carchar yn precethy yr Euangel yn hyderus , Hwy yn coffessu yn eglur Enw Christ . Gorchymyn ydd ys na phraecethont mwy yn yr Enw hwnw . Gweddiaw y maent ar rwyddhay rhag yr Evangel . Am vawr gynnyrch , dyvndab ac perfeith cariat yr Eccles .
44:4:001:0	AC mal ydd oeddent wy yn llavaru wrth y popul , y bu ir Archoffeiriat , a llywyð y Templ , a’r Sadduceit ddyvot am ei pennae ,
44:4:002:0	gan vot yn ddicllawn ganthwynt eu bot yn dyscy yr bopul , ac yn praecethy yn Envv yr Iesu y cyvodedigaeth o veirw .
44:4:003:0	Ac wynt a roesont ei dwylo arnwynt , ac ei dodesont yn‐carchar yd tranoeth : can ys yr owon gyd a’r hwyr ytoedd hi .
44:4:004:0	Er hyny llawer o’r a wrandawsei yr gair a gredesōt , a’ niuer y gwyr oeð yn‐cylch pemp‐mil .
44:4:005:0	Ac e ddarvu y dydd , dranoeth , bot y llywiawdwyr hwy , a’r Henafiait , a’r gwyr llen wedi ymgynull yn‐Caerusalem ,
44:4:006:0	ac Annas yr Archoffeiriat , ac Caiaphas , ac Ioan , ac Alexander , a chynniuer ac oeddynt o genedl yr Archoffeiriait .
44:4:007:0	Ac wedy yddwynt ei gosot gwydd-yn‐gwydd ac wynt , y gofynesont , Trwy pa allu , n ai ym‐pa Enw y gwnaetho‐chwi hynn ?
44:4:008:0	Yno Petr yn gyflawn o’r Yspryt glan , a ddyvot wrthwynt , Chvvychvvi lywiawdwyr y popul , a’ Henyddion yr Israel ,
44:4:009:0	can bot in holi ni heddyw o bleit gweithret da avvaetham i ddyn egwan , ys ef pa wedd , ydd iachawyt ef ,
44:4:010:0	bit wybodedit ychwy oll , ac i oll bopul yr Israel may trwy Enw Iesu Christ o Nazaret , yr vn a groceso‐chwi , yr vn a adgyvodes Dew i vynydd o veirw , ystrwy ddaw ef y saif ydyn hwn geyr eich bron chwi yma yn iach .
44:4:011:0	Hwn yw’r maen a vwriwyt heibio genwchwi yr adeilatwyr , yr hwn a wnaethpwyt yn ben congyl .
44:4:012:0	Ac nid oes iechydvvrieth yn nep arall : can ys ym‐plith dynion ny roddwyt vn enw arall y dan y nef , y gellir ein iachay y ganthaw .
44:4:013:0	A’ phan welsant hyder Petr ac Ioan yn amadrodd a’ deall y bot wy yn anllytherenawc ac eb ddysc ganthwynt , rhyveðy a wnaethant , a’ ei adnabot , pan yw ei bot hwy y gyd a’r Iesu :
44:4:014:0	ac wrth welet hefyt y dyn a iachesit yn sefyll gyd ac wynt , ny allent ðywedyt dim yn erbyn y peth .
44:4:015:0	Eithyr gorchymyn yddwynt cilio o ywrth y Cyccor , ac ymgygcori yn ei plith ei hunain a wnaethant ,
44:4:016:0	gan ddywedyt , Pa beth a wnawn i’r dynion hynn ? can ys y’n ddiau e wnaethpwyt arwydd eglur y canthwynt , ac y mae yn amlwc hyn y gā pawp ’sy yn preswilio yn‐Caerusalem ac ny allwn ni wady .
44:4:017:0	Eithr rac ei gyhoeðy ym‐pellach ym‐plith y popl , bygythiwn a’ bygylwn hwy , na bo yðynt gympwyll mwyach wrth nep dyn yn yr Enw hwn .
44:4:018:0	A’i galw a wnaethāt , ac a ’orchymynesont yddynt na byðei yddynt ym‐moð yn y byd gympwyll na dyscu ’r bopul yn Enw ’r Iesu .
44:4:019:0	Ac yno Petr ac Ioan a atebesāt yðynt , gan ðywedyt , Ai iawu yw yn‐golwg Dew vfyddhay i chwi yn hytrach ai i Ddew , bernw‐chwi .
44:4:020:0	Can na allwn na ðywetom y pethe ’welsam ac a glywsam .
44:4:021:0	Ac velly ei bygyly a wnaethāt , a’ ei gellyng ymaith , eb vedry cahel dim deunydd y poeni wy , o bleit y p opul : can ys pawp oeddynt yn gogoneddy Dew , o bleit y peth y wnaethoeðit .
