44:25:001:1	Pen . xxv .
44:25:002:1	Yr Iuddaeon yn cyhuddaw Paul ger bron Festus . Ef yn aatep drostaw ehun . Ac yn appelio at yr Ymperawtr . Bot yn cympwyll am y vater ef gar bron Agrippa . A’i ðwyn ef allan .
44:25:001:0	GAn hyny gwedy dyvot Festus ir ardal , ar ben y tridie yð aeth i vynydd i Gaerusalem o Caisareia .
44:25:002:0	Yno yð ymðangosent yr Archoffeiriat a’ phennaethieit yr Iuddaeō ger ei vron ef yn erbyn Paul , ac atolygasant iddaw ,
44:25:003:0	a’ chan erchy caredigrwydd yn ei erbyn , bod iddo ddanvon am danaw i Gaerusalem ; ac hvvy a wnaethant gynllwyn yw ladd ef ar y ffordd .
44:25:004:0	Eithyr Festus a atebodd , bot cadw Paul yn Caisareia , ac a ðanei yntae ehun eb ohit yd yno .
44:25:005:0	Can hyny ( eb yr ef ) dauet yr ei o hanoch chwi ’sy yn abl , y gyd a ni i waeret : ac ad oes neb anvviredd yn y gwr cyhuddant ef .
44:25:006:0	Pryt na thrigesei ef yn y plith wy y tuhwnt y ddec diernot , ef aeth y waeret y Caisareia , a’r dydd nesaf ydd eisteddawdd yn y vrawdle , ac a ’orchymynawdd ddwyn Paul atavv .
44:25:007:0	Ac wedy ei ddyvot , yr Iuddaeon y ddaethent o Gaerusalem , a safasont o ei amgylch , ac a ddodesont lawer o achwyniō trymion yn erbyn Paul , yr ei ny ellynt ei provi ,
44:25:008:0	can yddaw vot yn atep , na ddaroeð yddaw pechy dim nac yn erbyn Deddyf yr Iuddaeon , nac yn erbyn y Templ , nac yn erbyn Caisar .
44:25:009:0	Er hyny Festus yn ewyllysiaw cahel bodd yr Iuddaeon , a atebawdd i Paul , gan ddywedyt , Ai di y vyn ydd y Gaerusalē , ac yno ith varny am y pethe hyn ger vy‐bron i .
44:25:010:0	Ac Paul a ddyvot , Ydd wyf yn sefyll wrth vrawdle Caisar , lle y perthyn vy‐barny : ir Iuddaeon ny wneythym i ddim yngham , megis ac y gwyddos‐ti yn dda ddigon .
44:25:011:0	Can ys , a’s gwneythym ddim cam , ai dim teilwng o angae , ny wrthðodaf vi varw : ac anid oes dim or cyfryvv betheu ac y maent wy im cyhuddaw , ny all nep vy rroddi yddwynt : appelo ydd wyf ar Caisar .
44:25:012:0	Yno Festus wedy daroedd iddaw ymddiddam a’r Cygcor , a atebawð , A appeleas ti ar Caisar ? ar Caisar y cai vynet .
44:25:013:0	Ac yn ol swrn o ddyddiae , y Brenhin Agrippa a’ Bernice ydd aethant y wared y Caisareia y gyfarch-gwell i Festus .
44:25:014:0	A’ gwedy yddwynt aros yno lawer o ddyddiae , Festus a venagawdd ir Brenhin vater Paul , gan ddywedyt : Y mae yma ryw wr wedy ei adael yn‐carchar y gan Felix .
44:25:015:0	Am yr hwn pan ddaethym i Caerusalem , ydd oedd yr Archoffeiriait a’ Henafiait yr Iuddeon yn honny ymy , gan ddeisyfy cahel barn yn ei erbyn .
44:25:016:0	I ba ’r ei ydd atebeis , nad yw moes y Ruveinieit , er bodd‐roddy nep i angae , cyn noc y caffo yr vn a gyhuddic , ei gyhuddwyr ger ei vron , a’ chaffael o honaw le y amddyffyn ehun , am y caredd .
44:25:017:0	Wrth hyny gwedy ei dyvot wy yma , eb ’olydd y dydd cyntaf rac llavv ydd eisteddais yn y vrawdle ac a ’orchymynais ðwyn y gwr ger bron .
44:25:018:0	Yn erbyn ba vn pan safawdd y cuhyddwyr i vyny , ny ddugesōt vvy vn caredd am gyfryw bethae ac y tybyeswn i :
44:25:019:0	namyn bot ganthwynt ryw gwestionae am y gwangoel yddynt y hunain , ac am vn Iesu a vu varw , yr hwn a daerei Paul ei vot yn vyw .
44:25:020:0	A’ mineu erwyð vy‐bot yn petrusaw yn‐cylch cyfryw gwestion , a ’ovyneis iddaw a elei ef y Gaerusalē , a’ chymryt‐barn yno am y pethae hyn .
44:25:021:0	Eithyr can ðarvot iddaw apello y ny gedwit ef i wybyðyeth Augustus , mi ’orchymynais ei gadw , ydd pan ðanvonwn ef at Caisar .
44:25:022:0	Yno Agrippa a ddyvot wrth Festus , A’ mineu a wyl’yswn glywed y dyn . Evory eb yr yntef , y cai y glywet ef .
44:25:023:0	A’ thranoeth wedy dyvot Agrippa a’ Bernice a rhwysc mawr , a’ myned i mewn ir Orseð y gyd a’r pen‐capteinieit a’ phendevigion y dinas , wrth ’orchymyn Festus y ducpwyt Paul yno .
44:25:024:0	Ac y ’syganei Festus , A vrenhin Agrippa , a’ chvvithe pawp ys ydd yn presentol yma gyd a ni , ys gwelwch y dyn hwn , o bleit pa vn y galwodd oll tyrfa yr Iuddaeon arnaf , bop vn yn‐Gaerusalem , ac yma , gan arthlefain , na ddlei ef gael byw a vei hwy .
44:25:025:0	Er hyny ni vedreis i gael arnaw wneythy dim teilwng o angae : anid can ddarvot iddaw appelo at Augustus mi a verneis y ddanvon ef .
44:25:026:0	Am pa vn nid oes genyf ddim talgrwn yw escriveny at vy Arglwydd : erwyd pa bleit mi y dygais ef atoch , ac yn enwedic atta ti , Vrenhin Agrippa , yd pan yw yn ol darvot ei holi , gaffael o honof beth yw escrivenny .
44:25:027:0	Can ys anrysymol y tybiaf ddanvon carcharor , ac eb arwadocay yr achosion y cyhuddir ef .
