44:21:001:1	Pen . xxj .
44:21:002:1	5 Gweddi gyffredin y ffydddlonion . 8 Pedair merchet Philip yn propwytesse . 23 Dyvalder Paul yn dwyn y groes , val y rracðyvot Agabus ac eraill , cyd boed ei gyghori yn amgenach gā y broder . 28 Y dirvawr pericul y bu ef ynthaw , a’ pha vodd y diangawdd .
44:21:001:0	A’ Gwedy , daroedd y ni ddiangori , ac ymady ac wynt , ni a ddaetham yn vnion‐gwrs i ynys Coos , ar dyð nesaf i Rodos , ac o ddyno i Patara .
44:21:002:0	A’ gwedy i ni gahel llong y elei trosodd i Phoinice , ni aetham iddi , ac a hwyliesam ymaith ,
44:21:003:0	A’ gwedy ymðangos o ynys Cyprus , ni hei gadasam ar y llaw aswy , ac a hwyliasam tu a Siria , ac a diriasam yn‐Tyrus : o bleit yno y dilwythwyrhwyt y llong .
44:21:004:0	A’ gwedy i ni gaffael discipulon , nyni a drigesam yno saith diernot . Yr ei y ddywedesant i Paul trwy ’r Yspryt , nad elei i vynydd i Caerusalem .
44:21:005:0	Ac yn ol gorphen yr dyddiae hyny , ni a dynasam , ac aetham ymaith , ac wynthvvy oll a’ei gwragedd a’ei plant an hebryngesant yd y n yd aetham allan o’r dinas : ac estyngesam ar ein gliniae ar y lann ac a weddiasam .
44:21:006:0	Ac wedy daroedd y ni ymgydgyfarch , yr aetham ir llong , ac wynteu ymchwelasant adref .
44:21:007:0	Ac yn ol i ni gorphen hwyliaw o ywrih Tyrus , y descenasam yn Ptolomais , ac a gyfarchasam‐well ir broder , ac a drigesam vn diernot y gyd ac wynt .
44:21:008:0	A’ thranoeth , Paul a’r ei oedd gyd ac ef , a ðaetham i Caisareia : ac aetham y mewn y duy Philip yr Euangelwr , yr hwn ytoedd vn o’r saith Diacon , ac a arosam gyd ac ef .
44:21:009:0	Ac iddaw ydd oedd pedeir merchet o wyryfon , yn prophwyto .
44:21:010:0	Ac mal ydd oeðem yn aros yno lawer o ddyðiae yd aeth atam nep propwyt o Iudaia , aei enw yn Agabus .
44:21:011:0	A gwedy iddo‐ddyvot atam , e cymerth wregis Paul , gan rwymo ei ddwylo a’i draet ehun , ac a ddyvot . Hyn a ddywait yr Yspryt glan , Val hynn y bydd ir Iuðaeon yn‐Caerusalem rwymo y gwr biae yr gwregis hwn , a’i roddy yn‐dwylo y Genetloedd .
44:21:012:0	A’ gwedy clywed o hanam hynn yma , ys nyni ac ereill o ðyno a atolygesam iddo nad elei i vyny i Gaersalem .
44:21:013:0	Yno ydd atebawdd Paul ac y dyvot : Pa wylo a wnewch gā dori vy‐calon ? Can ys parawt wyf nid yn vnic y vot vy rhwymo , namyn hefyt i varw yn‐Caersalem er Enw yr Arglwydd Iesu .
44:21:014:0	A’ phryt na ellit troi ei veddwl , y peidiesam , gan ddywedyt . Poet ewyllys yr Arglwydd a vo .
44:21:015:0	Ac yn ol y dyddiae hynn y cymersam ein beichiae , ac ydd aetham y vynydd y Gaersalem .
44:21:016:0	Ac e ddaeth gyd a ni rei or discipulon o Caisareia , ac a dducesont gyd ac wynt vn Mnason o Cyprus , hen ddiscipul , y gyd a’r hwn y lletuyem .
44:21:017:0	A’ gwedy ein dyvot i Gaersalem , in derbyniawdd y broder yn llawen .
44:21:018:0	A’r dydd nesaf yd aeth Paul y mywn gyd a ni at Iaco : a’r oll Henafieit oeð wedy yr ymgynul’ yno .
44:21:019:0	A’ gwedy iddo ei cofleidiaw , y managawð mewn dosparth bop peth ar y wnaethoeddoedd Dew ym‐plith y cenetloeð drwy y , weinidogeth ef .
44:21:020:0	Velly pan glywsant hyny , y rhoddesont ’ogoniant ir Arglwydd , ac y dywetsont wrthaw : Ys gwely , vrawt , pa niver miloedd o’r Iuddaeon ys ydd yn credy , ac y maēt oll yn gwynvydy am Ddeddyf .
44:21:021:0	Ac wy a glywsant am danat , dy vot yn dyscu yr oll Iuddaeon , ys ydd ym plith y Cenetloedd , y ymwrthðot a’ Moysen , ac yn dywedyt , na ddlent anwaedy ar ei plant , na byw yn ol y devodae .
44:21:022:0	Pa beth gā hyny ’syð yw vvneythyr ? Dir iawn yw ymgynull o’r dyrva : can ys wy a glywant dy ddyvot .
