44:26:001:1	Pen . xxvj .
44:26:002:1	Gwiriondap Paul a welit wrth adrodd ei vuchedd , cymmedroldep ei atep wrth draha Festus .
44:26:001:0	YNo y dyvot Agrippa wrth Paul , e genietir yty ymadrodd droso tyhun . Velly Paul a estennodd ei law , ac a atepodd drosto ehū .
44:26:002:0	Ys dedwydd y tybiaf vy‐bot vyhun Vrēhin Agrippa , can y mi gahel atep heddyw geyr dy vron di , am bop peth im cyhuddir y gan yr Iuddaeon :
44:26:003:0	yn bēddivaddae , can dy vot ti yn gwybot o ywrth yr oll ddevodae , a’ chwestionae ’r ysydd ym‐plith yr Iuddaeon : erwydd paam , yr atolygaf yty , vy‐gwrandaw yn ddioddefgar .
44:26:004:0	Ac am vy‐buchedd om mabolaeth , a’ pha ryw wedd ytoedd hi or dechreat ym‐plith vy‐cenedlaeth vy hyn yn‐Gaerusalem , e wyr yr oll Iuddaeon ,
44:26:005:0	yr ei am adwaenēt gynt ( pe mynent testolaethy ) bot i mi yn ol y sect cynnilaf o’n creddyf vyw yn Pharisai .
44:26:006:0	Ac yr awrhon ydd wy yn sefyll ac im cyhuddir am obaith yr adewit a wnaed y gan Ddew i ein tadae .
44:26:007:0	At pa addevvit ein dauddec llwyth yn gwasanaethy Dew eb dorr ddydd a’nos , a ’obeithant ðyvot : er mwyn pa ’obeith , a Vrenhin Agrippa im cyhuddir y gan yr Iuddaeon .
44:26:008:0	Paam y tybir yn beth ancredadwy y genwch , bot y Ddew gyvody y meirw dragefyn ?
44:26:009:0	Mineu hefyd yn ðiau a dybiais yno vyhū , y dylewn wneythy llawer peth gwrth wyneb yn erbyn Enw yr Iesu o Nazaret .
44:26:010:0	Yr hynn beth a wnaethym i yn‐Caerusalem : can ys llawer o’r Sainct a ’orchaeais yn‐carcharoedd , can vot genyf awturtat o ywrth yr Archofferait : ac wrth ei divetha , y rhoddeis varn .
44:26:011:0	A’ mi y poeneis wy yn vynech drwy yr oll Synagogae , ac ei cympelleis i gably , a’ chan ynfydy ym‐pel’ach yn y herbyn wy , mi ei herlidiais , hyd ar ddinasoedd estrō .
44:26:012:0	Ac yn hynn , pan aethym i Ddamasco ac awturtawt , a’ chaniatat yr Archoffeiriait ,
