44:22:001:1	Pen . xxij .
44:22:002:1	3 Paul yn datcan hanas ei vuchedd , a’ei ddysceidaeth . 25 Ef e yn dianc rac ei chwipio , o erwydd ei vot yn ddinessydd Ruuainol .
44:22:001:0	HA wyr vroder , a’thadae , gwrandewch vy‐dadl y vvnaf yr owrhon wrthytch .
44:22:002:0	A’ phan glywsant mae yn y tavot Hebreo ydd oedd ef yn llavaru wrthynt , mwy o ’ostec a roddesont , ac ef ddyvot , )
44:22:003:0	Gwr yn ddiau yw vi , o Iddew , a’r anet yn‐Tarsus yn Cilicia , anid wedy’r vaethddrin yn y dinas hon wrth draet Gamaliel , ac wedy ’r addyscy yn ol perfeith Deddyf y Tadae , ac oeddwn vawr vy‐goglyt ar Ddew , val ac ydd ych chwitheu oll y dydd heddyw .
44:22:004:0	A’ mi erdlidiais y ffordd hon yd angae , gan rwymo a’ pheri rhoi a’ gwyr a’ gwragedd yn‐carchar ,
44:22:005:0	Megis ac y mae yr Archoffeiriat yn test ymy , a’r oll Henadurieth : y gan y’r ei hefyd yd erbyniais lythyrae at y broder , ac aethym i Damasco , y ðwyn yr ei oeðynt yno , yn rhwym i Gaerusalem , yw poeni .
44:22:006:0	¶ Ac e dderyw , val ydd oeddwn yn ymddeith ac yn dynesay at Ddamasco yn‐cylch hanner dydd , pan oedd yn ðysymwth dyscleiriaw or nef ’olauni mawr om amgylch ogylch .
44:22:007:0	Y n y ddygwyddeis i ar y ddaiar , ac a glyweis lef yn dywedyt wrthyf , Saul , Saul , paam ydd wyt im erlit ?
44:22:008:0	Yno ydd atebais inef , Pwy ytwyt Arglwydd ? Ac ef a ddyvot wrthyf , Mi yw Iesu o Nazaret , yr hwn yw ti yn ei erlit .
44:22:009:0	Ac wyntwy a’r oeddynt gyd a mi , a welsant yn wir y goleuni ac a ofnysont : eithyr ny chlywsant leferydd y neb oedd yn ymleferydd a mi .
44:22:010:0	Yno y dywedais i , Pa beth a wnaf Arglwydd ? A’r Arglwydd a ddyvot wrthyf , Cyvot , a’ does y Ddamasco : ac yno y manegir y‐ty am pop peth a ordeiniwyt yty yw wneythyr .
44:22:011:0	A’ phryt na vedrwn‐welet gan ’ogoniant y golauni hwnw , im tywysit erbyn vy llaw y gan yr ei oedd gyd a mi , ac a ddaethym i Ddamasco .
44:22:012:0	Ac vn Ananias gwr dwywol , herwyð y Ddeðyf ac iðo testolaeth da y gan yr oll Iuðeon oedd yn preswiliaw yno ,
44:22:013:0	a ddaeth ataf , ac a safodd , ac a ddyvot wrthyf , Y brawd Saul , cymer‐dy‐olwc : ac ys yr awr honno ydd edrycheis arno .
44:22:014:0	Ac ef a ddyvot , Dew ein tadae a racordeniodd yty , gael gwybot y veddwl ef , a’ gwelet y Cyfiawn hwnw , a’ chlywet y lleferydd ei enae .
44:22:015:0	Can ys byddy test iddaw wrth pop dyn , am y pethe , a weleist ac a glyweist .
44:22:016:0	Ac am hyny paam y trigy ? Cyvot , a’ baddier di , a’ golch ymaith dy bechotae , gan ’alw ar Enw yr Arglwydd .
44:22:017:0	Ac e ddarvu , gwedy y mi ddyvot drachefyn i Gaerusalem , a’ gwediaw yn y Templ , y n y vum om dieithyr vy hunan ,
44:22:018:0	a’ y welet ef yn dywedyt wrthyf , Bryssia , a’ thyn ymaith ar ffrwst ymaes o Gaerusalem : can na dderbyniant dy destoliaeth am danaf .
44:22:019:0	Yno y dyweis inef , Arglwydd , hwy a wyddant vy‐bot i yn carchary , ac yn bayddy ym‐pop Synagog yr ei a gredent yno ti .
44:22:020:0	A’ phan ddinëit gwaet dy verthyr Stephan , ydd oeddwn i hefyd yn sefyll gerllaw , ac a gydsynnyais aei varwolaeth , ac a gedwais ðillat yr ei oeð yn y llað ef .
44:22:021:0	Yno y dyvot ef wrthyf , Does ymaith : can ys mi ath ddanvonaf ym‐pell o ddyma at y Cenetloedd .
44:22:022:0	Ac vvy y gwrandawsant ef yd y gair hwn , anid yno yd erchafasant ei llefoedd , ac a ddywedesont , Ymaith a chyfryw ddyn o ddyar y ðaiar : can nat iawn ytyw i vyw .
44:22:023:0	A’ malydd oeddynt yn llefain ac yn tavlu ei dillat y am danynt , ac yn bwrw pridd ir awyr ,
44:22:024:0	y gorchymynawdd y pen‐Captaen vynet ac ef ir castell , ac archodd ei yskyrsio , a’ ei holi , er mwyn iddo gael gwybot am pa achos , y llefent velly arnaw .
44:22:025:0	Ac wrth y rwymo ef a chareiae , y dyvot Paul wrth y Canwriat , oedd yn sefyll gerllaw , Ai cyfreithlawn i chwi yskyrsio vn ’sy yn Ruueinwr ac eb ei varny ?
44:22:026:0	A’ phan glybu y Cannwriat , ef aeth , ac a vanagawð wrth y pen‐Captaen , gan ðywedyt , Gwyl beth a wnelych : can ys Ruuenydd yw ’r dyn hwn .
44:22:027:0	Yno yd aeth y pen‐Captaen , ac a dyvot wrthaw , Dyweit ymy , Ai Ruueinwr ytwyt ? Ac ef a ddyvot , Ie .
44:22:028:0	A’r pen‐captaen a attebawdd , A swmp mawr y daethym i y gael vwrdeisiaeth hon . Ac Paul a ddyvot , Eithyr velly im ganet i .
