44:15:001:1	Pen . xv .
44:15:002:1	Ymryson yn cylch yr
44:15:003:1	*
44:15:004:1	Circumcisio
44:15:005:1	enwaediat . Yr Apostolieit yn anvon ei dosparth at yr Ecclesi . Paul ac Barnabas yn precethy yn Antiocheia . Ac yn ymddidoli a ei gilydd o bleit Ioan Mark .
44:15:001:0	AC yno y descenawdd ’r ei o Iudaia , ac a ddyscesont y broder , gan ddyvvedyt . Addieithr bot eich enwaedy , herwydd Deddyf Moysen , ny ellwch vot yn cadwedic .
44:15:002:0	A’ phan ytoedd ymryson nyd bachan , ac ymddadlae gan Paul ac Barnabas yn y erbyn hwy , yno ordeiniaw a wnaethant i Paul ac Barnabas ac yr eill o hanynt , vyned i vynydd i Caerusalē , at yr Ebestyl a’r henafiait o bleit yr ymofyn hyn .
44:15:003:0	Yno wedy ei d’anvon wy ymaith gan yr Eccles , traweny a wnaethant trwy Phoinice , ac Samareia , gan vanegy ymchweliat y Cenetloedd : ac wy a dducesont lewenydd inawr ir oll vroder .
44:15:004:0	Ac pan ddaethant i Gaerusalem , ei d’erbyniwyt y gan yr Eccles , a’r Apostolion ar Henafieit , ac manegy a ’orugant pa pethae a wnaethai Ddew trwyddwynt vvy .
44:15:005:0	Eithyr eb vvynt , yr ei o sect y Pharisaiait , a’r oedd yn credy , a gyvodesont , gan ddywedyt , vot yn angenrait y enwaedy hwy , a’ gorchymyn yddvvynt gadw Deðyf Moysen .
44:15:006:0	Yno y daeth yr Apostolon ar Henafieit yn‐cyt , y edrych ar yr ymadrodd hwnn .
44:15:007:0	Ac wedy bot ymddadle mawr , y cyvodes Petr , ac y dyvot wrthwynr , Ha wyr vroder , chwi wyddoch ðarvot er estalm o amser , yn ein plith ni y Ddew vy n ethol i , yn y byðei ir Cenetloeð trwy vy‐genae glywet gair yr Euāgel , a’ chredy .
44:15:008:0	Ac Dew yr hwn a edwyn calonnae , a dduc testolaeth gyd ac wynt , gan roddi yddwynt vvy yr Yspryt glan , megis ac y gvvnaeth i nineu ,
44:15:009:0	ac ny wnaeth ef ddim gohanrhet y rhom ni ac wyntvvy , can darvot iddo drwy ffydd carthy ei calonnae .
