44:20:001:1	Pen . xx .
44:20:002:1	Paul yn mynet i Macedonia ac i
44:20:003:1	dir Groec
44:20:004:1	Grecia . Ef e yn arlwy swper yr Arglwyð ac yn precethy . Yn Troas y mae ef yn cyfody Eutychus . Yn Ephesus y mae ef yn calw llenafieit yr Eccles ynghyt , yn gorchymyn ceidwadigaeth devait Dew yddwynt , yn ei rhubyddio rac gan ddyscyawdwyr , yn cydwediaw ac wynt , ac yn myned mewn llong tu a Caerusalem .
44:20:001:0	AC wedy darvot yspeidiaw or derfysc , y galwodd Paul y discipulon ataw , ac y cofleidiawdd hwy , ac y tynnawdd ymaith y vynet i Macedonia .
44:20:002:0	Ac wedy iddaw vynet , trwy y parthae hyny , a’ ei h’annoc drwy lawer o ymadrodd , yd aeth ef i dir Groec .
44:20:003:0	Ac yn ol trigio ynavv dri‐mis , erwyð bot cynllwyn iðo gan yr Iuðeon , val yð oeð yn ei vryd vordwyo i Syria yr oeð ef yr vedr ddadymchwelyt trwy Macedonia .
44:20:004:0	A’ chyd‐ymddaith ac ef ir Asia a wnaeth Sopater y Beroiat , ac or Thessaloniceit , Aristarchus , ac Secundus , ac Gaius Dderbaiat , ac Timotheus , ac or ei or Asia Tychicus , ac Trophimus .
44:20:005:0	Yr ei hynn aethent o’r blaen , a’n aros a wnaethant yn‐Troas .
44:20:006:0	Ac nineu a vordwyesam ymaith y wrth Philippi , yn ol dyðiae yr bara croiw , ac a ðaetham atwynt i Troas ym‐pemp diernot , lle yr arosam saith dydd .
44:20:007:0	A’r dyð cyntaf or wythnos a’r discipulon wedy dyvot yn‐cyt y ddrylio bara , y precethawdd Paul yðwynt , ac ef ar vynet ymaith dranoeth , ac a barhaodd yn precethy y dan haner nos .
44:20:008:0	Ac ydd oedd llucernae lawer yn‐goruch‐ystafell , lle ydd oeddent wedy’r ymglascy yn‐cyt .
44:20:009:0	Ac eisteddawdd mewn ffenestr neb gwas ieuanc a’ ei enw Eutychus , wedy pwyso mewn trwmgwsc : ac val ydd oedd Paul yn hir precethy , ef e yn ’orthrwmedic gan hunaw , a ddygwyddodd i lawr or trydyðloft , ac a godwyt y vyny yn varw .
44:20:010:0	Ac Paul a ddescennawdd , ac a orweddawdd arnaw , ac ei coflleidiawdd , gan ddywedyt , Na chyffroet arnoch : can ys y mae ei enait ynthaw eto .
44:20:011:0	Velly yn ol esceny Paul drachefn , a dryllio bara , a’ bwyta peth , ef a hir ymddiddanawð yd ar glais y dydd , ac yno yð aeth ymaith .
44:20:012:0	Ac wy a dducesont y bachcen yn vyw , ac wy ddiddanwyt yn ddivesur .
44:20:013:0	Yno yr aetham ymaith ir llong , ac ir hwyliesam i ddinas Assos , er mwyn bot i ni dderbyn Paul yno : can ys velly y daroedd yddo arvaethy , a’ myny bot ehun yn peddit .
44:20:014:0	Ac wedy y ddyvot ef atom y y Assos , aei dderbyn o hanam , yd aetham i Mytelenes .
44:20:015:0	Ac mordwyaw a wnaetham o ddyno a’ dyvot tranoeth ar gyf‐or Chios , a’ thranoeth y tiriesam yn Samos , ac a drigesam yn Trogillium : y dydd nesaf yd aetham i Miletum .
44:20:016:0	Can ys darvot i Paul amcanu mordwyaw eb law Ephesus , erwydd na vynnai dreuliaw amser yn Asia : can ys brysiaw ydd oedd , a’s bai possibil iddaw , y vot yn‐Caerusalem , y dydd Pentecost .
44:20:017:0	Erwydd pa ble it , o Miletum yd anvonodd ef y Ephesus , ac y galwoð am Henafieit yr Eccles .
