44:5:001:1	Pen . v .
44:5:002:1	Poeni ffuc sancteiddrwydd Ananias ac Sappheira . Gwyrthiae y gan yr Ebestyl . Ei daly hwy , eithyr bot Aangel Dew yn ei dwyn allan o carchar . Ei cyffes hyderus geyr brvn y Cygcor . Cygcor Gamaliel Bayddy yr Ebestyl , a’ bot ei llewenydd y mewn trwbl .
44:5:001:0	A Rryw ’wr aei enw Ananaias , y gyd a Sapheira ei wraic , a werthesei berchenogaeth ,
44:5:002:0	ac a ddodes heibio bart o’r gwerth , a’ei wreic hefyt oei gytgycor , ac a dduc ryw gyfran , ac ei gesodes wrth draet yr Apostolon .
44:5:003:0	Yno y dyvot Petr , Ananias , paam y cyflawnodd Satan dy galon , yd pan yw yt y ddywedyt celwydd wrth yr Yspryt glan , a’ chadw ymaith gyfran , o werth y perchenogaeth ?
44:5:004:0	Tra ytoedd yn aros ith veddiant , anid tydi bioedd ? ac yn ol ei werthy , anid ytoedd yn dy veddiant ? paam y gesodeist y peth hyn yn dy galon ? Ny ddywedeist gelwyð wrth ddynion , amyn wrth Ddew .
44:5:005:0	A’ pan glybu Ananias y geiriae hyn , y cwympodd y lawr , ac y diffoddes . Y no y daeth ofn mawr ar pavvb ol’ a glywoð hyn yma .
44:5:006:0	A’ chyvody or gwyr ieuainc , a’ ei gymeryd i vyny , a’ ei ðwyn allan aei glaðy .
44:5:007:0	Ac e ddeðyw megis ar ben yspait teirawr gwedy , bot yð y wreic ef ðyvot y mewn , eb wybot y peth a wnaethoeddit .
44:5:008:0	Ac Petr a ddyvot wrthei , Dywait i mi , a werthesoch chwi yr tir er cymmeint ? A’ hithe ddyvot , Do , er cymmeint .
44:5:009:0	Yno y dyvot Petr wrthei , Paam y darvu y chwy gytuno yn eich plith i tempto Yspryt yr Arglwydd ? nachaf , draet yr ei a gladdesont dy ’wr ynt wrth y drws , ac vvy ath cyhebryngant ti y allan .
44:5:010:0	Ac yn ddiannot y dygwyddawdd i lawr wrth y draet ef ac hi diffoddes : dyvot o’r gwyr ieueinc y mewn , a’ ei chael yn varw , a’ ei dwyn allan , a’ hei chlaðy geir llaw hei gwr .
44:5:011:0	Ac dyvot ofn mawr ar yr oll Eccles , ac yr oll ’r ei ’ry glywsent y pethae hyn .
44:5:012:0	Ac val hyn drwy ddvvylaw yr Apostolon y dangosit llawer o arwyddion a’ thra rryveddodae ym‐plith y popul ( ac ydd oeddent oll yn vnvryt ym‐porth Selef . Yr Epistol ar ddydd S . Bartholomeus .
44:5:013:0	Ac o’r lleill ny veiddiai nep ymwascy ac wynt : er hyny yr popul y mawrygei hwy .
44:5:014:0	Hefyt , lliaws y rei oedd yn credy yn yr Arglwydd , ac yn wyr ac yn wrageð oedd yn tyfu vwywy , )
44:5:015:0	yd pan ðugent y cleifion i’r heolyð , aei gesot mewn gwelyae a’ glwthae , y ny bei pe gwascot Petr , wrth ddyvot heibio , wascodi rryw vn o hanwynt .
44:5:016:0	Ac e ddaeth hefeit lliaws allan or dinasoedd o y amgylch i Caerusalem , gan ddwyn , ’r ei afiach , a’ rei a gythrwblit gan yspryton aflan , ac y iacheit wy oll .
44:5:017:0	Yno y cyvodes yr Archoffeiriat , a’r oll ’rei oedd gyd ac ef ( yr hwn ytoedd sect y Tsadduceit ) ac yð oeddynt yn llawn bocsach ,
