44:18:001:1	Pen . xviij
44:18:002:1	Paul yn llauurio a’ei ddwylaw , ac yn precethy yn Corinthus Y vot ef yn ateas gan yr Iuddaeon . Ac eto bot llawer yn y dderbyn ef . Ac iddo cahel diddanwch gan yr Arglwydd . Gullio yn gommedd ymmur ar y creddyf . Aðunet Paul . Y ffyð ef yn racweledigaeth Dew , A’i ’ofal ef dros y broder . Moliant Apollos .
44:18:001:0	YN ol y pethe hyn , y dychwelawdd Paul o Athenas , ac y daeth y Corinthus ,
44:18:002:0	ac y cafas nebun Iddew , aei enw Aquila , y anesit ym‐Pontus , wedy dyvot yn hwyr o amser o’r Ital a’ ei wraic Priscilla ( can ys gorchymynesei Claudius bot ir oll Iuddaeon ady Ruuain ) ac ef a ddaeth atwynt .
44:18:003:0	A’ chan y vot or vn gelfyddyt , ef a arhoesodd y gyd ac wynt , ac a weithiawdd ( can ys ei celfyddytt ytoedd gwneythyr pebyllion . )
44:18:004:0	Ac ef a ymðadleuoð yn y Synagog pop dydd Sabbath , ac annoc a wnaeth ef yr Iuddaeon , a’r Grocieit .
44:18:005:0	A’ phan ddaethesei Silas ac Timotheus o Macedonia , yð ymloscoð Paul yn yr yspryt , gan testiaw ir Iuddeon may Iesu ytoeð y Christ .
44:18:006:0	Ac wrth vynd o hanwynt wy y wrthladd ac y gably , ef a yscytwodd ei ddillat , ac a ddyvot wrthwynt , Bit eich gwaet ar vvartha eich pēn eich hunain : ys glā vyvi : yn ol hynn ydd af vi at y Cenetloedd .
44:18:007:0	Ac ef a ysmutawdd o ddyno , ac a aeth y mewn y duy neb vn , y enwit Iustus , y oedd yn addoly Dew , yr hwn oeð ei duy yn cyssyllty a’r Synagog .
44:18:008:0	Ac Crispus yr archsynagogwr , a gredawdd yn yr Arglwydd a’ ei oll duylu : a ’llawer o’r Corinthieit wrth ei glywet , a gredesont ac a vatyddiwyt .
44:18:009:0	Yno y dyvot yr Arglwydd wrth Paul yn y nos trwy weledigaeth . Nag ofna , eithyr ymadrodd , ac na thaw‐son .
44:18:010:0	Can ys myvi ys y gyd a thi , ac ny ’osyt nep arnat y wneythy r eniwet yty : erwyð y mae i mi popul lawer yn y dinas hon .
44:18:011:0	Ac velly e drigawdd ynaw vlwyddyn ac chwech mis , gan ðyscy yddvvynt gair Dew yn ei plith .
44:18:012:0	Yn awr pan oeð Gal‐lio yn Raglaw yr Achaia , y cyvodes yr Iuddeon o vnveðwl en erbyn Paul , ac ei ducesont ir vrawdle ,
44:18:013:0	gan ddywedyt , Y mae yr dyn hwn yn annoc y dynion y addoli Dew yn erbyn y Ddeddyf .
44:18:014:0	Ac val ydd oedd Paul ar gyngyt y agory ei enae , y dyvot Gallio wrth yr Iuddaeon , Petei am vvneythy’r cam , ai drucweithred , a Iuddeon , erwydd rheswm eich gwrandawn :
44:18:015:0	eithyr a’s gorchest yw am ymadrodd , ac enwae , ac o eich Deddyf , edrychwch eich hunain arnavv : can na bydda vi vrawdwr ar y pethae hynny .
44:18:016:0	Ac ef y gyrawdd hwy ywrth y vrawdle .
44:18:017:0	Yno y Groegwyr oll a gymersont Sosthenes yr Archsynagogwr , ac ei baeddesont ger bron y vrawdle : ac nid oedd Gallio yn gofaly am ddim o’r pethae hynny .
44:18:018:0	Ac wedy i Paul aros yno rac llaw niver da o ddydiae , ef a ganawdd yn iach ir broder , ac avordwyawdd i Syria ( ac cyd ac ef Priscilla ac Aquila ) gwedy iddaw gneifio ei benn yn Cenchrea : can ys eiddunet oedd ganthaw .
44:18:019:0	Yno yd aeth ef i Ephesus , ac y gadawdd wynt ynaw : ac ef e aeth y mywn ir Synagog ac a ddadleuodd a’r Iuddaeon .
44:18:020:0	Ac wy ddeisyfesont arnaw aros y gyd ac wynt amser a vei hwy ac ny chydsynniawdd ef ,
44:18:021:0	anid cany yn iach yddwynt , gan ddywedyt , Y mae yn angenrait i mi gadw yr wyl hon ’sy yn dyvot yn‐Caerusalem : eithr mi ymchwelaf atoch dragefyn , gyd ac ewyllys Dew . Ac velly yr hwyliawdd ef o ywrth Ephesus .
44:18:022:0	A’ phan ðescenawdd ef y Caisareia , ef a escennodd y vyny y Caerusalem , ac wedy iddaw gyfarch‐gwell ir Eccles , e ddescennawdd i Antiocheia .
44:18:023:0	Ac wedy iddo drigo ynavv amcan o amser , ef aeth ymaith , gan orymddeith drwy Galatia ac Phrygia erwydd cylchgrefn , gan gadarnhay yr oll discipulon .
44:18:024:0	Ac nebun Iuddew , Apollos ei enw , a’r a anesit yn Alexandria , a ðaeth i Ephesus , gvvr hyawdyl a’ nerthawc yn yr Scrythurae .
44:18:025:0	Hwn oedd wedy ei addyscy ar ffordd yr Arglwydd , ac a ymðiddanawdd yn vrwd yn yr Yspryt , ac a ddyscawð yddvvynt yn ddiyscaelus bethae yr Arglwyð , ac nywyddiat amyn Batydd Ioan yn vnic .
44:18:026:0	Ac ef a ðechreawdd ymadrodd yn hyf yn y Synagog . Yr hwn pan glywsant Aquila ac Priscilla , wy y cymersont ef atwynt , ac a esponiesont iddaw ffordd Ddew yn berffeithiach .
44:18:027:0	Ac pan ydoedd ef aei vryt ar vynet i Achaia , y broder yn y annoc ef , a yscrivenesont at a discipulon y ew dderbyn : ac wedy yddaw ddyvot yno , ef gymporthodd yn vawr yr ei a gredesynt drwy ’rat .
44:18:028:0	Can ys argyhoeddoð ef yn ddirving yr Iuddaeon , ar ’oystec yn drach‐chwyrn , can ddangos wrth yr Scrythurae , mae Iesu oedd y Christ .
