44:1:001:1	Pen . j .
44:1:002:1	Gairiae Christ a’ ei Angel wrth yr Ebestyl . Ei Escenniat . Pa beth ydd oedd yr Apostolion arnaw yd pan anvonet yr Yspryt glan . Ac am ethol Matthias .
44:1:001:0	Y Traethawt vchod , a Theopilus , a wnaethym am yr oll pethae’ry ddechreawð Iesu ei gwneythyd , a’ ei dyscy ,
44:1:002:0	yd y dydd y derchafwyt e i vynydd , gwedy yddaw trwy yr Yspryt glan , roddi gorchymyn ir Apostolon , y ddetholesei ef :
44:1:003:0	i ba’r ei hefyt yr ymddangosawdd ehun yn vyw , gwedy iddaw ddyoddef , trwy lawer o argyhoeddion , a’ bot yn weledic yddynt tros yspait dauugain diernot , can cympwyll vvrthyn am y pethae ’r y perthynant ar deyrnas Dew .
44:1:004:0	Ac wedy iddaw ei cynnull vvy yn‐cyd , ef ’orchymynoð yddwynt , nad elent ymaith o Gaerusalem anid ysgwyl am addewit y Tad , yr hwn , eb ef , a glywsoch y cenyf’ .
44:1:005:0	Can ys Ioan yn ddiau a vatyddiawdd a dwfr , a’ chwitheu a vatyddier a’r Yspryt glan cyn pen ny‐mawr o ddyddiae .
44:1:006:0	Gwedy gan hynny y dyvot wynteu yn‐cyd , y govynesont iddo , gan ðywedyt , Arglwydd , ai ’r amser hyn yr advery y deyrnas ir Israel ?
44:1:007:0	Ac ef a ðyvot wrthynt , Nid yw ychwy wybot yr amserae , nai yr prydiae ’r ei ’osodes y Tat yn ei veddiant ehun :
44:1:008:0	eithyr chwi dderbyniwch nerth y gan yr Yspryt glan , gwedy yd el ef arnoch : a’ chwi vyddwch testion ymy , ys yn Gaerusalem , ac yn yr oll Iudaia , ac yn Samareia , ac yd yn eithawedd y ddaear .
44:1:009:0	Ac ’wedy yddaw amadrodd y pethae hyn , ac wyntwy yn tremyaw , yd erchafwyt ef y vynydd : ac wybren y cymerawdd ef i vynydd o’i golwc vvy .
44:1:010:0	Ac mal ydd oeddent yn edrych yn ddyval parth ar nef , ac ef yn mynet , wele , y safai dau wr , wrthynt mewn gwisc ganneit ,
44:1:011:0	yr ei ac a ddywesont , Ha wyr o’r Galilaia , pa sefyll ydd ych yn tremiaw tu ar nef ? Yr Iesu hwn yr vn y gymerwyt y vynydd y wrthych ir nef , a ddaw velly , yn y modd y gwelsoch ef yn mynet ir nef .
44:1:012:0	Yno ydd ymchwelesont y Gaerusalem o y wrth y mynydd y elwir mynydd Olivar , yr hwn ’sydd yn agos i Gaerusalem , ys ef yspait ymddaith diernot Sabbath .
44:1:013:0	Ac wedy y dyvot vvy y mewn , yð aethant i vynydd i ’orchystavell , lle ydd arosent ac Petr , ac Iaco , ac Ioan , ac Andreas , Philip , ac Thomas , Bartholomeus , ac Mattheus , Iaco vap Alpheus , ac Simon Zelotes , ac Iudas bravvd Iaco :
44:1:014:0	yr ei hynn oll oedd yn ymaros yn vnvryt yn‐gweddi a’ goglyt y gyd a’r gwragedd , a’ Mair vam yr Iesu , ac y gyd ei vroder . Yr Epistol ar dydd . S . Mathias
44:1:015:0	A’r dyddiae hyny y cyuodes Petr i vynydd yn‐cenol y discipulon ac y dyvot , ( a’ niuer yr enwae oedd yn yr vn lle , ytoedd yn‐cylch cant a’r vgain )
44:1:016:0	A wyr vroder , yð oeð yn ddir cyflawny yr Scrythur hynn , yr vn a rac ddyvot yr Yspryt glan trwy enae Dauid am Iudas , yr hwn a vu dywysawc ir ei a ddaliesont yr Iesu .
44:1:017:0	Can ys cyfrifit ef gyd a ni , ac a gawsei ged yn y weinidogaeth hynn .
44:1:018:0	Ac ef gan hyny a ddarpar awdd vaes a gobr enwiredd : a’ gwedy yddaw , ymgrogy ef aeth yn yn ddauddryll yn ei genol , a’ ei oll ymyscaroedd a dywalltwyt .
44:1:019:0	Ac y mae yn wybodedic y gan oll preswylwyr Caerusalem , yd pan elwir y maes hwnw yn ei tavodiaith wy , Aceldama , ys ef yw hyny , Maes y gwaet .
44:1:020:0	Can ys e yscrivennir yn llyfer y Psalmae , Bit y breswylfa ef yn ddiffaith ac na thriget nep ynthaw : ac , bit i arall gymeryt ei , escopaeth ef .
44:1:021:0	Erwydd paam o’r gwyr hyn a vu yn cymdeithas a nyni , yr ol’ amser y bu yr Arglwyð Iesu yn tramwy in plith ,
44:1:022:0	gan ddechry o Vatydd Ioan , yd y dydd yd erbyniwyt ef i vynydd o ywrthym , y bydd dir bot vn o hanwynt yn test oy gyfodiat ef .
44:1:023:0	Ac wy a’ osodesont ddau gerbron , ys ef , Ioseph y elwit Barsabas , a’ ei gyfenw ytoedd , Iustus , ac Matthias .
44:1:024:0	A’ gweddiaw a wnaethant gan ddywedyt , Tydy Arglwydd calon‐wybedydd pop dyn , dangos pa vn o’r ddau hynn a ddetholeist
44:1:025:0	modd y gallo dderbyn ced y wenidogaeth hyn ar Apostoliaeth , y wrth pa vn y camdroses Iudas i vynet y ei le ehun .
44:1:026:0	Yno y dodesont goelbrenni , a syrthio yr coelbren ar Matthias , ac o gydsyniat y cyfniferwyt ef gyd a’r vn ar ddec Apostolon .
