44:13:001:1	Pen . xiij .
44:13:002:1	Bod galw Paul a’ barnabas y precethy ymplith y Cenetloeð . Am Sergius Paulus , ac Elymas y swynwr . Ymadawiat Marc . Paul yn precethy yn Antiocheia . Fyðd y Cenetloedd . Bod gwrthðot yr Iuddaeon . Bod y sawl a ordeiniwyt i vywyt , yn credy . Frwyth ffydd .
44:13:001:0	YDd oedd hefyt yn yr Eccles ytoedd yn Antiocheia , Prophwyti ’rei a’ dyscyawdron , megis Barnabas , ac Simeon y elwit Niger , a ’Lucius o Cyrene , ac Manahen ( yr hwn y ddaroedd ei gyd vaethrin gyd ac Herod y Tetrarch ) ac Saul
44:13:002:0	Ac mal ydd oeddent wy yn gweini ir Arglwydd , ac yn vmprydiaw , y dyvot yr Yspryt glan , Didolwch i mi Barnabas ac Saul , ir gwaith y gelwais am danwynt .
44:13:003:0	Yno ydd vmprydiesont , ac y gweðiesont , ac y dodesont ei dwylaw arnaddvvyynt , at y gellyngesont yvv hynt .
44:13:004:0	Ac wynte wedy ei d’anvon ymaith y gan yr Yspryt glā , aethan y wared y Selcucia , ac o ddyno mordwyaw a’ orugant y Cyprus .
44:13:005:0	Ac pan oeddent yn Salamis , y precethesant ’air Dew yn Synagae yr Iuðeon : ac ydd oedd Ioan hefyt yn wenidawc yddvvynt .
44:13:006:0	Ac wedy yddwynt gerddet dros yr ynys yd yn Paphus , wy a gawsant ryw swynwr , gau prophwyt , o Iddew , a’ei enw Bariesus ,
44:13:007:0	yr hwn ytoeð y gyd a’ Raglaw Sergius Paulus , vn oedd wr prudd . Ef e a ’alwodd‐ato am Barnabas ac Saul , ac a ddesyfawdd cael clywet gair Dew .
44:13:008:0	Ac Elymas , y swynwr ( can ys velly ytyw ei enw oei ddeongyl ) a wrthladdawdd yddwynt , gan geisiaw d’atroi y Raglaw o’r ffydd .
44:13:009:0	Yno Saul ( yr hvn hefyt a elvvir Paul ) yn gyflawn or Yspryt glan , a hylldremiawdd arnaw ,
44:13:010:0	ac a ddyvot , A gyflawn o bop dichell a’ phop twyll , map diavol , a’ gelyn pop cyfiawnder , a ny pheidy a dychwelyd vnion ffyrdd yr Arglwydd ?
