44:27:001:1	Pen . xxvij .
44:27:002:1	Mor peryglus vu
44:27:003:1	*
44:27:004:1	sivvrnai
44:27:005:1	taith Paul ai gyfeillion parth a Ruuein . Pa wedd a’ pha le ei tiriasont .
44:27:001:0	GWedy daroedd yddynt gytvarny , y ni hwylio ir Ital , hwy a roðesant bob un Paul , a’rryw garcharorion ereil’ at Gānwriat aei enw Iulius o gatyrva Augustus .
44:27:002:0	A’ dringo a wnaethom i long o Adramyttium ar vedr hwyliaw ar dueðae yr Asia , ac a dynasō ymaith , ac Aristarchus or Macedonia o vvlad Thessalonia , oedd gyd a ni .
44:27:003:0	A’r dydd nesaf y tiriesam yn Sidon : ac Iulius a ymdduc yn ddyngar wrth Paul , ac a roes iðaw ryðdit i vynet at ei gereint , y gahel ced ganthwynt .
44:27:004:0	Ac o ddyno y moriesam , ac yr hwyliesam eb law Cyprus , erwydd bot y gwyntoedd yn wrthwynep .
44:27:005:0	A’ gwedy traweny o hanam dros y mor ger llaw Cilicia ac Pamphylia , a’ dyvot i Myra , dinas yn Lycia :
44:27:006:0	ac yno cahel or Cannwriat long o Alexandria , yn hwyliaw ir Ital , ac a’n gosodes ynthei .
44:27:007:0	A’ gwedy y ni hwyliaw yn llusgenaidd dros lawer o ddyddiae , ac o vraidd dyvot gar llaw Gnidum , can vot y gwynt in lluddiaw , hwylio a wnaetham yn‐goror Candi , gar llaw Salmone ,
44:27:008:0	ac o vreidd yr hwyliesam hebddei , ac a ddaetham i ryw le elwit y Porthlaðoeð prydferth , ac yn gyfagos iddaw ydd oedd dinas Lasaia .
44:27:009:0	Velly wedy cerddet llawer o amser , ac yn awr bot moriaw yn periclus , can ddarvot hefyt amser yr vmpryt , Paul y cygcorawdd hvvy ,
44:27:010:0	gan ddywedyt wrthynt , Ha‐wyr , mi welaf y byð yr hynt hon gyd a sarhaed ac eniwed mawr , nid am y llwyth a’r llong yn vnic , anid am ein eneidiae hefyt .
44:27:011:0	Er hyny y gyd mwy y credei y Cannwriat ir llywydraethwr a’r llong-lywydd na’ ar pethae y ddywedesit gan Paul .
44:27:012:0	A’ phryt nad oedd y porthladd yn aðas y ’ayafy yntho , llawer a gymersont yn ei cygor , voriaw o ddyno , a’s gallent mewn ryw vodd ddyvot hyd yn Phoinice a’ gayafy yno , yr hwn ’sy porthladd yn‐Candi , ac y’sydd ar gyfor Deau‐’orllewyn a’r Gogledd ’orllewin .
44:27:013:0	A’ pan chwythawð awel vach o ddeheuwynt , wyntwy yn tybieit caffaei pwrpos , a ddatdodesont i Asson , ac a hwyliasont eb law Candi .
44:27:014:0	Eithyr cyn pen ne‐mawr o amser , e gyvodes yn ei hemyl rhyvelwynt y elwir Euroclydon .
44:27:015:0	A’ phan attelit y llong , ac na allai wrthladd y gwynt , ni adawsam yddi borthi yr mor , ac in arweddwyt ymaith .
44:27:016:0	A’ gwedi yni redec goris ynys vach a elwit Clauda , braidd y gallesam gahel ir bad ,
44:27:017:0	yr hwn a dderchafesont i vyny , ac arveresont o bob canhorthwyon , gan gyl‐chy y llong o ddydenei , ac ofny a wnaethāt rac syrthio mewn Syrtis , a gadael y llestr i waeret , ac velly y ducpwyt hwy .
44:27:018:0	A’r dydd nesaf gwedy cyvodi morgymladd ddirvawr arnam , y diyspyddesont wy yr llong :
44:27:019:0	a’r trydydd dydd y bwriesam an dwylaw ein hunain daclae y llong allan o hanei .
44:27:020:0	Ac pryd na welit na’r haul na’r ser dros liaws o ddyddiae , a’ thempestl nyd bychan oedd ar ein gwartha , ys daroedd trosgwyddo oll ’obeith bywyt o ddyarnam .
44:27:021:0	Eithyr yn ol hir ddirwest , y safodd Paul yn y canol hwy , ac a ðyvot , Ha‐wyr , chvvi ðylysech wrandaw aruavi a’pheidio a datdot o ywrth Cādi , ac yno y diēgesech rac y sarhaed a’r gollet yma .
44:27:022:0	Ac yr awrhon ydd eiriolaf arnoch vod yn dda ei cyssir : can na chollir vn map eneit dyn o hanoch , amyn y llong yn vnic .
44:27:023:0	Can ys safawdd gar fy llaw y nos hon Angel Dew , yr hwn am piae , ac ydd wyf yn ei wasanaethy ,
44:27:024:0	gan ddywedyt , Nac ofna Paul : can ys dir yw dy ðwyn gerbron Caisar : a’ nachaf y rhoddes Dew yty yr oll rei ’sydd yn moriaw gyd a thi .
44:27:025:0	O bleit paam , ha‐wyr , byddwch lew‐eich‐calon , can ys credaf Ddew , mae velly y bydd yn y moð ac y dywetpwyt ymy .
44:27:026:0	Eithyr dir yw ein tavly i nebun ynys .
44:27:027:0	A’ gwedy dyvot y petwaredd nos ar ddec , mal ydd oeddem yn bwhwman yn y mor Adrial yn‐cylch haner nos , y tybrawdd y morinwyr nesau o ryw wlat yddwynt ,
44:27:028:0	ac a sowndiasont , ac ei cawsont yn vcain ’wrhyd o ddyfnder : a’ gwedy myned ychydic pellach , sowndio drachefn a wnaethant a’ ei gael yn pempthec ’wrhyd .
44:27:029:0	Ac wy yn ofny rac syrthio mewn ryw leoedd geirwon , bwrw a wnaethant pedair ancor allan o’r parth‐ol‐ir‐llong , gan ddamunaw gwawrio o’r dydd .
44:27:030:0	Ac mal ydd oedd y llongwyr yn ceisiaw ffo allan o’r llong , a’ gwedy gellwng bad i wared i’r mor , mal petyssent ar veidr bwrw ancorae allan o’r pen‐blaen ir llong ,
44:27:031:0	y ’syganei Paul wrth y Cannwriat a’r milwyr . A’ ddieithyr ir ei hyn aros yn y llong . ny ellw‐chwi vot yn gadwedic .
44:27:032:0	Yno y torawdd y milwyr raffae yr bat , ac y gadaosont yddaw ddygwyddaw ymaith .
44:27:033:0	A’ gwedy dechrae y bot hi yn ddydd , yr eiriolawdd Paul ar bawp gymeryt bwyt , gan ddywedyt , Llyma ’r pedwerydd dydd ar ddec ydd arosoch , ac y parhaesoch yn ymprydiaw , eb gymeryt ddim llunieth .
44:27:034:0	Am hyny yð eiriolaf arnoch gymeryt bwyt : can ys lly’ma eich iechyt : o bleit ny ddygwydd vn blewyn y ar ben yr vn o hanoch .
44:27:035:0	A’ gwedy iddaw ddywedyt hynn , y cymerawdd vara , ac y diolchawdd i Ddew , yn‐golwc pavvp oll , ac ei drylliawdd , ac a ddechreawdd vwyta .
44:27:036:0	Yno y siriod pawp , ac y cymersont vvythe vwyt hefyt
44:27:037:0	Ac ydd oedd o hanam y gyd oll yn y llong ddaucant , trivgain ac vn ar pemthec o eneidiae .
