44:2:001:1	Pen . ij .
44:2:002:1	Yr Apostolon wedy d’erbyn yr Yspryt glan , a barawdd yr ai gwrandoent chwitho a’ sanny . Gwedy daroeð i Petr ’oystegy yr gwatworwyr , mae yn dāgos trwy weledic rade yr Yspryt glan bot Christ wedy dyvot . Ef yn batyðio llawereð ys yð wedy’r ymchoelyt . Am weithredeð da , a’chariat perfeith , ac am amryw rinvoeddae da yr ei ffyddlon .
44:2:001:0	A Gwedy dyvot y dydd Pentecost ydd oeddent wy oll yn vnvryd yn yr vn lle .
44:2:002:0	Ac yn ðysyfyt yd euth sain o’r nef , mal gwth gwynt agwrdd , ac a lanwodd yr oll tuy lle ydd oeddent yn eistedd .
44:2:003:0	Ac yðwynt ymðangosawð tafodae gohanedic , mal o tan , ac ef eisteddodd ar pop vn o hanynt .
44:2:004:0	Ac wy y gyflawnwyt oll o’r Yspryt glan , ac a ddechreusont ymadrodd a thavodae ereill , megis y rroddes yr Yspryt yddynt y ymadrawdd .
44:2:005:0	Ac ydd oedd yn preswiliaw yn Caerusalem Iuðaeon , gwyr ai goglyt ar Ddew , o pop cenetl y dā y nef .
44:2:006:0	A’ gwedy bot son o hyn yma ar lled , y daeth y lliaws yn‐cyd , ac y sannawdd arnynt , o bleit bot pawp dyn yn y clywet wy yn ymadrodd yn ei davodiaith ehun ,
44:2:007:0	Ac aruthro o pawp , a’ rryveddy , gan ddywedyt yn ei plith , Nacha , anid hanyw’r ei hyn oll ys y yn dywedyt , o’r Galelaia ?
44:2:008:0	A’ pha wedd y clywn ni pop vn ein tavodiaith ein hunain in ganed ynthi ?
44:2:009:0	Parthieit ac Medieit , ac Elameteit , a’ phreswylwyr Mesopotamia , ac o Iudaia , ac o Cappadocia , o Pontus , ac Asia ,
44:2:010:0	ac Phrygia , ac Pamphilia ac Egypt ac o barthae Lybia , yr hon ’sy gar llaw Cyren , ac dieithreit o Runeinvvyr , ac Iuddaeon , ac proselyteit ,
44:2:011:0	Creteit ac Arabieit : ni ei clywsam yn amadrodd yn ein tavodae ein hunain vawrion bethæ Dew .
44:2:012:0	Yno aruthro a wnaeth ar bawp , a’ rhyveddy , gan ddywedyt vn wrth y llall , Pa beth a allei hyn vot ?
44:2:013:0	Ac ereill a watworynt , gan ðywedyt Llawn o win newydd ytynt .
44:2:014:0	Eithr Petr yn sefyll y gyd ar vn ar ddec , a dderchavawdd ei lef , ac a ddyvot wrthwynt , Ha wyr Iuddeon , a’ chwychwy oll’sy yn trigiaw yn‐Caerusalem , bid hyn wybodedic ychwy , a’ chlustymwrandewch a’m geiriae .
44:2:015:0	Can nad yw yr ei hyn yn veddwon , val ydd yw chwi yn tybyeit , o bleit nid yw hi anid y drydedd awr o’r dydd .
44:2:016:0	Eithr hynn yw’r peth y ddywetpwyt y gan y Prophet Ioel : ys ef ,
44:2:017:0	Ac e vydd yn y dyddiae dywethaf , með Dew , mi ddineaf o’m Yspryt ar bop cnawd , a’ch meibion , ach merchet a prophwytant ach gwyr‐ieuainc a welant welodiagethae , a’ch henafgwyr a vreuddwydiant vreuddwydion .
44:2:018:0	Ac ar vy‐gweison , ac ar vy llawvorinion y dineaf o’m Yspryt y dyddiae hyny , ac wy a prophetant .
44:2:019:0	A’ dodaf ryveddodae yn y nef vchod , ac arwyddion yn y ðaiar isod , gwaed a’ than , a mug‐darth .
44:2:020:0	Yr haul a ymchwelir yn dywyllwch , a’r lloer yn waet , cyn nac ir dydd hwnw mawr ac eglur yr Arglwydd ddyvot .
44:2:021:0	Ac e ddervydd , i bwy pynac a alwo ar Enw yr Arglwydd , gahel bot yn gatwedic .
44:2:022:0	Ha wyr Israelieit , clywch y geiriae hynn , Iesu o Nazaret , gwr provedic gan Ddew yn eich plith a gweithredoedd‐nerthawl , a’ rryveddodae , ac arwyddion , yr ei y wnaeth Dew drwyddaw ef yn eich canol chvvi , megis ac y gwyddo‐chwi eich hunain :
