44:9:001:1	Pen . ix .
44:9:002:1	Ymchoeliait Saul ir ffydd . Ei alwedigaeth ir Apostoliaeth . Maint ei wynfyt y ddylyn ei swyð . Pa weð y diangoð rac brade yr Iuðeō . Ei vynediat at yr Apostoliō . Llwyddiaint yr Eccles . Petr yn iachay Eneas , Yn cyvody Tabitha . Yn troi llaweroedd at Christ . Ac yn lletuya yn‐tuy barker :
44:9:001:0	AC Saul eto yn chwythy bygythiae a’ lladdfa yn erbyn discipulon yr Arglwydd , aeth at yr Archoffeiriat ,
44:9:002:0	ac archodd lythyrae ganthaw ir Damasco at y Synagogae , a chaffaei ef neb rei oedd or ffordd honno ( ai yn wyr ai yn wragedd ) vod iddo y dwyn hwy yn rhwym i Gaerusalem .
44:9:003:0	Ac mal ydd oedd ef yn ymddaith , e ðarvu val y dynesaawdd ef ar Ddamasco , yn ddisyvyt y llewychawdd oei amgylch ’olauni or nef ,
44:9:004:0	Ac ef a gwympodd ar y ddaiar , ac a glywodd lef , yn dywedyt wrthaw , Saul , Saul , paam im erlydi ?
44:9:005:0	Ac ef a ddyvot , Pwy ytwyt Arglwydd ? A’r Arglwydd a ddyvot , Mi yw Iesu yr hwn a erlydi di : calet yw yty wingo yn erbyn y swmbylæ .
44:9:006:0	Efe yno ac yn echrynedic ac yn synn , a ddyvot , Arglwydd , Pa beth a vynny i imi ei wneythyd ? A’r Arglwydd a ddyuot wrthaw , Cyvot a does ir dinas , ac e ddywedir yty pa beth vydd dir yty ei wneythyd .
44:9:007:0	A’r gwyr oedd yn cydymddeith ffordd ac ef , a safasant wedy sanny , gan glywet y llef , ac eb yddwynt welet nebun .
44:9:008:0	Ac Saul a gyvodes o yar y ddaiar , ac a gores ei lygaid , ac ny welawð ef vndyn . Yno yr arwenesant ef erwydd ei law , ac ei ducesont y Damasco .
44:9:009:0	Ac yno y bu dri‐die eb welet , ac eb bwyta nac yfet .
44:9:010:0	Ac ydd oeð nep discipul yn Damasco ’r y elwit Ananias , ac wrthaw y dyvot yr Arglwydd drwy weledigaeth , Ananias , ac ef a ddyvot , Wele , d’yma vi Arglwydd .
44:9:011:0	Yno y dyuot yr Arglwydd wrthaw , Cyvot , a’ cherða ir heol y elwir Vnion , a’ chais yn‐tuy Iudas vn aei enw Saul o ddinas Tarsus : can ys wele y mae ef yn gweddiaw .
44:9:012:0	( Ac ef a welai drwy weledigaeth ’wr a enwit Ananias yn dyvot y mewn attaw , ac yn dody ei ddwylaw arnaw , y gahel o honaw ei ’olwc .
44:9:013:0	Yno ydd atebawdd Ananias , Arglwydd , ys clywais gan lawer am y gwr hwnw , vaint y drwc a wnaeth ef ith sainct yn Caerusalem .
44:9:014:0	Ac cyd a hyny y mae ganthaw yma awturtat gan yr Archoffeiriait , y rwymo pawp y ’alwo ar dy Enw .
44:9:015:0	Yno y dyvot yr Arglwydd wrthaw . Dos ymaith , can ys mae ef yn llestr etholedic y mi , y ddwyn vy Enw rac bron y Cenetloedd , a’ Brenhinedd a’ phlant yr Israel .
44:9:016:0	Can ys mi a ddangosaf iddaw , pa veint bethae vydd dir iddaw ei goðef ermwyn vy Enw .
44:9:017:0	Yno Ananias aeth ymaith , ac aeth y mewn ir tuy , ac a osodes ei ddwylo arnaw , ac a ddyvot , Brawd Saul , yr Arglwydd am danvonawdd ( ys ef Iesu yr hwn a ymddangoses yty ar y ffordd wrth ddyvot ) y dderbyn o hanot dy ’olwc , ac ith gyflawner or Yspryt glan .
44:9:018:0	Ac yn y man y syrthiawð y wrth ei lygait megis gan ac yn ebrwydd y derbyniawdd ei ’olwc , ac y cyvododd ac y batyddiwyt ,
44:9:019:0	ac y cymerawdd vwyt , ac y cryfhaodd . Velly y bu Saul dalm o ddiddyae gyd a’r discipulon oedd yn Damasco .
44:9:020:0	Ac yn ddiannot y precethawdd ef Christ yn y Synagogae , mae ef ytoeð map Dew :
44:9:021:0	a’ chwithaw a wnaeth ar pawp ei clybu , a’ dywedyt , Anid hwn yw ef , y oedd yn destryw yr ei ’alwent ar yr Enw hwn yn‐Gaerusalem , ac a ddaeth yma er mwyn hyn ys ef ei y dwyn hwy yn rhwym at yr Archoffeiriait .
44:9:022:0	Eithyr Saul a gynnyddodd vwy‐vwy o nerth , ac a wradwyddawdd yr Iuddaeon oedd yn preswiliaw yn Damasco , gan gadaruhay may hwn ytoedd y Christ .
44:9:023:0	Ac yn ol cyflawny llawer o ddyddiae , y cyd ymgyggorawdd yr Iuddaeon , cr ei ladd ef .
44:9:024:0	Eithyr y cynllwyn hwy a wybu Saul : ac vvy a ddysgwiliesont y pyrth ddydd a’ nos , yvv ladd ef .
44:9:025:0	Yno yr discipulō y cymersont ef o hyd nos , ac ei danvonesont trwy r’ mur , ac ei gellyngesont y lawr mewn cawell .
44:9:026:0	A’ gwedy dyvot Saul i Gaerusalem , y profawð e ymwascy a’r discipulon : ac ydd oeðent oll yn y ofny ef , gan ancredy y vot ef yn ðiscipul .
44:9:027:0	Ac Barnabas y cymerawdd ef , ac ei duc at yr Apostolon , ac vanagawdd yddwynt pa vodd y gwelsai ef yr Arglwydd ar y ffordd , a’ bod iddo lavaru wrthaw , ac mor hyderus y llavaresei ef yn Damasco yn Enw yr Iesu .
44:9:028:0	Ac ydd oedd ef yn cyd tramwy ac wynt yn‐Caerusalem ,
44:9:029:0	ac a lavarodd yn eon yn Enw yr Arglwydd Iesu , ac ef a gympwyllawdd ac a ymddadleawdd a’r Groecieit : ac wyntvvy a geisiesont y ladd ef .
44:9:030:0	A’ phan wybu y broder , vvy y ducesont ef i Cesareia , ac ei danvonesont ymaith y Tarsus .
44:9:031:0	Yno yð oeð yr Ecclesidd yn cael heddwch trwy ’r oll Iudaia , a’ Galilaia , a’ Samareia , ac ei hadailiadwyt , gan yddwynt rodiaw yn ofn yr Arglwyð , ac ei lliosocwyt trwy ddiddanwch yr Yspryt glan .
44:9:032:0	Ac e ddarvu , val ydd oedd Petr yn gorymddaith trwy ’r oll vvledydd , e ðaeth hefeit at y sainct oeð yn trigiaw yn Lydda .
44:9:033:0	Ac yno y cauas neb dyn a enwit Aaineas , y vesei yn gorwedd yn ei wely wyth blynedd , ac oedd yn glaf o’r parlys .
44:9:034:0	Ac Petr a ddyvot wrthaw , Aineas , yr Iesu Christ ’sy ith iachau : cyvot a’ gwna dy wely . Ac ef a gyvodes yn ebrwydd .
44:9:035:0	Ac oll oedd yn preswyliaw yn Lydda ac Saron , y gwelsant ef , ac ymchwelesont ar yr Arglwydd :
44:9:036:0	Ac ydd oedd hefyt yn Ioppa ryw discipules aei henw Tabitha ( yr hon wrth hi deongl y ðywedir Dorcas ) hon oedd yn gyflawn o weithredoeð da , ac o eleesenae ’r ei wnelei hi .
44:9:037:0	Ac e ddarvu y dyðiae hyny , bod iddi glefychy a’ marw : a’ gwedy yðwynt hei golchi , vvy dodesont hi mewn goruchystavell .
44:9:038:0	Ac erwyð bot Lydda yn gyfagos i Ioppa , a’ chlywed o’r discipulon vot Petr yno , wy ðanvonesont atto ddau wr , gan ddeisyf nad oedei ðyuot atynt .
44:9:039:0	Yno y cyvodes Petr ac yd aeth y gyd ac wynt : ac wedy ei ddyvot , wy ei dygesont ir oruch ystavell , lle ydd oedd yr oll wragedd‐gweddwon yn sefyll oei amgylch yn wylaw , ac yn dangos y peisiae a’r gwiscoedd , a wnaethai Dorcas , tra ytoeð hi y gyd ac wynt .
44:9:040:0	Yno Petr y rhoes hwy oll y maes , ac estyngawdd ar ei liniae , ac a weddiawdd , ac a ymchwelawadd at y corph , ac a ddyvot , Tabitha , cyvot . Ac yhi a agores ei llygait , ac wedi y gwelas hi Petr , ydd eisteddawdd .
44:9:041:0	Yno y rrodes ef y llaw iðhei , ac hei cyvodes i vynydd : ac ef a elwis y sainct a’r gwrageð‐gweðwon , ac ef y adverodd hi yn vyw .
44:9:042:0	Ac e a wybuwyt dros oll Ioppa , a’ llawer a gredesont yn yr Arglwydd .
