44:11:001:1	Pen . xj .
44:11:002:1	Petr ys yd yn dangos yr achos paam ydd aeth ef at y Cenetloedd . Y mae yr Eccles yn ei dderbyn yn gymradwy . Yr Eccles yn amlhay . Barnabas ac Paul yn praecethy yn Antiocheia . Agabus yn prophwyto bot drudaniaeth ar ddyvot . A’r ymwared .
44:11:001:0	CLYBOT o’r Apostolon a’r broder y oeddent yn Iudaia , ddarvot hefyt ir Cenedloedd erbyniet gair Dew .
44:11:002:0	A’ gwedy dyvot Petr y vynydd i Gaerusalem , wyntwy o’r enwaediat a gynnenynt yn y erbyn ef ,
44:11:003:0	gan ddywedyt , Ti aethost y mewn at wyr eb ddarvot ei enwaedy , ac y vwytëist gyd ac wynt .
44:11:004:0	Yno Petr a ddechreawdd , ac a esponiawdd y peth mewn trefn yddwynt , gan ðywedyt ,
44:11:005:0	Myvi oeðwn yn‐dinas Ioppa , yn gweddiaw , ac mewn llewic y gwelais y weledigaeth hon , Bot ryw lestr vnwedd a llenlliain vawr yn descen wedy ’r ellwng i waeret o’r nef erbyn y petair congyl , a dyvot a ’oruc yd ataf .
44:11:006:0	A’ phan ddeleis selw ernei , yr ystyriais , a’ gwelais pedwartroedogion y ðaear , a’ bestviloedd , ac ymlucieit , ac ehedieit y nef .
44:11:007:0	A’ chlyweis leferydd yn dywedyt wrthyf , Cyvot Petr : lladd a’ bwyta .
44:11:008:0	A dywedais inef , Na vvnaf Arglwydd : Can ys dim cyffredin ai aflan nid aeth vn amser o ve wn vy‐genae .
44:11:009:0	Ac atep o’r lleferydd vyvi eilwaith o’r nef , Y pethae a lanhodd Dew , na chyffredina di .
44:11:010:0	A’ hyn a wnaethpwyt tairgwaith , a’r oll pethe a gymerwyt y vynydd drachefn ir nef .
44:11:011:0	Ac wele , yn y man ydd oedd tri‐gwyr wedy dyvot eisioes i’r tuy lle ir oeddwn i , wedy ei d’anvon o Cesareia ataf .
44:11:012:0	A’r Yspryt a ddyvot wrthyf , ar vynet o hanof y gyd ac wynt , eb petrusaw : ac yno y daeth y chwech broder hynn gyd a mi , ac ydd aetham y mewn y duy ’r gwr .
44:11:013:0	Ac ef a ddangoses y ni p’oð y gwelsai ef Angel yn ei duy , yr hwn a safawdd ac a ddywedawdd wrthaw , Anvon ’wyr i Ioppa , a’ galw am Simon y gyfenwir Petr :
44:11:014:0	ef e a ymadrodd ’eiriae wrthyt’ , trwy yr ei ith iacheir tydi ath oll tuy .
44:11:015:0	Ac a mi yn dechrae llavaru y dygwyddawð yr Yspryt glan arnwynt , megis ac arnam nineu yn y dechreat .
44:11:016:0	Yno y meddyliais am ’air yr Arglwydd , modd y dywetsei ef , Ioan a vatyddiawdd a dwfr , a’ chwitheu a vatyddier a’r Yspryt glan .
44:11:017:0	Gan hyny ac a Dew yn rroi yddwynt wy gyfryw ddawn ac a roes i nineu , pan credesam yn yr Arglwydd Iesu Christ , pwy oeddwn i , y allu gwrthladd Dew ?
44:11:018:0	Pan glywsant wy hynn , dystewy a ’orugant , a’ gogoneddy Dew , gan ddywedyt , Can hynny ac ir Cenetloedd y rhoddes Dew ediveirwch er bywyt .
44:11:019:0	Ac wyntwy a ’oyscaresit obleit y gorthrymder y godesei yn‐cylch Stephan , a rodiesont trwyodd yn y ddaethant i Phenice ac Ciprus , ac Antiocheia , eb precethy yr gair y nep , anid ir Iuddaeon yn vnic .
44:11:020:0	Ac ’rei o hanaddwynt oedd wyr o Cyprus ac o Cyrene , y sawl pan ddaethant y Antiocheia , a ymddiddanesont a’r Groecieit , ac a precethesont yr Arglwydd Iesu .
44:11:021:0	A’ llaw yr Arglwydd oedd gyd ac wynt : ac niuer mawr a gredawð ac y ymchwelawdd ar yr Arglwydd .
44:11:022:0	Ac yno y daeth y gair o’r pethae hyny i glustiae yr Eccles , ’oedd yn‐Caerusalem , ac wynt anvonesont Barnabas y vyned yd yn Antiocheia .
44:11:023:0	Yr hwn gwedy ei ddyvot a’ gwelet rrat Dew , llawen vu ganthaw , ac ef a annogawdd bavvp oll , ar vot yddwynt trwy arvaeth calon ’lyny wrth yr Arglwydd .
44:11:024:0	Can ys gwr da ytoedd ef , a’ llawn o’r Yspryt glan , a’ ffyð , a ’lliosogrwydd o popul a ymgyssylltawdd a’r Arglwydd .
44:11:025:0	Yno ydd aeth Barnabas y maith i Tarsus y geisiaw Saul :
44:11:026:0	ac wedy y ddaw ei gahel , ef ei duc y Antiocheia . Ac e ddarvu , y n y buont vlwyddyn gyfan yn cytal ar Eccles , ac yn dyscy tyrva vawr , ac y n y ’alwyt y discipulon yn gyntaf lle yn Antocheia yn Christianogion . Yr Epistol ar ddydd . S . Iaco .
44:11:027:0	Ac yn y dyddiae hyny y daeth Prophwyti o Caerusalem i Antiocheia :
44:11:028:0	ac y cyvodes vn hanaddynt a elwit Agabus , ac yr arwyddocaodd trwy yr Yspryt , y byddei newyn mawr dros yr oll vyt , yr hynn hefyt y ddarvu y dan Claudius Caisar .
44:11:029:0	Yno yr discipulō pop vn yn ol ei allu , a ddarparasont anvon rryvv cymporth ir broder oedd yn preswiliaw yn Iudaia .
44:11:030:0	Yr hyn hefyt a wnaethant , gan ddanvon at yr Henafieit , trwy law Barnabas a’ Saul .
