44:14:001:1	Pen . xiiij .
44:14:002:1	Dew yn rhoddi rhwyðteb yw ’air . Paul ac Barnabas yn precethy yn Inconium , a’ bot ei hymlit . Yn Llstyra yr bobul yn wyllysio aberthy i Barnabas ac i Paul , ac wythe yn ei gwrthðot , ac yn ei hānoc hwy y addoli yr gwir Ddew . Llapyddio Paul . Wynthwy yn cadarnhay y discipulon yn ffydd a dioddefgarwch , ac yn gesot gweinidogion . Ac wedy yddwynt gerddet llawer o leoedd , y maent yn adrodd ei dyvalwch yn Antiocheia .
44:14:001:0	AC e ddarvu yn Iconium , bot yddwynt ill dau gyd vyned i Sinagog yr Iddaeon , a’ llavaru velly , y n y bu i liosogrvvydd mawr or Iuddaeon ac or Groecieit gredy .
44:14:002:0	Anid yr Iuddaeon ancredadvvy a gyffroesont , ac a lygresont veddyliae y Cenetloedd yn erbyn y broder .
44:14:003:0	Ac am hyny yr arosant ynaw yn hir o amser , ac a gympwyllesont yn hyderus yn yr Argiwyð , yr hwn a destolaethei y gyd a’ gair y rat ef , ac a barawdd bot gwneuthy ’r arwyddion a’ ryveddodae gan y dwylaw hwy .
44:14:004:0	A’ phopul y dinas a parthwyt a’r ei a oeddent y gyd ar Iuddaeon , a’r ei gyd a’r Apostolon .
44:14:005:0	Ac pan wnaethpwyt rhuthr y gan y Cenetloedd , a’r Iuddaeon , y gyd aei llywodraythwyr i sarhay , ac yw llapyddiaw ,
44:14:006:0	deall y peth wnaethant a’ chilio i Lystra , ac Derbe , dinasoedd yn Lycaonia , ac ir bro o y amgylch ,
44:14:007:0	ac yno ydd oeddent yn precethy yr Euangel .
44:14:008:0	Ac ydd oedd neb gwr yn eistedd yn Lystra , eb veddy o ei draet , yr hwn ytoedd yn efrydd o groth ei vam , ac ni rodiesei erioet :
44:14:009:0	Hwn a glybu Paul yn ymadrodd : yr hwn gan edyrch arnaw , ac yn gwelet vot ganthaw ffydd i vot iachay ,
44:14:010:0	a ddyvot a llef vchel , Sa yn dy vnion sefyll ar dy draet . Ac ef a neitiawdd y vynydd , ac a rodiawdd .
44:14:011:0	Yno pan welas y popul yr hynn a wnaethoedd Paul , y darchavesant ei llef , can ddywedyt yn iaith Lycaonia , Dewiae a ddescenesent atam yn rhith dynion .
44:14:012:0	Ac vvy alwasant Barnabas yn Iupiter , ac Paul , yn Mercurius , can ys vot ef yn ymadroddwr pennaf .
44:14:013:0	Yno yr offeiriat yddo Iupiter , yr hwn ytoedd ger wynep y dinas , a dduc teirw a garlanti gerbron y pyrth , ac a vynesei aberthy y gyd a’r popul .
44:14:014:0	Am’d pan glybu yr Apostolō , Barnabas ac Paul , wy a rwygesont ei ddillat , ac a redesont y mevvn ymplith y popul , gan lefain ,
44:14:015:0	a’ dywedyt , Ha wyr , paam y gwnewch y pethae hyn ? A’ dynion ym nineu yn‐gorvot dyoðef val chwychwy , ac yn precethy ychwy , ar ymchwelyt o hanoch y wrth y gweigion pethae hynn at y Dew byw , yr hwn a wnaeth nef a daiar , a’r mor , a ’r oll ys ydd ynthwynt .
44:14:016:0	Yr hwn yn yr oesoedd vu gynt a ’oddefawdd ir Cenetloedd ’orymddaith yn ei ffyrdd eihunain .
44:14:017:0	Cyd na adawodd ehun yn ddi‐dyst , can iddaw wneythy daoni , ac dody glaw y nyni or nefoedd , ac amserae ffrwythlawn , a’ llanwy ein calonae ac abwyt , ac a llewenydd .
44:14:018:0	Ac wynt yn ymaðrodd y pethae hynn , braidd yr attaliesant wy’r popul rac aberthy yddwynt .
44:14:019:0	Yno y daeth ryw Iuddaeon e Antiocheia ac Iconium , yr ei wedy yddwynt gvvbl eiriol y popul , a lapyddiesont Paul , ac ei lluscesont allan or dinas gan dybieit ei varw .
44:14:020:0	Ac a’r discipulon yn sefyll oei amgylch , y cyvodes ef , ac yd aeth y mewn ir dinas , a’ thranoeth y tynnawð ef a’ Barnabas i Dderbe .
44:14:021:0	Ac wedy yddwynt praecethy ir dinas hono , a’ dyscy llawer , wy ymchwelesōt i Lystra ac i Iconium , ac i Antiocheia ,
44:14:022:0	gan gadarnhay calonae yr discipulon , a’ ei hannoc y aros yn y ffydd , gan ddyvvedyt mae trwy trollodae lawer y byð dir y ni vyned y mewn teyrnas nef .
44:14:023:0	Ac wedy ordiniaw o hanynt yddwynt Henafiait trwy etholedigaeth ym‐pop Eccles , a’ gweddiaw , ac vmprydiaw , wy ei gorchymynesont vvy ir Arglwydd yr hwn y credent ynthaw .
44:14:024:0	Ac fal hyn gwedy yddwynt vyned dros Pisidia , y daethant i Pamphilia .
44:14:025:0	Ac wedy precethu o hanaddynt yr gair ym‐Perga y descenesont y ddinas Attalia ,
44:14:026:0	ac o ddynaw yr hwyliesont y Antiocheia , o’r lle y gorchymynesit wy i rat Dew ir gwaith y gyflawnesent .
44:14:027:0	Ac yno wedy ei dyvot a’ chascly yr Eccles yn‐cyd , adrodd a wnaethant pop peth a’r y wnaethoeðoedd Dew trwyddwynt vvy , a’ darvot iddaw agori drws y ffydd ir Cenetloedd
44:14:028:0	Ac ynaw ydd arosant yn hir o amser y gyd a’r discipulon .
