44:7:001:1	Pen . vij .
44:7:002:1	Stephan yn gwneythy’d atep wrth yr Scrythur yw gyhuddwyr . Ceryddy y mae ef yr Iuddeon anhydyn . Ei lapyddio ydd ys yd angae . Saul ys y yn cadw dillat y llapyddwyr .
44:7:001:0	YNo y dyvot yr Archoffeiriat , A ytyw ’r pethae hynny velly ?
44:7:002:0	Ac yntef ddyvot , A‐wyr vroder , a’ thadae , gwrandewch . Dew yr gogoniāt a ymddangosawdd ydd ein tad Abraham , pan ytoedd ym‐Mesopotamia , cyn trigaw o honaw yn‐Charran ,
44:7:003:0	ac a ddyvot wrthaw , Dyred allan oth wlat , ac y wrth dy dulwyth a’ dabre i’r tir a ðangoswyf yty .
44:7:004:0	Yno yd aeth ef allā o tir y Chaldaieit , ac y preswyliawdd yn‐Charran . Ac yn ol marw ei dad , y duc Devv ef o ddyno ir tir hyn , ydd y‐chwi yn preswyliaw ynddo yr awrhon .
44:7:005:0	Ac ny roddes iddaw ddim etiueddiaeth ynthaw , na ddo , led ei troed : ac e addawoð ei rodody iðaw y ei veddianny , ac yw had yn ei ol , pryd nad ytoedd eto vn map yddaw .
44:7:006:0	Ac Dew a lavarodd val hynn , y byddei y had ef yn ’odrigiawl mewn tir estran , ac yðwynt ei wasy , a’ bod yn ddrwc wrthaw dros petwar‐cant o vlyddyned .
44:7:007:0	Eithyr y genedl y wasanaethent yddi , a varnaf vi , medd Dew : ac yn ol hyny , ydd ant allan , ac im goasanaethant i yn y lle hwn .
44:7:008:0	Ac ef a roðes iddaw ddygymbot yr enwaediat : ac velly Abraham a genetlodd Isaac , ac a enwaedoð arno yr wythfet dydd : ac Isaac a gavas Iaco , ac Iaco a enillavvdd y deuddec Patriairch .
44:7:009:0	A’r Patriarchae gan wynfydy a werthesont Ioseph ir Aipht : anid bot Dew gyd ac ef ,
44:7:010:0	ac ei gwaredawð oei oll gyfingdereu , ac a roddes yddaw garueiddrwydd a’ doethinep yn‐golwc Pharao Vrenhin yr Aipht , yr hwn ei gwnaeth yn llywodraethwr ar yr Aipht , ac ar ei oll tuylvvyth .
44:7:011:0	Yno y daeth newyn dros oll tir yr Aipht , a’ Chanaan , a’ blinvyd mawr , mal na chafas ein tadae or bwytae .
