44:12:001:1	Pen . xij .
44:12:002:1	Herod yn ymlit y Christnogion . Yn lladd Iaco . Ac yn carcharn Petr : A’r Arglwydd yn ei ryddhay trwy Angel . Aruthredd angae Herod . Yr Euangel yn cerddet rracðei yn llwyddianus . Barnabas ac Saul yn ynchwelyt i Antiocheia , ac yn cymeryt Ioan Marc gyd ac wynt .
44:12:001:0	AC yn‐cylch y cyfamser hyny , yr estennoð Herod Vrenhin ei ddvvylaw y gystuðiaw yr ei or Ecclesi .
44:12:002:0	Ac ef a laðawð Iaco brawd Ioan a chleddyf .
44:12:003:0	A’ phan welas ei vot yn voddlawn gan yr Iuddaeon , ef aeth racddo , y ddalha Petr hefyt ( ac dyddiae yr bara croyw ytoedd hi )
44:12:004:0	ac wedy iddaw ei ddalha , y dodes ef yn‐carchar , ac ei rhoðes at petwar petwarieit milwyr yew gadw , gan veddwl ar ol y Pasc y ddwyn e allan ir popul .
44:12:005:0	Ac velly Petr a getwit yn‐carchar , a’ gweddi ddifrifol a wnait gan yr Eccles ar Ddew y drostaw .
44:12:006:0	Ac pan oedd Herod aei vryd ar y ddwyn ef allan ir bohul , y nos hon o y cyscawdd Petr rryng dau vilwr , wedy ei rwymo a dwy catwyn , a’r ceidweit rac y drws a gatwent y carchar .
44:12:007:0	Ac wele , Angel yr Arglwydd yn dyvot ar ei huchaf , a’ llewych oedd yn dyscleiriaw yn y tuy , ac ef yn taro Petr ar ei ystlys , ac yn ei gyvody i vynydd , gan ddywedyt , Cyvot yn vuan . A’ei gatwynae a syrthiasant o iar ei ddwylaw .
44:12:008:0	Dywedyt o’r Angel wrthaw , Ymwregysa , a ’rhwym dy sandalae vvrthyt . Ac velly y gwnaeth . Yno y dywedodd wrthaw . Gwisc dy ddillat am danat , a’ chanlyn vi .
44:12:009:0	Ac Petr a ðaeth allan ac ei canlynawdd , ac ny wyddiat ef vot yn wir , y peth a wnaethit gan yr Angel , anid tybyet mae gweledigaeth a welsai .
44:12:010:0	Weithiam wedy ei mynet eb law y gyntaf ar ail gadwriaeth , wy ðaethant ir porth haiarn , y arwein ir dinas , yr hwn a ymagorawdd yddwynt o ei waith ehun , ac wy aethant allan , ac a drawenesont trwy vn heol , ac eb‐oludd ydd ymedawodd yr Angel y wrthaw .
44:12:011:0	Ac wedy ymchwelyt Petr ato ehun , y dyvot , Yn awr y gwnn yn ddiau , mae yr Arglwydd a dd’anvonas ei Angel , ac am gwaredawdd i o law Herod , ac y wrth ddysgwyliat popul yr Iuddaeon .
44:12:012:0	Ac wrth iddaw adveðylied , e ðaeth i duy Vair , vam Ioan , ’rhwn oedd ei gyfenw’ Marc , lle ydd oedd llawer wedy’r ymgascly ac yn gweddiaw .
44:12:013:0	Ac wedi i Petr guro drws yr entri , y daeth morwyn allan y wrandaw , aihenw Rhode .
44:12:014:0	A’ phan adnabu hi lais Petr , nid agores hi ddrvvs yr entri gan lewenydd , eithyr rhedec y mewn , a’ manegy bot Petr yn sefyll gerwynep yr entri .
44:12:015:0	Ac wytheu ddywedesont wrthei , Ydd wyt ti wedy ynvydy . A’ hithae a gadarnhaodd vot y peth velly . Yno y dywedesant wy , Ei Angel ef ytyw .
44:12:016:0	Ac Petr oedd yn parhay yn curo , a’ gwedy yddwynt ei agori , a’ y welet ef , sanny a wnaeth arnwynt .
44:12:017:0	Ac ef a amneidiawdd arnwynt a llaw , ar dewi o hanwynt , ac a vanagawdd yddwynt , paddelw y dugesei yr Arglwydd ef allan o’r carchar . Ac ef a ddyvot , Evvch‐y‐ddangos y pethae hyn i Iaco ac ir broder : ac ef a ymadawodd ac a hyntiodd i le arall .
44:12:018:0	Eithr pan ddyddhaodd hi , y bu trallot nyd bychan ymplith y milwyr , pa beth a wnaethit i Petr .
44:12:019:0	Ac wedy i Herod y geisiaw ef , ac eb ei gahel , ef a holawdd y ceidweit , ac a ’orchymynawdd ei harwein ymaith yvv poeni . Ac ef aeth y waered o Iudaia i Caisareia , ac a arosodd ynavv .
44:12:020:0	Ac Herod oedd aei vryd ar ryvela yn y erbyn wy o Tyrus a Sidon : ac wyntwy oll a ddaethant yn vn vryd attaw , ac wedy troi Blastus oedd was stavell yr Brenhin , erchy heddwch a ’orugant , can ys bot maethddrin y gwlad hwy gan dir y Brenhin .
44:12:021:0	Ac ar ddyddgwaith nodedic , ydd ymwiscodd Herod yn‐gwisc brenhinawl , ac ydd eisteddawð yn y vrawdle , ac y areithiawdd wrthwynt .
44:12:022:0	A’r popul a roes gawri , gan ddyvvedyt , Llef Dew , ac nyd dyn .
44:12:023:0	Ac yn ehegr Angel yr Arglwydd y trawodd ef , can na roðesei ef y gogoniant y Ddew , ac ef a eswyt gan bryvet , ac a ddyffoddes .
44:12:024:0	A’ gair Dew a dyvot , ac a liosocwyt
44:12:025:0	Yno Barnabas ac Saul a ymchwelesont o Gaerusalaem , gwedy yddwynt gyflawny ei swydd , ac a gymeresont gyd a’n hwy Ioan , yr hwn y gyfenwit , Marc .
